title,authors,publishedDate,categories,description,averageRating,textSnippet
Letters from a Stoic,['Lucius Annaeus Seneca'],1969-07-30,['History'],"A philosophy that saw self-possession as the key to an existence lived ‘in accordance with nature’, Stoicism called for the restraint of animal instincts and the severing of emotional ties. These beliefs were formulated by the Athenian followers of Zeno in the fourth century BC, but it was in Seneca (c. 4 BC– AD 65) that the Stoics found their most eloquent advocate. Stoicism, as expressed in the Letters, helped ease pagan Rome’s transition to Christianity, for it upholds upright ethical ideals and extols virtuous living, as well as expressing disgust for the harsh treatment of slaves and the inhumane slaughters witnessed in the Roman arenas. Seneca’s major contribution to a seemingly unsympathetic creed was to transform it into a powerfully moving and inspiring declaration of the dignity of the individual mind.",N/A,N/A
A Treatise of Human Nature,['David Hume'],2003-01-01,['Philosophy'],"Unpopular in its day, David Hume's sprawling, three-volume 'A Treatise of Human Nature' (1739-40) has withstood the test of time and had enormous impact on subsequent philosophical thought. Hume's comprehensive effort to form an observationally grounded study of human nature employs John Locke's empiric principles to construct a theory of knowledge from which to evaluate metaphysical ideas. A key to modern studies of eighteenth-century Western philosophy, the Treatise considers numerous classic philosophical issues, including causation, existence, freedom and necessity, and morality. Unabridged republication of the edition originally published by Oxford at the Clarendon Press, London, 1888.",3.5,N/A
Phenomenology of Spirit,['Georg Wilhelm Friedrich Hegel'],1998,['Philosophy'],wide criticism both from Western and Eastern scholars.,4,N/A
Thus Spoke Zarathustra,['Friedrich Nietzsche'],1974-02-28,['Philosophy'],"'Enigmatic, vatic, emphatic, passionate . . . Nietzsche's works together make a unique statement in the literature of European ideas' A. C. Grayling Nietzsche was one of the most revolutionary thinkers in Western philosophy, and Thus Spoke Zarathustra remains his most influential work. It describes how the ancient Persian prophet Zarathustra descends from his solitude in the mountains to tell the world that God is dead and that the Superman, the human embodiment of divinity, is his successor. With blazing intensity, Nietzsche argues that the meaning of existence is not to be found in religious pieties or meek submission, but in an all-powerful life force: passionate, chaotic and free. Translated with an introduction by R. J. HOLLINGDALE",5,N/A
Robert Fulghum's All I Really Need to Know I Learned in Kindergarten,"['Robert Fulghum', 'David Caldwell']",1999,['Philosophy'],A book to raise the spirits and warm the heart. Includes the famous Kindergarten essay that was read on the floor of the U.S. Senate.From the Hardcover edition.,4,N/A
Thus Spoke Zarathustra,['Friedrich Wilhelm Nietzsche'],2005,['Philosophy'],"A landmark work of philosophy and of literature, Thus Spoke Zarathustra is the fullest expression of Nietzche's belief that ""the object of mankind should lie in its highest individuals."" In his thirtieth year Zarathustra - the archetypal Ubermensch representative of supreme passion and creativity - abandons his home for the mountains, where he lives, literally and figuratively, on a level of experience far above the conventional standards of good and evil. The exuberant, poetic testimony of Nietzche's great messianic hero (and alter ego) is a vivid demonstration of the philosopher's genius.",4,N/A
Phaedrus,"['Plato', 'Alexander Nehamas', 'Paul Woodruff']",1995-01-01,['Philosophy'],"""A superb translation that captures the rhetorical brilliance of the Greek. . . . The translation is faithful in the very best sense: it reflects both the meaning and the beauty of the Greek text. . . . The footnotes are always helpful, never obtrusive. A one-page outline is useful since there are no editorial additions to mark major divisions in the dialogue. An appendix containing fragments of early Greek love poetry helps the reader appreciate the rich, and perhaps elusive, meaning of eros. . . . The entire Introduction is crisply written, and the authors' erudition shines throughout, without a trace of pedantry. . . . this is an excellent book that deservedly should find wide circulation for many years to come."" -- Tim Mahoney, University of Texas at Arlington Paul Woodruff is Professor of Philosophy, University of Texas at Austin.",4,N/A
After Virtue,['Alasdair MacIntyre'],2013-10-21,['Philosophy'],"Highly controversial when it was first published in 1981, Alasdair MacIntyre's After Virtue has since established itself as a landmark work in contemporary moral philosophy. In this book, MacIntyre sought to address a crisis in moral language that he traced back to a European Enlightenment that had made the formulation of moral principles increasingly difficult. In the search for a way out of this impasse, MacIntyre returns to an earlier strand of ethical thinking, that of Aristotle, who emphasised the importance of 'virtue' to the ethical life. More than thirty years after its original publication, After Virtue remains a work that is impossible to ignore for anyone interested in our understanding of ethics and morality today.",N/A,N/A
Art as Experience,['John Dewey'],2005-07-05,['Philosophy'],"Based on John Dewey's lectures on esthetics, delivered as the first William James Lecturer at Harvard in 1932, Art as Experience has grown to be considered internationally as the most distinguished work ever written by an American on the formal structure and characteristic effects of all the arts: architecture, sculpture, painting, music, and literature.",N/A,N/A
The Concept of the Political,['Carl Schmitt'],2024-05-31,['Political Science'],"""Arguably Schmitt's most influential work . . . recognized as one of the most important tracts of modern political thought."" —Samuel Earle, The New Statesman In this, his most influential work, legal theorist and political philosopher Carl Schmitt argues that liberalism's basis in individual rights cannot provide a reasonable justification for sacrificing oneself for the state—a critique as cogent today as when it first appeared. George Schwab's introduction to his translation of the 1932 German edition highlights Schmitt's intellectual journey through the turbulent period of German history leading to the Hitlerian one-party state. In addition to analysis by Leo Strauss and a foreword by Tracy B. Strong placing Schmitt's work into contemporary context, this expanded edition also includes a translation of Schmitt's 1929 lecture ""The Age of Neutralizations and Depoliticizations,"" which the author himself added to the 1932 edition of the book. An essential update on a modern classic, The Concept of the Political, Expanded Edition belongs on the bookshelf of anyone interested in political theory or philosophy. ""Contains much of what is fundamental in Schmitt's understanding of the political nature of man and the state, including his contentious definition of the political as the distinction between friend and enemy . . . Its scholarship is unquestionable."" —Joseph W. Bendersky, Canadian Journal of Political and Social Theory ""The best introduction to Schmitt's thought."" —Mark Lilla, New York Review of Books ""[A] foundational work . . . Minor disagreements over terms fade . . . in light of the superb job Schwab has done rendering Schmitt's long, multi-clausal German sentences into concise, pellucid English."" —Robert D. Rachlin, HNet",N/A,N/A
