title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Photographic Guide to the Birds of Indonesia,[],2013-01-08,['Nature'],"A Photographic Guide to the Birds of Indonesia is the best, most comprehensive photographic guide to the birds of Indonesia. Because of its vast size and geographical location, Indonesia has the world's most diverse avifauna. It boasts of more than 1,600 species--of which 235 rare birds are only found in Indonesia--making it the world's number one travel destination for bird-watching. This bird field guide covers a total of 912 species, including most of the non-migratory and endemic species that are seen only in Indonesia and a number of threatened and endangered species. A photograph and distribution map is given for each bird. Many new photographs of Indonesian birds appear in this volume for the first time and have been carefully selected to show the important characteristics of each bird. The concise text provides vital information, and an index of common names is provided at the back of the book.",N/A,N/A,en
The Natural Way to Draw,['Kimon Nicolaïdes'],1941,['Art'],"A series of exercises designed to assist the art student to develop his own creativity, rather than imitate that of others.",5,N/A,en
Words of Light,['Eduardo Cadava'],2018-06-05,['Photography'],"Here Eduardo Cadava demonstrates that Walter Benjamin articulates his conception of history through the language of photography. Focusing on Benjamin's discussions of the flashes and images of history, he argues that the questions raised by this link between photography and history touch on issues that belong to the entire trajectory of his writings: the historical and political consequences of technology, the relation between reproduction and mimesis, images and history, remembering and forgetting, allegory and mourning, and visual and linguistic representation. The book establishes the photographic constellation of motifs and themes around which Benjamin organizes his texts and thereby becomes a lens through which we can begin to view his analysis of the convergence between the new technological media and a revolutionary concept of historical action and understanding. Written in the form of theses--what Cadava calls ""snapshots in prose""--the book memorializes Benjamin's own thetic method of writing. It enacts a mode of conceiving history that is neither linear nor successive, but rather discontinuous--constructed from what Benjamin calls ""dialectical images."" In this way, it not only suggests the essential rapport between the fragmentary form of Benjamin's writing and his effort to write a history of modernity but it also skillfully clarifies the relation between Benjamin and his contemporaries, the relation between fascism and aesthetic ideology. It gives us the most complete picture to date of Benjamin's reflections on history.",N/A,N/A,en
The Hague School Book,"['John Sillevis', 'Anne Tabak']",2004,['Art'],"The Hague School Book is a beautifully illustrated overview of all the artists who belonged to the exceptionally popular Hague School. It discusses the tensions between the school and Vincent van Gogh and, later, Piet Mondriaan. A generous number of colour illustrations and documentary photographs as well as information about the individual artists complement this publication. All the pieces of art included can be seen at the Gemeentemuseum in The Hague, Netherlands, where the world's largest collection of these paintings is held.",N/A,N/A,en
Essays on the Essay Film,"['Nora M. Alter', 'Timothy Corrigan']",2017-03-14,['Performing Arts'],"The essay—with its emphasis on the provisional and explorative rather than on definitive statements—has evolved from its literary beginnings and is now found in all mediums, including film. Today, the essay film is, arguably, one of the most widely acclaimed and critically discussed forms of filmmaking around the world, with practitioners such as Chris Marker, Hito Steyerl, Errol Morris, Trinh T. Minh-ha, and Rithy Panh. Characteristics of the essay film include the blending of fact and fiction, the mixing of art- and documentary-film styles, the foregrounding of subjective points of view, a concentration on public life, a tension between acoustic and visual discourses, and a dialogic encounter with audiences. This anthology of fundamental statements on the essay film offers a range of crucial historical and philosophical perspectives. It provides early critical articulations of the essay film as it evolved through the 1950s and 1960s, key contemporary scholarly essays, and a selection of writings by essay filmmakers. It features texts on the foundations of the essay film by writers such as Hans Richter and André Bazin; contemporary positions by, among others, Phillip Lopate and Michael Renov; and original essays by filmmakers themselves, including Laura Mulvey and Isaac Julien.",N/A,N/A,en
Photographic Mosaics,[],1881,['Photography'],N/A,N/A,N/A,en
Photographic Mosaics,"['Edward Livingston Wilson', 'Mathew Carey Lea']",1871,['Photography'],N/A,N/A,N/A,en
Film Directing Shot by Shot,['Steven Douglas Katz'],1991,['Performing Arts'],"An instant classic since its debut in 1991, Film Directing: Shot By Shot and its famous blue cover is one of the most well-known books on directing in the business, and is a favorite of professional directors as an on-set quick reference guide.",4,N/A,en
The Photographer's Eye,['John Szarkowski'],2007,['Photography'],"The Photographer's Eye, available again after some years out of print, offers a guide to the medium's visual language through works by such early masters as Atget, Cartier-Bresson, Evans, Strand and Weston. In this re-issue, 172 illustrations reveal the extraordinary range of the photograph from the early days of the medium's development to the mid-1960s. They are accompanied by an essay from Szarkowski, one of the most influential photography curators and critics of our time.",5,N/A,en
Africa's Great Rift Valley,[],2001-09,['History'],"The flora and fauna of one of Africa's most spectacular regions is documented in 202 photographs, from snow-topped mountains to heat-blasted salt flats.",N/A,N/A,en
