title,authors,publishedDate,categories,description,averageRating,textSnippet
Solid-State Laser Engineering,['Walter Koechner'],2006,['Science'],"Written from an industrial perspective, Solid-State Laser Engineering discusses in detail the characteristics, design, construction, and performance of solid-state lasers. Emphasis is placed on engineering and practical considerations; phenomenological aspects using models are preferred to abstract mathematical derivations. Since its first edition almost 30 years ago this book has become the standard in the field of solid-state lasers for scientists,engineers and graduate students. This new edition has been extensively revised and updated to account for recent developments in the areas of diode-laser pumping, laser materials and nonlinear crystals. Completely new sections have been added dealing with frequency control, the theory of mode-locking, femto second lasers, high efficiency harmonic generation, passive and acousto-optic Q-switching, semiconductor saturable absorber mirrors (SESAM) and peridically poled nonlinear crystals.",N/A,N/A
Shadows of the Mind,['Roger Penrose'],1994,['Computers'],"Presents the author's thesis that consciousness, in its manifestation in the human quality of understanding, is doing something that mere computation cannot; and attempts to understand how such non-computational action might arise within scientifically comprehensive physical laws.",3.5,N/A
The Dilemmas of an Upright Man,['J. L. Heilbron'],2000-09,['Biography & Autobiography'],"In this moving and eloquent portrait, Heilbron describes how the founder of quantum theory rose to the pinnacle of German science. He shows how Planck suffered morally and intellectually as his lifelong habit of service to his country and to physics was confronted by the realities of World War I and the brutalities of the Third Reich.",N/A,N/A
Isaac Newton,['Michael White'],1997,['Biography & Autobiography'],"""Unknown to all but a few, Newton was a practicing alchemist who dabbled with the occult, a tortured, obsessive character who searched for an understanding of the universe by whatever means possible. S""",N/A,N/A
Advanced Solid State Physics,['Philip Phillips'],2012-03,['Science'],Introduces students to the key research topics within modern solid state physics with the minimum of mathematics.,1,N/A
Advanced Quantum Mechanics,['Franz Schwabl'],2005,['Science'],"This second volume on quantum mechanics by Franz Schwabl discusses nonrelativistic multi-particle systems, relativistic wave equations and relativistic fields. As usual the text follows a compelling mathematical presentation where all intermediate steps are given and where numerous examples for application and exercises help the student to gain thorough knowledge of the subject. The presentation of relativistic wave equations and their symmetries and the fundamentals of quantum field theory lay the foundations for advanced studies in solid-state physics, nuclear and elementary particle physics. The new edition is carefully revised and the special focus on step by step approach is buttressed even more.",5,N/A
Warped Passages,['Lisa Randall'],2005,['Science'],"Discusses dimensions of space, early twentieth-century advances, the physics of elementary particles, string theory and branes, and proposals for extra-dimension universes.",N/A,N/A
Back-of-the-Envelope Physics,['Clifford Swartz'],2003-05-30,['Mathematics'],"Offers quantitative analysis of one hundred and one physics questions with simple, approximate answers on a variety of topics.",N/A,N/A
Historical Encyclopedia of Natural and Mathematical Sciences,['Ari Ben-Menahem'],2009-03-06,['Biography & Autobiography'],"The 5800-page Encyclopedia surveys 100 generations of great thinkers, offering 2070 detailed biographies of scientists, engineers, explorers and inventors, who left their mark on the history of science and technology. This six-volume masterwork also includes 380 articles summarizing the time-line of ideas in the leading fields of science, technology, mathematics and philosophy, plus useful tables, figures and photos, and 20 ‘Science Progress Reports’ detailing scientific setbacks. Interspersed throughout are quotations, gathered from the wit and wisdom of sages, savants and scholars throughout the ages from antiquity to modern times. The Encyclopedia represents 20 years’ work by the sole author, Ari Ben-Menahem, of Israel’s Weizmann Institute of Science",N/A,N/A
"A Universe of Atoms, An Atom in the Universe",['Mark P. Silverman'],2002-10,['Computers'],"jThis thoroughly updated and revised text contains a selection of well-written essays based on Silvermans work on a wide range of topics, including: quantum mechanics, including atomic and nuclear physics, electromagnetism and optics, gravity, thermodynamics, and the physics of fluids. Presenting a personal odyssey in physics, Silverman investigates processes for which no visualizable mechanism can be given, or that seem to violate fundamental physical laws (but do not). The discussions use little mathematics, and anyone with a little college physics will be able to read the book with pleasure. -Engagingly written -Easily understandable by both the general reader and the seasoned physicist -Covers a diversity of subjects from ""hot"" topics in contemporary physics to less widely known but subtle and intriguing issues in physics -Discusses real physical systems whose behavior provokes, surprises and challenges the imagination -This second edition is newly revised and updated",N/A,N/A
"Opticks, Or, A Treatise of the Reflections, Inflections and Colours of Light",['Isaac Newton'],1718,['Color'],N/A,N/A,N/A
What Do You Care what Other People Think?,"['Richard Phillips Feynman', 'Ralph Leighton']",1989,['Biography & Autobiography'],"One of the greatest physicists of the twentieth century, Richard Feynman possessed an unquenchable thirst for adventure and an unparalleled ability to tell the stories of his life.",N/A,N/A
Handbook of Physics,"['Walter Benenson', 'John W. Harris', 'Horst Stöcker', 'Holger Lutz']",2006-01-13,['Science'],"Handbook of Physics is a veritable toolbox for rapid access to a wealth of physics information for everyday use in problem solving, homework, and examinations. This complete reference includes not only the fundamental formulas of physics but also experimental methods used in practice.",5,N/A
Subtle is the Lord,['Abraham Pais'],2005-08-25,['Biography & Autobiography'],"Subtle is the Lord is widely recognized as the definitive scientific biography of Albert Einstein. The late Abraham Pais was a distinguished physicist turned historian who knew Einstein both professionally and personally in the last years of his life. His biography combines a profound understanding of Einstein's work with personal recollections from their years of acquaintance, illuminating the man through the development of his scientific thought.Pais examines the formulation of Einstein's theories of relativity, his work on Brownian motion, and his response to quantum theory with authority and precision. The profound transformation Einstein's ideas effected on the physics of the turn of the century is here laid out for the serious reader. Pais also fills many gaps in what we know of Einstein's life - his interest in philosophy, his concern with Jewish destiny, and his opinions of great figures from Newton to Freud. This remarkablevolume, written by a physicist who mingled in Einstein's scientific circle, forms a timeless and classic biography of the towering figure of twentieth-century science.",N/A,N/A
Studies in the History of General Relativity,"['Jean Eisenstaedt', 'A.J. Kox']",1992-02-07,['Science'],"Among the considerations of the two dozen papers are the reception and development of Einstein's theory of general relativity in various institutions around the world; conceptual issues of the theory, especially themes, concepts, and principles associated with his theory of gravity; a number of tech",N/A,N/A
Low Reynolds number hydrodynamics,"['J. Happel', 'H. Brenner']",1983-09-30,['Science'],"One studying the motion of fluids relative to particulate systems is soon impressed by the dichotomy which exists between books covering theoretical and practical aspects. Classical hydrodynamics is largely concerned with perfect fluids which unfortunately exert no forces on the particles past which they move. Practical approaches to subjects like fluidization, sedimentation, and flow through porous media abound in much useful but uncorrelated empirical information. The present book represents an attempt to bridge this gap by providing at least the beginnings of a rational approach to fluid particle dynamics, based on first principles. From the pedagogic viewpoint it seems worthwhile to show that the Navier-Stokes equations, which form the basis of all systematic texts, can be employed for useful practical applications beyond the elementary problems of laminar flow in pipes and Stokes law for the motion of a single particle. Although a suspension may often be viewed as a continuum for practical purposes, it really consists of a discrete collection of particles immersed in an essentially continuous fluid. Consideration of the actual detailed boundary value problems posed by this viewpoint may serve to call attention to the limitation of idealizations which apply to the overall transport properties of a mixture of fluid and solid particles.",5,N/A
