title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Poetic Edda,['Carolyne Larrington'],2014,['Literary Collections'],"This collection of Norse-Icelandic mythological and heroic poetry contains the greater narratives of the creation of the world and the coming of Ragnarok, the Doom of the Gods.",N/A,N/A,en
The Odyssey of Homer,['Homer'],1887,['Poetry'],N/A,N/A,N/A,en
Rosmersholm,['Henrik Ibsen'],2017-11-23,['Poetry'],"Dramaet ""Rosmersholm"" fra 1886 anses af mange kritikere for at være Henrik Ibsens mesterværk. Det udspiller sig på en gammel herregård i det sydlige Norge, hvor den forhenværende præst Johannes Rosmer lever i et forhold med sin husholderske Rebecca West, mens konservative og liberale kræfter kæmper om magten i landet. Den norske dramatiker og digter Henrik Ibsen (1828-1906) er én af de vigtigste forfattere i Det Moderne Gennembrud og regnes som grundlæggeren af det moderne drama med skuespil, der sætter den menneskelige psykologi i centrum og kredser om den fortid, det er så umuligt at flygte fra. Ibsen er verdensberømt for skuespil som ""Et dukkehjem"", ""Peer Gynt"" og ""Hedda Gabler"", men producerede i alt over tyve dramaer, der stadig opføres på teatre over hele verden.",N/A,N/A,da
"Lyrical Ballads, and Other Poems, 1797-1800",['William Wordsworth'],1992,['History'],"The present edition provides the first comprehensive textual history from earliest manuscript to final lifetime printing of the poems published in the epochal Lyrical Ballads, and of contemporaneous short poems by Wordsworth (1770-1850). For those poems originally published in 1800, this edition is",N/A,N/A,en
The Prophet,['Kahlil Gibran'],2002-03-28,['Fiction'],"A hugely influential philosophical work of prose poetry, Kahlil Gibran's The Prophet is an inspirational, allegorical guide to living, and this Penguin Modern Classics edition includes an introduction by Robin Waterfield. First published in the 1920's, The Prophet is perhaps the most famous work of religious fiction of the twentieth century, and has sold millions of copies in more than twenty languages. Gibran's Prophet speaks of many things central to daily life: love, marriage, death, beauty, passion, eating, work and play. The spiritual message he imparts, of finding divinity through love, blends eastern mysticism, religious faith and philosophy with simple advice. The Prophet became the bible of 1960s culture and was credited with founding the New Age movement, yet it still continues to inspire people around the world today. This edition is illustrated with Gibran's famous visionary paintings. Kahlil Gibran (1883-1931) was a poet, philosopher and artist, who stands among the most important Arabic language authors of the early twentieth century. Born in Lebanon, he spent the last twenty years of his life in the United States, where for many years he was the leader of a Lebansese writing circle in New York. He is the author of numerous volumes, including The Garden of the Prophet, The Storm, The Beloved: Reflections on the Path of the Heart, The Vision, Reflections on the Way of the Soul, and Spirit Brides. If you enjoyed The Prophet, you might like Herman Hesse's Siddhartha, also available in Penguin Modern Classics. 'His work goes on from generation to generation' Daily Mail 'To read it was to transcend ordinary levels of perception, to become aware ... of a more intense level of being' Independent",5,N/A,en
Evgeniy Onegin,['Alexander Pushkin'],2015-08-16,[],"Roman v stihah «Evgenij Onegin» stal central'nym sobytiem v literaturnoj zhizni pushkinskoj pory. I s teh por shedevr A.S. Pushkina ne utratil svoej populjarnosti, po-prezhnemu ljubim i pochitaem millionami chitatelej.Pojema prekrasno illjustrirovana!",N/A,N/A,ru
Hermann and Dorothea,['Wolfgang Johann Von Goethe'],2024-03-17,['Poetry'],"""Hermann and Dorothea"" by Johann Wolfgang von Goethe is a timeless epic poem that unfolds against the backdrop of rural Germany. Set during a time of social upheaval and political change, Goethe's narrative follows the love story of Hermann and Dorothea, two young individuals from different social classes. As their romance blossoms amidst the chaos of the French Revolution, Goethe weaves a rich tapestry of themes including love, friendship, and the search for identity. Through vivid descriptions and lyrical language, he captures the essence of small-town life, while also addressing larger societal issues of the time. ""Hermann and Dorothea"" stands as a masterpiece of German literature, showcasing Goethe's unparalleled skill in blending the personal and the political into a captivating narrative that continues to resonate with readers today.",N/A,N/A,en
Goethe's Faust,['Johann Wolfgang von Goethe'],1954,['Drama'],"Goethe's most complex and profound work, Faust was the effort of the great poet's entire lifetime. Written over 60 years, it can be read as a document of Goethe's moral and artistic development.",N/A,N/A,en
Gitanjali,['Rabindranath Tagore'],2021-08-19,['Poetry'],"Gitanjali Rabindranath Tagore - Moving, heart-felt prose poems by the beloved and much admired Bengali poet and mystic who first achieved international fame (and a Nobel Prize) in 1913 with his translation of these moving poems. Reminiscent of Blake and Gibran, they include many works that are almost biblical in their rhythms, phrasing and images.",N/A,N/A,en
Poetry and Politics in the Cockney School,['Jeffrey N. Cox'],2004-05-20,['Literary Criticism'],"Jeffrey N. Cox refines our conception of 'second generation' Romanticism by placing it within the circle of writers around Leigh Hunt that came to be known as the 'Cockney School'. Offering a theory of the group as a key site for cultural production, Cox challenges the traditional image of the Romantic poet as an isolated figure by recreating the social nature of the work of Shelley, Keats, Hunt, Hazlitt, Byron, and others, as they engaged in literary contests, wrote poems celebrating one another, and worked collaboratively on journals and other projects. Cox also recovers the work of neglected writers such as John Hamilton Reynolds, Horace Smith, and Cornelius Webb as part of the rich social and cultural context of Hunt's circle. This book not only demonstrates convincingly that a 'Cockney School' existed, but shows that it was committed to putting literature in the service of social, cultural, and political reform.",N/A,N/A,en
Paradise Lost,"['John Milton', 'Merritt Yerkes Hughes']",2005,['Poetry'],"A revision of the Prentice Hall edition of 1962.David Scott Kastan preserves the quality and character of Hughes's richly annotated edition in this masterful revision, which includes a thorough updating of the text, notes, and bibliographies to reflect the scholarship of the last half-century. Kastan's new introductory essay engages the pressing questions the poem raises for contemporary readers, focusing on the literary, religious, and political dimensions of Paradise Lost that have made its reading a demanding yet always exhilarating experience.",N/A,N/A,en
Western Wind,['John Frederick Nims'],1974,['Literary Criticism'],"""ABOUT THE AUTHOR; John Frederick Nims was born in Muskegon, Michigan in 1913. He received his M.A. from the University of Notre Dame and his Ph.D. in Comparative Literature from the University of Chicago. He has taught poetry and work- shops in the writing of poetry at Notre Dame, the University of Illinois, the University of Toronto, and Harvard and is presently teaching at the University of Florida. He has also been a Visiting Professor at the univer- sities of Florence and Madrid. Professor Nims is the author of four books of poetry-The Iron Pastoral, A Fountain in Kentucky, Knowledge of the Evening, and Of Flesh and Bone-which have brought him awards from the National Foundation for the Arts and Humanities and The American Academy of Arts and Letters. His Knowledge of the Evening was a National Book Award Nominee. Professor Nims has also published several books of translations, including Sappho to Valéry: Poems in Translation and The Poems of St. John of the Cross. On the staff of Poetry for several years, he spent one year as its Visiting Editor. Professor Nims has also been on the staff of many writers' conferences, including the one at Bread Loaf, Vermont, where he served for over 10 years.""- Publisher",N/A,N/A,en
Songs of Innocence and Songs of Experience,['William Blake'],2025-05-08,['Poetry'],"Songs of Innocence and of Experience is a seminal collection of poetry by William Blake that captures the duality of the human experience through two contrasting visions: innocence and experience. Published in two parts, the poems explore themes of childhood, spirituality, and the loss of innocence amidst a rapidly industrializing society. Blake's unique perspective encourages readers to reflect on the complexities of human existence and the profound impacts of societal norms. The first section, Songs of Innocence, celebrates the purity and joy of childhood, portraying a world filled with wonder and divine presence. Through simple yet profound verses, Blake emphasizes themes of harmony, connection to nature, and the beauty of the untainted soul. Conversely, the second section, Songs of Experience, presents a more somber and critical view of life filled with disillusionment, moral ambiguity, and the harsh realities of adult life. It engages with themes of oppression, social injustice, and the loss of that initial innocence. Blake’s innovative use of imagery and symbolism, combined with his illustrated designs, offers a rich visual and literary experience that confronts readers with the tensions between innocence and experience. Songs of Innocence and of Experience remains a vital exploration of the human condition and a cornerstone of Romantic literature that resonates through generations, inviting contemplation on the complexities we face as we navigate our lives.",N/A,N/A,en
