title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Secret of Father Brown,['G. K. Chesterton'],2016-06-18,[],"EVERYONE agreed that the bazaar at Mallowood Abbey (by kind permission of Lady Mounteagle) was a great success; there were roundabouts and swings and side-shows, which the people greatly enjoyed; I would also mention the Charity, which was the excellent object of the proceedings, if any of them could tell me what it was. However, it is only with a few of them that we are here concerned; and especially with three of them, a lady and two gentlemen, who passed between two of the principal tents or pavilions, their voices high in argument. On their right was the tent of the Master of the Mountain, that world-famous fortune-teller by crystals and chiromancy; a rich purple tent, all over which were traced, in black and gold, the sprawling outlines of Asiatic gods waving any number of arms like octopods. Perhaps they symbolized the readiness of divine help to be had within; perhaps they merely implied that the ideal being of a pious palmist would have as many hands as possible.",N/A,N/A,en
The Herald of Hell,['Paul Doherty'],2016-06-30,"['Athelstan, Brother (Fictitious character)']","May, 1381. The Great Revolt draws nearer. The Upright Men roam the streets of London, waiting for violence to begin. Their mysterious envoy, the Herald of Hell, appears at night, terrifying those who oppose them. But who is he? When his chancery clerk is found hanged in a Southwark brothel, Brother Athelstan is summoned to investigate.",N/A,N/A,en
The Priest,['Francine Rivers'],2004-07,['Aaron (Biblical priest)'],N/A,N/A,N/A,en
Fasti sacerdotum: Jahres- und Kollegienlisten,['Jörg Rüpke'],2005,['Biography & Autobiography'],"3 Teilbande: Teil 1: Jahres- und Kollegienlisten Teil 2: Biographien (unter Mitarbeit von Anne Glock) Teil 3: Quellenkunde und Organisationsgeschichte, Bibliographie, Register Dieses religionsgeschichtliche Grundlagenwerk leistet eine umfassende Historisierung und Personalisierung der Religionsgeschichte der Stadt Rom in der Antike. Jahrweise und nach Kollegien bzw. Funktionen geordnete Zusammenstellungen sowie knapp 4.000 Biographien von Tragern dauerhafter religioser Spezialrollen im antiken Rom (darunter uber 150 judische und etwa 750 christliche religiose Biographien) stellen Daten bereit, die eine Aufarbeitung zentraler Probleme insbesondere der Religionsgeschichte der romischen Kaiserzeit erleichtern: Fragen nach dem sozialen Ort von Religion und Kulten, den sozialen wie strukturellen Austauschbeziehungen zwischen den verschiedenen Kulten und Religionen, Organisationsgeschichten einzelner Kulte. Mit der Aufhebung der Trennung ""traditioneller"" von ""orientalischen"", sozial hochrangigen von niederrangigen, polytheistischen und monotheistischen Religionen wird fur die romische Religionsgeschichte Neuland betreten.",N/A,N/A,de
Fertility control meeting,[],1966,[],N/A,N/A,N/A,fr
Fasti sacerdotum,['Jörg Rüpke'],2005,"['Names, Personal']",N/A,N/A,N/A,de
Io credo,"['Margherita Hack', 'Pierluigi Di Piazza']",2012,['Religion'],N/A,4,N/A,it
Jean-Baptiste Loevenbruck (1795-1876),['René Charrier'],2013-11-25,['Church history'],"Né en 1795 dans la Moselle frontalière, séminariste à Metz et à Mayence, envoyé en stage missionnaire à Paris, sous la tutelle des Missions de France, Jean-Baptiste Loevenbruck fait son apprentissage apostolique en Provence, en Dauphiné, en Auvergne, au pays basque et en Normandie. Il est ordonné prêtre à Grenoble en 1818. Survient en 1822 l’heure sociale de l’Association de Saint-Joseph en faveur des jeunes montant à Paris chercher du travail. En 1826, il laisse son œuvre et se réfugie à la mission de Rouen; il y manque de peu le martyre... À la suite d’un projet utopique en Camargue, il fuit en Italie. En 1827, il rencontre à Milan le prêtre philosophe Rosmini et fonde avec lui à Domodossola l’Institut de la Charité. En parcourant les vallées alpines, il recrute des jeunes filles pour les vouer à l’éducation féminine. En 1835, il accepte une expérience missionnaire savoyarde à partir de l’abbaye de Tamié. Mais en 1839, il quitte les rosminiens pour le sud de la France. En 1847, appelé au secours par M. Leguay, supérieur du Saint-Esprit, il devient spiritain et part à Rome démarcher au nom de sa congrégation. À son retour, délégué de M. Monnet pour les Messieurs du Saint-Esprit et du P. Libermann pour les missionnaires du Saint-Cœur de Marie, il s’active dans la « fusion » des deux sociétés. Envoyé par Rome en mission à Corfou, revenu en France chercher des religieuses qu’il trouve au Bon-Pasteur d’Angers, il ne peut repartir et consume son zèle apostolique dans le grand Ouest, y faisant retentir son pas et sa voix de missionnaire jusqu’à sa mort à Angers en 1876. Imaginatif et impulsif, fantasque et généreux, parlant plusieurs langues, foulant le sol de quelques pays d’Europe, fréquentant sous la Restauration et le Second Empire des hommes et des femmes de toutes extractions, resté toute sa vie à la frontière de l’aventure, spécialisé dans la mission paroissiale, chasseur de vocations féminines, maniaque de fondations, croisé d’esprit et de cœur, il fut un missionnaire passionné de Dieu et de l’Église. René Charrier, né en 1925 dans le diocèse de Nantes, entre chez les spiritains en 1947. Docteur en lettres (Grenoble), il a été professeur en France et au Congo. En ministère paroissial à Pointe-Noire en 1968. De 1974 à 1980, supérieur du district spiritain du Congo, puis maître des novices à Mbalmayo (Cameroun). Rentré d’Afrique en 1988, il travaille dans les archives spiritaines et a publié plusieurs ouvrages.",N/A,N/A,fr
"Le père Corentin, franciscain et résistant","['Bertrand Warusfel', 'Frere Luc Mathieu,', 'Jean-Louis Paumier', 'Patrice de Larrard']",2015-10-15,[],N/A,N/A,N/A,fr
Black Mass,['Aloysius Fernandez'],2010-04-01,['Biography & Autobiography'],"Indeed, it is a story of a life-search. Born and brought up in a traditional catholic family, it is just a look into the various paths I have trodden in my search to re-discover the actual path of Jesus. Rooted in christian faith and theology, the book is an expression of my basic position with the poor and the marginalized sections of the people in their struggle for liberation. In this process, God, faith, religion, morality, society and family - all are to be seen with a perspective, different from the traditional. This book is an attempt to this effect.",N/A,N/A,en
