title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Learning RSLogix 5000 Programming,['AUSTIN MICHAEL. SCOTT'],2020-07-03,['Computers'],N/A,N/A,N/A,en
Artificial Intelligence and Games,"['Georgios N. Yannakakis', 'Julian Togelius']",2025-07-04,['Computers'],"This book covers artificial intelligence methods applied to games, both in research and game development. It is aimed at graduate students, researchers, game developers, and readers with a technical background interested in the intersection of AI and games. The book covers a range of AI methods, from traditional search, planning, and optimization, to modern machine learning methods, including diffusion models and large language models. It discusses applications to playing games, generating content, and modeling players, including use cases such as level generation, game testing, intelligent non-player characters, player retention, player experience analysis, and game adaptation. It also covers the use of games, including video games, to test and benchmark AI algorithms. The book is informed by decades of research and practice in the field and combines insights into game design with deep technical knowledge from the authors, who have pioneered many of the methods and approaches used in the field. This second edition of the 2018 textbook captures significant developments in AI and gaming over the past 7 years, incorporating advancements in computer vision, reinforcement learning, deep learning, and the emergence of transformer-based large language models and generative AI. The book has been reorganized to provide an updated overview of AI in games, with separate sections dedicated to AI’s core uses in playing and generating games, and modeling their players, along with a new chapter on ethical considerations. Aimed at readers with foundational AI knowledge, the book primarily targets three audiences: graduate or advanced undergraduate students pursuing careers in game AI, AI researchers and educators seeking teaching resources, and game programmers interested in creative AI applications. The text is complemented by a website featuring exercises, lecture slides, and additional educational materials suitable for undergraduate and graduate courses.",N/A,N/A,en
Gamers at Work,['Morgan Ramsay'],2012-06-08,['Computers'],"""Gamers at Work is a critical resource for new and experienced business leaders—for anyone who feels unprepared for the demanding and seemingly insurmountable trials ahead of them."" —Peter Molyneux OBE, founder, Lionhead Studios ""Gamers at Work explores every imaginable subtlety of the video-game industry through the fascinating stories of those who took the risks and reaped the rewards."" —Hal Halpin, president, Entertainment Consumers Association ""This is the sort of book that can tear the most hardcore gamers away from their PCs, Macs, or consoles for a few hours of rewarding reading."" —North County Times ""Gamers at Work is truly an invaluable resource that's well worth adding to your personal library."" —Wii Love It There are few companies in the video-game industry that have withstood the test of time; most startups exit as quickly as they enter. In Gamers at Work: Stories Behind the Games People Play, the countless challenges of building successful video-game developers and publishers in this unstable industry are explored through interviews containing entertaining stories, humorous anecdotes, and lessons learned the hard way. Gamers at Work presents an inside look at how 18 industry leaders play the odds, seize opportunities, and transform small businesses into great businesses. Here, in Gamers at Work, you will find their stories replete with their personal struggles, corporate intrigue, and insights into strategy, leadership, and management. Gamers at Work: Explores the formation of entertainment software companies from the perspectives of successful founders who played the odds Provides insight into why experienced professionals sacrifice the comfort of gainful employment for theuncertainty and risk of the startup Shares the experiences and lessons that shape the lives, decisions, and struggles of entrepreneurs in this volatile business As an added bonus, check out Online Game Pioneers at Work, published in 2015, for even more incredible stories from leaders in the mobile space. Featured Entrepreneurs: Trip Hawkins, Electronic Arts (Madden NFL) Nolan Bushnell, Atari (Pong) Wild Bill Stealey, MicroProse Software (Sid Meier's Civilization) Tony Goodman, Ensemble Studios (Age of Empires) Feargus Urquhart, Obsidian Entertainment (Star Wars: Knights of the Old Republic II) Tim Cain, Troika Games (Arcanum, Vampire: the Masquerade—Bloodlines) Warren Spector, Junction Point Studios (Disney Epic Mickey) Doug & Gary Carlston, Broderbund Software (Prince of Persia, Carmen Sandiego) Don Daglow, Stormfront Studios (Neverwinter Nights, Tony La Russa Baseball) John Smedley, Verant Interactive (EverQuest, PlanetSide) Ken Williams, Sierra On-Line (King's Quest, Leisure Suit Larry) Lorne Lanning, Oddworld Inhabitants (Oddworld) Chris Ulm, Appy Entertainment (FaceFighter, Trucks & Skulls) Tobi Saulnier, 1st Playable (Kung Zhu, Yogi Bear) Christopher Weaver, Bethesda Softworks (The Elder Scrolls) Jason Rubin, Naughty Dog (Crash Bandicoot, Uncharted) Ted Price, Insomniac Games (Spyro, Resistance) Other books in the Apress At Work Series: Coders at Work, Seibel, 978-1-4302-1948-4 Venture Capitalists at Work, Shah & Shah, 978-1-4302-3837-9 CIOs at Work, Yourdon, 978-1-4302-3554-5 CTOs at Work, Donaldson, Seigel, & Donaldson, 978-1-4302-3593-4 Founders at Work, Livingston, 978-1-4302-1078-8 European Founders at Work, Santos, 978-1-4302-3906-2 Women Leaders at Work, Ghaffari, 978-1-4302-3729-7 Advertisers at Work, Tuten, 978-1-4302-3828-7",N/A,N/A,en
IT Through Experiential Learning,['Shreekant W Shiralkar'],2016-11-18,['Computers'],"This concise book shows you how experiential learning can be used to overcome the challenges posed in applying and delivering information technology (IT) to your business needs through an innovative, game-based approach. Technology innovations and evolving business models are part of a rapid change that is forcing corporate and management professionals to learn, deploy, and adopt IT in new ways in order to maintain a competitive advantage. Many are doing this through experiential learning. You’ll begin by reviewing the basics of experiential learning and its relevance to IT, followed by six chapters that apply the hands-on concept through various scenarios. Make IT Through Experiential Learning one of your valued resources today. What You'll Learn: Innovative and proven IT-related application scenarios Generic management and leadership skill development Guidance for applying the learning methods for generating extraordinary results over conventional methods Who This Book Is For: IT professionals, higher education students, and those engaged in training and organizational development.",N/A,N/A,en
Advances in Genetic Programming,"['Kenneth E. Kinnear', 'Peter J. Angeline', 'Lee Spector']",1994,['Computers'],"Advances in Genetic Programming reports significant results in improving the power of genetic programming, presenting techniques that can be employed immediately in the solution of complex problems in many areas, including machine learning and the simulation of autonomous behavior. Popular languages such as C and C++ are used in manu of the applications and experiments, illustrating how genetic programming is not restricted to symbolic computing languages such as LISP. Researchers interested in getting started in genetic programming will find information on how to begin, on what public-domain code is available, and on how to become part of the active genetic programming community via electronic mail.",N/A,N/A,en
Building JavaScript Games,['Arjan Egges'],2014-09-30,['Computers'],"Building JavaScript Games teaches game programming through a series of engaging, arcade-style games that quickly expand your JavaScript and HTML5 skills. JavaScript is in the top ten most-used programming languages world wide, and is the basis for applications that can run in any modern browser, on any device from smart phone to tablet to PC. Especial emphasis is given to touch-based interface, but all games also run using a regular mouse and keyboard setup. The four games you’ll develop from reading this book are: Painter Jewel Jam Penguin Pairs Tick Tick These four games are casual, arcade-style games representing the aim-and-shoot, puzzle, maze, and platform styles of game play. The approach in Building JavaScript Games follows the basic structure of a game rather than the syntax of a language. From almost the very first chapter you are building games to run on your phone or other device and show to your friends. Successive projects teach about handling player input, manipulating game objects, designing game worlds, managing levels, and realism through physics. All told, you’ll develop four well-designed games, making Building JavaScript Games one of the most enjoyable ways there is to learn about programming browser-based games. The final chapters in the book contain a very nice bonus of sorts. In them you will find excerpts from interviews with two prominent people from the game industry: Mark Overmars, who is CTO of Tingly Games and creator of GameMaker, and Peter Vesterbacka, the CMO of Rovio Entertainment - the creators of the Angry Birds franchise. Their insight and perspective round off what is already a fun and valuable book.",N/A,N/A,en
XNA 3.0 Game Programming Recipes,['Riemer Grootjans'],2009-05-26,['Computers'],"Join the game development revolution today! XNA 3.0 greatly simplifies the development of your own games, lowering the barrier for programmers to get into game development. In XNA, you can start coding your games from the very start, a true revelation compared to other game programming environments. XNA doesn't sacrifice power for this ease of use—it is built entirely on DirectX technology. Completely updated for XNA 3.0, expert Riemer Grootjans brings together a selection of the hottest recipes in XNA programming for the Xbox 360, PC, and Zune. Advanced XNA programmers, experienced coders new to game development, and even complete beginners will find XNA 3.0 Game Programming Recipes an invaluable companion whether building games for fun or as commercial products.",N/A,N/A,en
Beginning 3D Game Development with Unity 4,['Sue Blackman'],2013-09-20,['Computers'],"Beginning 3D Game Development with Unity 4 is perfect for those who would like to come to grips with programming Unity. You may be an artist who has learned 3D tools such as 3ds Max, Maya, or Cinema 4D, or you may come from 2D tools such as Photoshop and Illustrator. On the other hand, you may just want to familiarize yourself with programming games and the latest ideas in game production. This book introduces key game production concepts in an artist-friendly way, and rapidly teaches the basic scripting skills you'll need with Unity. It goes on to show how you, as an independent game artist, can create interactive games, ideal in scope for today's casual and mobile markets, while also giving you a firm foundation in game logic and design. The first part of the book explains the logic involved in game interaction, and soon has you creating game assets through simple examples that you can build upon and gradually expand. In the second part, you'll build the foundations of a point-and-click style first-person adventure game—including reusable state management scripts, dialogue trees for character interaction, load/save functionality, a robust inventory system, and a bonus feature: a dynamically configured maze and mini-map. With the help of the provided 2D and 3D content, you'll learn to evaluate and deal with challenges in bite-sized pieces as the project progresses, gaining valuable problem-solving skills in interactive design. By the end of the book, you will be able to actively use the Unity 3D game engine, having learned the necessary workflows to utilize your own assets. You will also have an assortment of reusable scripts and art assets with which to build future games.",N/A,N/A,en
Moving from Unity to Godot,['Alan Thorn'],2020-06-13,['Computers'],"Are you a Unity developer looking to switch to the Godot engine quickly? If so, this no-nonsense book is your guide to mastering the most popular open-source game engine. Godot is a completely free game engine for creating high-quality 2D and 3D games that can be launched on multiple platforms. You'll see how to transition seamlessly from Unity to Godot, getting up and running quickly and effectively, using practical case studies. In addition to building functional worlds from meshes and physical interactions, you'll work with reusable assets, such as textures. The book then moves on to lighting and rendering 2D and 3D scenes with baked and real-time lighting. You'll also work with navigation and path-finding for NPCs, and see how to create save-game states with JSON. With Moving from Unity to Godot you’ll be ready to create amazing 2D and 3D games that will supercharge your business. What You Will Learn Explorethe similarities and differences between Unity and Godot Maximize the benefits from Unity and Godot Create believable game world and characters with Godot Master the unique aspects of C# coding in Godot Who This Book is For Developers familiar with Unity who want to master another game engine, such as Godot.",N/A,N/A,en
Modeling and Animation Using Blender,['Ezra Thess Mendoza Guevarra'],2019-12-09,['Computers'],"Discover the 3D-modeling and animation power of Blender 3D. This book starts with a brief introduction to Blender 3D including installation and the user interface. The following two chapters then introduce you to the upgraded tools in Blender 2.80 for 3D modeling, texturing, shading, and animation. The last chapter discusses the Blender game engine and all its core features. Along the way you’ll see why Blender 3D has proved its competency in UV unwrapping, texturing, raster graphic editing, rigging, sculpting, animating, motion graphics, and video editing through the years. Modeling and Animation Using Blender gives a thorough tour of Blender Eevee, covering its new features and how to make best use of them. After reading this book you will have the confidence to choose Blender for your next project. What You Will Learn Master the features of Blender Eevee Work with modeling, animation, and much more using theupdated software Understand important concepts such as physics and particles Who This Book Is For Art enthusiasts and professionals who want to learn Blender 3D. Blender 3D professionals who want to learn about the latest version would find the book useful.",N/A,N/A,en
