title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Power of Habit,['Charles Duhigg'],2012-02-28,['Business & Economics'],"NEW YORK TIMES BESTSELLER • MORE THAN 3 MILLION COPIES SOLD • This instant classic explores how we can change our lives by changing our habits. “Few [books] become essential manuals for business and living. The Power of Habit is an exception.”—Financial Times A WALL STREET JOURNAL AND FINANCIAL TIMES BEST BOOK OF THE YEAR In The Power of Habit, award-winning business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. Distilling vast amounts of information into engrossing narratives that take us from the boardrooms of Procter & Gamble to the sidelines of the NFL to the front lines of the civil rights movement, Duhigg presents a whole new understanding of human nature and its potential. At its core, The Power of Habit contains an exhilarating argument: The key to exercising regularly, losing weight, being more productive, and achieving success is understanding how habits work. As Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives. With a new Afterword by the author",4,N/A,en
Marital Conflict and Children,"['E. Mark Cummings', 'Patrick T. Davies']",2011-09-01,['Psychology'],"From leading researchers, this book presents important advances in understanding how growing up in a discordant family affects child adjustment, the factors that make certain children more vulnerable than others, and what can be done to help. It is a state-of-the-science follow-up to the authors' seminal earlier work, Children and Marital Conflict: The Impact of Family Dispute and Resolution. The volume presents a new conceptual framework that draws on current knowledge about family processes; parenting; attachment; and children's emotional, physiological, cognitive, and behavioral development. Innovative research methods are explained and promising directions for clinical practice with children and families are discussed.",N/A,N/A,en
Philosophical Explanations,['Robert Nozick'],1981,['Philosophy'],"Nozick develops new views on philosophy’s central topics and weaves them into a unified perspective. He ranges widely over philosophy’s fundamental concerns: the identity of the self, knowledge and skepticism, free will, the question of why there is something rather than nothing, the foundations of ethics, the meaning of life.",3,N/A,en
The Culture Code,['Daniel Coyle'],2018-01-30,['Business & Economics'],"NEW YORK TIMES BESTSELLER • The author of The Talent Code unlocks the secrets of highly successful groups and provides tomorrow’s leaders with the tools to build a cohesive, motivated culture. “A truly brilliant, mesmerizing read that demystifies the magic of great groups.”—Adam Grant, author of Think Again A BLOOMBERG AND LIBRARY JOURNAL BEST BOOK OF THE YEAR Where does great culture come from? How do you build and sustain it in your group, or strengthen a culture that needs fixing? In The Culture Code, Daniel Coyle goes inside some of the world’s most successful organizations—including the U.S. Navy’s SEAL Team Six, IDEO, and the San Antonio Spurs—and reveals what makes them tick. He demystifies the culture-building process by identifying three key skills that generate cohesion and cooperation, and explains how diverse groups learn to function with a single mind. Drawing on examples that range from Internet retailer Zappos to the comedy troupe Upright Citizens Brigade to a daring gang of jewel thieves, Coyle offers specific strategies that trigger learning, spark collaboration, build trust, and drive positive change. Coyle unearths helpful stories of failure that illustrate what not to do, troubleshoots common pitfalls, and shares advice about reforming a toxic culture. Combining leading-edge science, on-the-ground insights from world-class leaders, and practical ideas for action, The Culture Code offers a roadmap for creating an environment where innovation flourishes, problems get solved, and expectations are exceeded. Culture is not something you are—it’s something you do. The Culture Code puts the power in your hands. No matter the size of your group or your goal, this book can teach you the principles of cultural chemistry that transform individuals into teams that can accomplish amazing things together.",N/A,N/A,en
"Introduction to Mediation, Moderation, and Conditional Process Analysis",['Andrew F. Hayes'],2013-04-22,['Psychology'],"Explaining the fundamentals of mediation and moderation analysis, this engaging book also shows how to integrate the two using an innovative strategy known as conditional process analysis. Procedures are described for testing hypotheses about the mechanisms by which causal effects operate, the conditions under which they occur, and the moderation of mechanisms. Relying on the principles of ordinary least squares regression, Andrew Hayes carefully explains the estimation and interpretation of direct and indirect effects, probing and visualization of interactions, and testing of questions about moderated mediation. Examples using data from published studies illustrate how to conduct and report the analyses described in the book. Of special value, the book introduces and documents PROCESS, a macro for SPSS and SAS that does all the computations described in the book. The companion website (www.afhayes.com) offers free downloads of PROCESS plus data files for the book's examples. Unique features include: *Compelling examples (presumed media influence, sex discrimination in the workplace, and more) with real data; boxes with SAS, SPSS, and PROCESS code; and loads of tips, including how to report mediation, moderation and conditional process analyses. *Appendix that presents documentation on use and features of PROCESS. *Online supplement providing data, code, and syntax for the book's examples.",N/A,N/A,en
What Is Intelligence?,['James R. Flynn'],2007-08-27,['Psychology'],"The 'Flynn effect' refers to the massive increase in IQ test scores over the course of the twentieth century. Does it mean that each generation is more intelligent than the last? Does it suggest how each of us can enhance our own intelligence? Professor Flynn is finally ready to give his own views. He asks what intelligence really is and gives a surprising and illuminating answer. This expanded paperback edition includes three important new essays. The first contrasts the art of writing cognitive history with the science of measuring intelligence and reports data. The second outlines how we might get a complete theory of intelligence, and the third details Flynn's reservations about Gardner's theory of multiple intelligences. A fascinating book that bridges the gulf separating our minds from those of our ancestors a century ago, and makes an important contribution to our understanding of human intelligence.",N/A,N/A,en
The Authoritarian Personality,"['Theodor Adorno', 'Else Frenkel-Brenswik', 'Daniel J. Levinson', 'R. Nevitt Sanford']",2019-08-27,['Political Science'],"This hugely influential study on the psychology of authoritarianism was written in answer to Hitler’s Germany—and now rings more relevant than ever as fascism and anti-Semitism sweep across America. What makes a fascist? Are there character traits that make someone more likely to vote for the far right? The Authoritarian Personality is not only one of the most significant works of social psychology ever written, it also marks a milestone in the development of Adorno’s thought, showing him grappling with the problem of fascism and the reasons for Europe’s turn to reaction. Over half a century later, and with the rise of right-wing populism and the reemergence of the far-right in recent years, this hugely influential study remains as insightful and relevant as ever. This new edition includes an introduction by Frankfurt School scholar Peter E. Gordon and contains the first-ever publication of Adorno’s subsequent critical notes on the project. “Adorno and his colleagues could easily have been describing Alex Jones’s paranoid InfoWars rants or the racist views expressed by many Trump supporters.” —Molly Worthen, New York Times",N/A,N/A,en
Mind Children,['Hans Moravec'],1988,['Computers'],"""A dizzying display of intellect and wild imaginings by Moravec, a world-class roboticist who has himself developed clever beasts . . . Undeniably, Moravec comes across as a highly knowledgeable and creative talent--which is just what the field needs"".--Kirkus Reviews.",5,N/A,en
Situated Learning,"['Jean Lave', 'Etienne Wenger']",1991-09-27,['Psychology'],"In this important theoretical treatist, Jean Lave, anthropologist, and Etienne Wenger, computer scientist, push forward the notion of situated learning - that learning is fundamentally a social process. The authors maintain that learning viewed as situated activity has as its central defining characteristic a process they call legitimate peripheral participation (LPP). Learners participate in communities of practitioners, moving toward full participation in the sociocultural practices of a community. LPP provides a way to speak about crucial relations between newcomers and old-timers and about their activities, identities, artefacts, knowledge and practice. The communities discussed in the book are midwives, tailors, quartermasters, butchers, and recovering alcoholics, however, the process by which participants in those communities learn can be generalised to other social groups.",N/A,N/A,en
The Science of Getting Rich,['Wallace D. Wattles'],2007-04,['Business & Economics'],"This book claims there is a science to becoming wealthy, and reveals it here. Since it first appeared in 1915 people have used its principles successfully, so it is a time-tested system. Today this book is in more demand than ever. It was the inspiration for the 2006 film, The Secret. A true classic in the art of making money - lots of it.",5,N/A,en
