title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Poetic Edda,['Carolyne Larrington'],2014,['Literary Collections'],"This collection of Norse-Icelandic mythological and heroic poetry contains the greater narratives of the creation of the world and the coming of Ragnarok, the Doom of the Gods.",N/A,N/A,en
The Taming of the Shrew,['William Shakespeare'],2008-07-30,['Drama'],"Can a man tame an ill-tempered woman? Petruchio thinks he is up to the task in The Taming of the Shrew. William Shakespeare (1564 ż 1616) is the most influential writer in English history. Shakespeare has been called The Barb of Avon and Englandżs national poet. There are 2 narrative poems, 154 sonnets and 38 plays in his collected works. He began work as an actor and writer in London first writing comedies and historic plays. He later wrote tragedies. Romeo and Juliet, MacBeth and Othello are some of his more famous plays. The Taming of the Shrew was an early comedy. The play begins with a drunken man who is deceived into thinking he is a nobleman. He then watches this play in which the noble Petruchio married an outspoken ill-tempered woman. Katherine is eventually tamed to the will be Petruchio. The play has been adapted into opera, stage plays and screen plays. Cole Porterżs play Kiss Me Kate is one instance",4.5,N/A,en
The Mandaeans,['Jorunn Jacobsen Buckley'],2002,['History'],"The Mandaeans were a gnostic sect that arose in the Middle East around the same time as Christianity. This text examines the lives and religion of contemporary Mandaeans and provides an introduction to the religion, showing how its ancient texts inform the living religion, and vice versa.",N/A,N/A,en
Zeus,['Tom Stone'],2008-02-05,['Religion'],"Traces the four-thousand-year history of the charismatic father of the Greek gods, from his origins in the Russian steppes and reign on Mount Olympus to his approaching end in Christian Constantinople, in an account that follows the author's journeys to relevant sites in Greek mythology.",N/A,N/A,en
A Record of Buddhistic Kingdoms,['Faxian'],2019-11-19,['Religion'],"In ""A Record of Buddhistic Kingdoms,"" Faxian presents a remarkable travelogue documenting his pilgrimage from China to India during the early fifth century. Written in a clear and straightforward prose, the narrative interweaves personal observations with rich descriptions of the varied cultures, practices, and landscapes he encountered in Buddhist regions. The text serves not merely as a historical account but also as a vital scholarly resource that reveals the diffusion of Buddhism and the interconnectedness of Eastern civilizations during a pivotal era in religious history. Faxian's meticulous attention to detail and reverent discourse on the teachings and monastic traditions he observed elevate his work within the literary tradition of travel writing and religious studies. Faxian, a Buddhist monk and traveler, undertook this arduous journey between 399 and 414 CE, driven by a profound desire to obtain sacred texts and seek the authentic teachings of the Buddha. His scholarly pursuits and experiences offer invaluable insights into the socio-religious fabric of the time, reflecting the spiritual fervor of early Buddhists and their tireless quest for knowledge. Faxian'Äôs background as a monk inherently influenced his perspective, imbuing his observations with a depth that resonates with readers and scholars alike. ""A Record of Buddhistic Kingdoms"" is an essential read for anyone intrigued by the histories of Buddhism, cultural exchange, and the transformative power of travel. It invites readers to embark on a journey through time and space, enriching their understanding of this profound religious tradition. Faxian's vivid narrative will resonate not just with scholars but with anyone who appreciates adventure, spirituality, and the interplay of diverse cultures.",N/A,N/A,en
Book of Omens,['Talât Tekin'],1993,['Reference'],N/A,N/A,N/A,en
The Individual and the Cosmos in Renaissance Philosophy,['Ernst Cassirer'],2010-04,['Biography & Autobiography'],"This provocative volume, one of the most important interpretive works on the philosophical thought of the Renaissance, has long been regarded as a classic in its field. Ernst Cassirer here examines the changes brewing in the early stages of the Renaissance, tracing the interdependence of philosophy, language, art, and science; the newfound recognition of individual consciousness; and the great thinkers of the period—from da Vinci and Galileo to Pico della Mirandola and Giordano Bruno. The Individual and the Cosmos in Renaissance Philosophy discusses the importance of fifteenth-century philosopher Nicholas Cusanus, the concepts of freedom and necessity, and the subject-object problem in Renaissance thought. “This fluent translation of a scholarly and penetrating original leaves little impression of an attempt to show that a ‘spirit of the age’ or ‘spiritual essence of the time’ unifies and expresses itself in all aspects of society or culture.”—Philosophy",N/A,N/A,en
Wor(l)d Religions,['Daniel Deleanu'],2003-12-16,['Religion'],"Daniel Deleanu continues in Wor(l)d Religions the logosophistic adventure started in Principles of Logosophism, The Logoarchetype and Logosophistic Investigations. Unlike the other three books from the logosophistic series, Wor(l)d Religions appeals to a wider array of readers. Daniel Deleanu chooses a rational methodology, namely that exposed by Immanuel Kant in his essay Fundamental Principals of the Metaphysic of Morals. By this approach, the creator of logosophism does not intend to reduce the study of religion to a strict framework of empirical determinism, but, on the contrary, he wishes to prove that the analytical study religion should have all the attributes of science. By eliminating most of the subjective properties of world religions, which are due to the nature of the observer rather than the religions themselves, the author traces a common path of all major beliefs, leading to the most important archetype of humankind, the Word (the logoarchetype), which is associated with the Divinity in every spiritual tradition.",N/A,N/A,en
The Most Learned of the Shiʻa,['Linda S. Walbridge'],2001,['History'],"The problem of who should succeed the Prophet has plagued the Islamic community since the time of his death. The Shiites have decided on a successor, but that does not solve who is the lawful marja (or grand ayatollah) of all the Shi'a.",N/A,N/A,en
Pilgrimage to the End of the World,['Conrad Rudolph'],2004-05-19,['Art'],"Traveling two and a half months and one thousand miles along the ancient route through southern France and northern Spain, Conrad Rudolph made the passage to the holy site of Santiago de Compostela, one of the most important modern-day pilgrimage destinations for Westerners. In this chronicle of his travels to this captivating place, Rudolph melds the ancient and the contemporary, the spiritual and the physical, in a book that is at once travel guide, literary work, historical study, and memoir.",N/A,N/A,en
Classical Indian Metaphysics,['Stephen H. Phillips'],1997,['Philosophy'],"Our knowledge of the most ancient times in India rests mainly on tradition. The Puranas, the Mahabharata, and in a minor degree of Ramayana profess to give accounts from tradition about the earliest accurrences. The Rgveda contains historical allusions, of which some record contemporary persons and events, but more refer to bygone times and persons and are obviously based on tradition. Almost all the information therefore comes from tradition. The results obtained from an examination of Puranic and epic tradition as well as of the Rgveda and Vedic literature are set forth in the present book, which happens to be a pioneering work in the area by an important orientalist of the nineteenth century.",N/A,N/A,en
Moralia,['Plutarch'],1961,['Ethics'],"""Plutarch (Plutarchus), ca. 45-120 CE, was born at Chaeronea in Boeotia in central Greece, studied philosophy at Athens, and, after coming to Rome as a teacher in philosophy, was given consular rank by the emperor Trajan and a procuratorship in Greece by Hadrian. He was married and the father of one daughter and four sons. He appears as a man of kindly character and independent thought, studious and learned.Plutarch wrote on many subjects. Most popular have always been the 46 Parallel Lives, biographies planned to be ethical examples in pairs (in each pair, one Greek figure and one similar Roman), though the last four lives are single. All are invaluable sources of our knowledge of the lives and characters of Greek and Roman statesmen, soldiers and orators. Plutarch's many other varied extant works, about 60 in number, are known as Moralia or Moral Essays. They are of high literary value, besides being of great use to people interested in philosophy, ethics and religion.The Loeb Classical Library edition of the Moralia is in fifteen volumes, volume XIII having two parts.""--",N/A,N/A,en
