title,authors,publishedDate,categories,description,averageRating,textSnippet
Neurodevelopmental Disorders,"['W. Wolfgang Fleischhacker', 'David J. Brooks']",2005-11-18,['Medical'],"The book provides a comprehensive overview of neurodevelopmental disorders comprising motor, speech, cognitive and behavioral dysfunctions. Childhood and adolescent disorders ranging from dyslexia to schizophrenia and including autism, motor disorders and the attention deficit hyperactivity syndrome are presented from the perspectives of genetics, developmental psychology, clinical neurology and psychiatry. A multiprofessional team of experts from the various fields has contributed to this volume, which is aimed at clinicians and researchers alike. The reader will find up to date coverage of the clinically most relevant neurodevelopmental disorders with regard to pathophysiology, clinical presentation and treatment.",N/A,N/A
Endodontics Review,"['Brooke Blicher', 'Rebekah Lucier Pryles', 'Jarshen Lin']",2016,[],N/A,N/A,N/A
50 Landmark Papers Every Pediatric Surgeon Should Know,"['MARK. DAVENPORT', 'Bashar Aldeiri', 'Joseph Davidson']",2023-11-22,[],"This book identifies the 50 key scientific articles in the field of pediatric surgery. It provides a commentary to each carefully selected paper and explains why these papers are so important, thus providing every surgeon with the foundation stones of knowledge in this fast-moving area. The key advances in neonatal, pediatric, and fetal surgery - game-changers if you will - that have led to the significant improvements in clinical outcome and results are all included. The choice of papers provides an insight into the development of pediatric surgery and offers an important aid to understanding the subject for practicing pediatric surgeons and residents.",N/A,N/A
50 Landmark Papers Every Acute Care Surgeon Should Know,"['Stephen M. Cohn', 'Peter Rhee']",2019-12-02,['Surgical intensive care'],"""This book identifies the 50 key scientific articles in the field of acute and emergency surgery and explains, via expert reflections and editorial perspectives, why these papers are important. Identifying those influential contributors who have shaped the practice of modern acute surgery, the book covers surgical emergencies in the areas of esophageal, gastric, duodenal, intestinal, biliary, pancreatic, anorectal and general surgery. This an invaluable reference for trainees, fellows, and surgeons studying for exams, as well as for seasoned surgeons who want to stay current in this field""--",N/A,N/A
50 Landmark Papers Every Intensivist Should Know,"['Stephen M. Cohn', 'Alan Lisbon', 'Stephen Heard']",2021,['Medical'],"""This book identifies the 50 key scientific articles in the field of Intensive Care and explains why these papers are important in contemporary clinical management. Identifying those influential contributors who have shaped the practice of modern Intensive care practice, the book includes seminal papers in a wide range of areas. This an invaluable reference for trainees, fellows, and surgeons studying for exams, as well as for seasoned surgeons and physicians who want to stay current in their field""--",N/A,N/A
Information and Communication Technologies in Behavioral Health,"['Joshua Breslau', 'Charles C. Engel']",2015,['History'],The authors reviewed the scientific literature on information and communication technologies available online and on smartphones to assist the U.S. Air Force in developing a strategy for use of these technologies in behavioral health care.,N/A,N/A
Possible Health Hazards from Different Types of Amorphous Silicas,['J. Jahr'],1981,['Amorphous silica'],"A review is given of some of the literature on the effect of different amorphous silicas on the lungs, with emphasis on the type collected in the ferrosilicon industry. Animal experiments indicate that amorphous silica gives a fairly strong initial lung reaction which, however, has little or no tendency to progress, and thus differs significantly from crystalline silica. Most of the reported cases of silicosis among workers exposed to amorphous silica in the ferrosilicon industry have either been transient lung changes or connected to exposure to crystalline silica. Workers exposed only to precipitated amorphous silica do not seem to be at any significant risk. Amorphous silica transforms easily to cristobalite at temperatures much lower than the reported stable temperature range (1470 to 1710°C). It then represents a silicosis hazard if inhaled. Provisional administrative norms (AN) [corresponding to threshold limit values (TLVs)] are suggested.",N/A,N/A
50 Landmark Papers Every Trauma Surgeon Should Know,['Stephen M. Cohn'],2019-07-23,['Traumatology'],"In 50 Landmark Papers every Trauma Surgeon Should Know, editors Stephen Cohn and Ara Feinstein have compiled a selection of the most influential contributions to the specialty of trauma surgery. This book comprises 50 thought provoking reviews of carefully selected papers and explains how trauma surgery practice changed as a result of this research. The selection of key papers, the insights into the significance of each paper from trauma experts, and the opportunity to read the original authors' thoughts about their ground-breaking developments, make this a unique and fascinating resource. Of interest to surgical residents and trainees, Trauma and Surgical Critical Care fellows and all members of the Trauma team. This is both an informative and personal look at the foundation stones of modern Trauma care. Key Features: Unique commentary by original authors and experts Demonstrates how clinical practice has adapted following these landmark studies Specialty defining papers are brought to life, and their impact assessed Shows how the insight and vision of individual surgeons propelled change tice has adapted following these landmark studies Specialty defining papers are brought to life, and their impact assessed Shows how the insight and vision of individual surgeons propelled change",N/A,N/A
A Review of European Research Into Airtightness and Air Infiltration Measurement Techniques,['MW. Liddament'],1986,['Air infiltration'],"An important function of the Air Infiltration Centre, Bracknell, Berkshire, Great Britain, is to keep research organizations informed of on-going research into air infiltration in buildings. To fulfill this need, the Centre regularly undertakes a worldwide survey of current research. In this report, the results of the Centre's most recent survey, completed in 1983, are used to provide a background to present European airtightness and air infiltration measurement practices. A wide range of research activities are summarized involving the use of both pressurization and tracer gas techniques. In addition, the increasing effort being devoted to the measurement of air infiltration in nondomestic buildings is emphasized. Other topics covered include ventilation efficiency measurements and multitracer air movement studies.",N/A,N/A
Les lacunes constitutionnelles,"['Julien Jeanneney', 'Michel Verpeaux']",2016-04-13,[],"Il est fréquent, presque par réflexe, de nier la possibilité de lacunes en présentant les constitutions en général et celle de 1958 en particulier comme étant nécessairement complètes, en ne considérant les lacunes que comme une vue de l’esprit. Cette affirmation méritait d’être évaluée. La thèse mêle, de manière heureuse, l’étude concrète du droit positif et des questionnements de théorie du droit et de théorie constitutionnelle et M Julien Jeanneney passe au crible tant le droit constitutionnel lui-même, institutionnel et jurisprudentiel, que les discours doctrinaux et politiques formulés à son propos. Une fois constatée la richesse des écrits peu connus consacrés, dans de nombreux pays, depuis plus d’un siècle, à la question des lacunes dans les systèmes normatifs, l’auteur a observé que ces propositions de théorie du droit sont rarement évaluées à l’aune d’une analyse précise du droit positif. Il a alors cherché à clarifier les concepts par le truchement desquels est le plus souvent appréhendée la question des lacunes dans les systèmes normatifs, en montrant les avantages et les inconvénients de chacune de ces représentations, à la faveur de leur confrontation avec le droit positif. Il a fait le choix, en particulier, de mettre en regard la diversité des propositions relatives au caractère complet ou lacunaire des systèmes normatifs en général et ce que les systèmes normatifs constitutionnels en particulier la Constitution de 1958 peuvent avoir de singulier. L’auteur défend la thèse selon laquelle les lacunes perçues dans un système normatif sont autant le fruit de la conception systématique des normes juridiques, servie par l’entreprise de dogmatique juridique, que des propriétés attachées, de façon contingente, à tel ou tel système normatif particulier. Constatant le malaise que suscite l’étude des lacunes dans le champ du droit et le désordre conceptuel qui entoure couramment l’utilisation des termes employés pour les désigner, il distingue différents types de lacunes, les lacunes normatives, les « lacunes de reconnaissance «, les «lacunes subjectives», les «lacunes techniques», et les «lacunes axiologiques». A ces différents concepts dont les principaux traits ont été fixés par deux siècles d’écrits doctrinaux, l’auteur propose d’ajouter un concept de «lacune institutionnelle», qui présente, à ses yeux, l’avantage d’illustrer ce qu’il peut y avoir de plus objectif dans la désignation d’une lacune dans la Constitution.",N/A,N/A
