title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Mind Children,['Hans Moravec'],1988,['Computers'],"""A dizzying display of intellect and wild imaginings by Moravec, a world-class roboticist who has himself developed clever beasts . . . Undeniably, Moravec comes across as a highly knowledgeable and creative talent--which is just what the field needs"".--Kirkus Reviews.",5,N/A,en
Robot Evolution,['Mark E. Rosheim'],1994-08-11,['Technology & Engineering'],"The ancient Greeks built automata, as did the Egyptians and the Japanese. Leonardo da Vinci designed mechanical men, and entertainment robots were all the rage in eighteenth-century Europe.",N/A,N/A,en
"Innovations and Advances in Computer, Information, Systems Sciences, and Engineering","['Khaled Elleithy', 'Tarek Sobh']",2012-08-28,['Technology & Engineering'],"Innovations and Advances in Computer, Information, Systems Sciences, and Engineering includes the proceedings of the International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering (CISSE 2011). The contents of this book are a set of rigorously reviewed, world-class manuscripts addressing and detailing state-of-the-art research projects in the areas of Industrial Electronics, Technology and Automation, Telecommunications and Networking, Systems, Computing Sciences and Software Engineering, Engineering Education, Instructional Technology, Assessment, and E-learning.",N/A,N/A,en
Handbook of Modern Sensors,['Jacob Fraden'],2015-10-15,['Technology & Engineering'],"This book presents a comprehensive and up-to-date account of the theory (physical principles), design, and practical implementations of various sensors for scientific, industrial, and consumer applications. This latest edition focuses on the sensing technologies driven by the expanding use of sensors in mobile devices. These new miniature sensors will be described, with an emphasis on smart sensors which have embedded processing systems. The chapter on chemical sensors has also been expanded to present the latest developments. Digital systems, however complex and intelligent they may be, must receive information from the outside world that is generally analog and not electrical. Sensors are interface devices between various physical values and the electronic circuits that ""understand"" only a language of moving electrical charges. In other words, sensors are the eyes, ears, and noses of silicon chips. Unlike other books on sensors, the Handbook of Modern Sensors is organized according to the measured variables (temperature, pressure, position, etc.). This book is a reference text for students, researchers interested in modern instrumentation (applied physicists and engineers), sensor designers, application engineers and technicians whose job it is to understand, select and/or design sensors for practical systems.",N/A,N/A,en
"Universe, Human Immortality and Future Human Evaluation",['Alexander Bolonkin'],2011-12-12,['Computers'],Pt. 1. Universe. Who are we? Where are we? -- pt. 2. Human immortality and future human evaluation.,N/A,N/A,en
Control of Machines with Friction,['Brian Armstrong-Hélouvry'],2012-12-06,['Technology & Engineering'],"It is my ambition in writing this book to bring tribology to the study of control of machines with friction. Tribology, from the greek for study of rubbing, is the discipline that concerns itself with friction, wear and lubrication. Tribology spans a great range of disciplines, from surface physics to lubrication chemistry and engineering, and comprises investigators in diverse specialities. The English language tribology literature now grows at a rate of some 700 articles per year. But for all of this activity, in the three years that I have been concerned with the control of machines with friction, I have but once met a fellow controls engineer who was aware that the field existed, this including many who were concerned with friction. In this vein I must confess that, before undertaking these investigations, I too was unaware that an active discipline of friction existed. The experience stands out as a mark of the specialization of our time. Within tribology, experimental and theoretical understanding of friction in lubricated machines is well developed. The controls engineer's interest is in dynamics, which is not the central interest of the tribologist. The tribologist is more often concerned with wear, with respect to which there has been enormous progress - witness the many mechanisms which we buy today that are lubricated once only, and that at the factory. Though a secondary interest, frictional dynamics are note forgotten by tribology.",N/A,N/A,en
Algorithms and Law,"['Martin Ebers', 'Susana Navas']",2020-07-23,['Computers'],"Exploring issues from big-data to robotics, this volume is the first to comprehensively examine the regulatory implications of AI technology.",N/A,N/A,en
Innovation in Agricultural Robotics for Precision Agriculture,['Avital Bechar'],2021-08-18,['Technology & Engineering'],"This book provides a review of the state-of-the-art of agricultural robotics in different aspects of PA, the goals, and the gaps. The book introduces the area of Agricultural Robotics for Precision Agriculture (PA) specifically the conditions and limitations for implementing robots in this field and presents the concepts, principles, required abilities, components, characteristics and performance measures, conditions, and rules for robots in PA.",N/A,N/A,en
Fundamentals of Agricultural and Field Robotics,"['Manoj Karkee', 'Qin Zhang']",2021-07-27,['Technology & Engineering'],"Over the past century, mechanization has been an important means for optimizing resource utilization, improving worker health and safety and reducing labor requirements in farming while increasing productivity and quality of 4F (Food, Fuel, Fiber, Feed). Recognizing this contribution, agricultural mechanization was considered as one of the top ten engineering achievements of 20th century by the National Academy of Engineering. Accordingly farming communities have adopted increasing level of automation and robotics to further improve the precision management of crops (including input resources), increase productivity and reduce farm labor beyond what has been possible with conventional mechanization technologies. It is more important than ever to continue to develop and adopt novel automation and robotic solutions into farming so that some of the most complex agricultural tasks, which require huge amount of seasonal labor such as fruit and vegetable harvesting, could be automated while meeting the rapidly increasing need for 4F. In addition, continual innovation in and adoption of agricultural automation and robotic technologies is essential to minimize the use of depleting resources including water, minerals and other chemicals so that sufficient amount of safe and healthy food can be produced for current generation while not compromising the potential for the future generation. This book aims at presenting the fundamental principles of various aspects of automation and robotics as they relate to production agriculture (the branch of agriculture dealing with farming operations from field preparation to seeding, to harvesting and field logistics). The building blocks of agricultural automation and robotics that are discussed in the book include sensing and machine vision, control, guidance, manipulation and end-effector technologies. The fundamentals and operating principles of these technologies are explained with examples from cutting-edge research and development currently going on around the word. This book brings together scientists, engineers, students and professionals working in these and related technologies to present their latest examples of agricultural automation and robotics research, innovation and development while explaining the fundamentals of the technology. The book, therefore, benefits those who wish to develop novel agricultural engineering solutions and/or to adopt them in the future.",N/A,N/A,en
Handbook of Coil Winding,"['Jürgen Hagedorn', 'Florian Sell-Le Blanc', 'Jürgen Fleischer']",2017-07-24,['Technology & Engineering'],"This book presents the current coil winding methods, their associated technologies and the associated automation techniques. From the introduction as a forming joining process, over the physical properties of coils, the semifinished products (wire, coil body, insulation) are introduced. In the process chain, different winding methods are used for magnet wire winding. Finally, the automation of these processes is described.",N/A,N/A,en
Modern Inertial Technology,['Anthony Lawrence'],2012-12-06,['Technology & Engineering'],"Mechanical Engineering, an engineering discipline borne of the needs of the in dustrial revolution, is once again asked to do its substantial share in the call for industrial renewal. The general call is urgent as we face profound issues of pro ductivity and competitiveness that require engineering solutions, among others. The Mechanical Engineering Series features graduate texts and research mono graphs intended to address the need for information in contemporary areas of me chanical engineering. The series is conceived as a comprehensive one that covers a broad range of concentrations important to mechanical engineering graduate education and re search. We are fortunate to have a distinguished roster of consulting editors on the advisory board, each an expert in one of the areas of concentration. The names of the consulting editors are listed on the next page of this volume. The areas of concentration are applied mechanics, biomechanics, computational mechanics, dynamic systems and control, energetics, mechanics of materials, processing, ther mal science, and tribology. I am pleased to present this volume in the Series: Modern Inertial Technology: Navigation, Guidance, and Control, Second Edition, by Anthony Lawrence. The selection of this volume underscores again the interest of the Mechanical Engi neering series to provide our readers with topical monographs as well as graduate texts in a wide variety of fields.",N/A,N/A,en
Elements of Robotics,"['Mordechai Ben-Ari', 'Francesco Mondada']",2017-10-25,['Computers'],"This open access book bridges the gap between playing with robots in school and studying robotics at the upper undergraduate and graduate levels to prepare for careers in industry and research. Robotic algorithms are presented formally, but using only mathematics known by high-school and first-year college students, such as calculus, matrices and probability. Concepts and algorithms are explained through detailed diagrams and calculations. Elements of Robotics presents an overview of different types of robots and the components used to build robots, but focuses on robotic algorithms: simple algorithms like odometry and feedback control, as well as algorithms for advanced topics like localization, mapping, image processing, machine learning and swarm robotics. These algorithms are demonstrated in simplified contexts that enable detailed computations to be performed and feasible activities to be posed. Students who study these simplified demonstrations will be well prepared for advanced study of robotics. The algorithms are presented at a relatively abstract level, not tied to any specific robot. Instead a generic robot is defined that uses elements common to most educational robots: differential drive with two motors, proximity sensors and some method of displaying output to the user. The theory is supplemented with over 100 activities, most of which can be successfully implemented using inexpensive educational robots. Activities that require more computation can be programmed on a computer. Archives are available with suggested implementations for the Thymio robot and standalone programs in Python.",N/A,N/A,en
Autonomous Robots and Agents,['Gourab Sen Gupta'],2007-08-14,['Technology & Engineering'],"This book collects the extended versions of the best papers presented at the 3rd International Conference on Autonomous Robots and Agents, ICARA 2006, held at Palmerston North, New Zealand, December, 2006. It covers theoretical and methodological aspects of incorporating intelligence in autonomous robots and agents, detailing the collaborative efforts and methods needed to overcome challenges faced in the real world and accomplish complex tasks.",N/A,N/A,en
Robotics,"['Matjaž Mihelj', 'Tadej Bajd', 'Aleš Ude', 'Jadran Lenarčič', 'Aleš Stanovnik', 'Marko Munih', 'Jure Rejc', 'Sebastjan Šlajpah']",2018-07-25,['Technology & Engineering'],"This book introduces readers to robotics, industrial robot mechanisms, and types of robots, e.g. parallel robots, mobile robots and humanoid robots. The book is based on over 20 years of teaching robotics and has been extensively class tested and praised for its simplicity. It addresses the following subjects: a general introduction to robotics; basic characteristics of industrial robot mechanisms; position and movement of an object, which are described by homogenous transformation matrices; a geometric model of robot mechanisms expanded with robot wrist orientation description in this new edition; a brief introduction to the kinematics and dynamics of robots; robot sensors and planning of robot trajectories; fundamentals of robot vision; basic control schemes resulting in either desired end-effector trajectory or force; robot workcells with feeding devices and robot grippers. This second edition has been expanded to include the following new topics: parallel robots; collaborative robots; teaching of robots; mobile robots; and humanoid robots. The book is optimally suited for courses in robotics or industrial robotics and requires a minimal grasp of physics and mathematics. The 1st edition of this book won the Outstanding Academic Title distinction from the library magazine CHOICE in 2011.",N/A,N/A,en
Introduction to Robotics,['John J. Craig'],2005,['Technology & Engineering'],"Written for senior level or first year graduate level robotics courses, this text includes material from traditional mechanical engineering, control theoretical material and computer science. It includes coverage of rigid-body transformations and forward and inverse positional kinematics.",3,N/A,en
Robot Vision,['Berthold Horn'],1986,['Computers'],"""Presents a solid framework for understanding existing work and planning future research.""--Cover.",3,N/A,en
Human Missions to Mars,['Donald Rapp'],2023-01-01,['Science'],"In this book, Donald Rapp looks at human missions to Mars from a technological perspective. He divides the mission into a number of stages: Earth’s surface to low-Earth orbit (LEO); departing from LEO toward Mars; Mars orbit insertion and entry, descent and landing; ascent from Mars; trans-Earth injection from Mars orbit and Earth return. A mission to send humans to explore the surface of Mars has been the ultimate goal of planetary exploration since the 1950s, when von Braun conjectured a flotilla of 10 interplanetary vessels carrying a crew of at least 70 humans. Since then, more than 1,000 studies were carried out. This third edition provides extensive updating and additions to the last edition, including new sections, and many new figures and tables, and references.",N/A,N/A,en
Microcontrollers Fundamentals for Engineers and Scientists,"['Steven F. Barrett', 'Daniel J. Pack']",2022-06-01,['Technology & Engineering'],"This book provides practicing scientists and engineers a tutorial on the fundamental concepts and use of microcontrollers. Today, microcontrollers, or single integrated circuit (chip) computers, play critical roles in almost all instrumentation and control systems. Most existing books arewritten for undergraduate and graduate students taking an electrical and/or computer engineering course. Furthermore, these texts have beenwritten with a particular model of microcontroller as the target discussion. These textbooks also require a requisite knowledge of digital design fundamentals. This textbook presents the fundamental concepts common to all microcontrollers. Our goals are to present the over–arching theory of microcontroller operation and to provide a detailed discussion on constituent subsystems available in most microcontrollers. With such goals, we envision that the theory discussed in this book can be readily applied to a wide variety of microcontroller technologies, allowing practicing scientists and engineers to become acquainted with basic concepts prior to beginning a design involving a specific microcontroller. We have found that the fundamental principles of a given microcontroller are easily transferred to other controllers. Although this is a relatively small book, it is packed with useful information for quickly coming up to speed on microcontroller concepts.",N/A,N/A,en
Geometric Methods and Applications,['Jean Gallier'],2011-06-04,['Mathematics'],"This book is an introduction to the fundamental concepts and tools needed for solving problems of a geometric nature using a computer. It attempts to fill the gap between standard geometry books, which are primarily theoretical, and applied books on computer graphics, computer vision, robotics, or machine learning. This book covers the following topics: affine geometry, projective geometry, Euclidean geometry, convex sets, SVD and principal component analysis, manifolds and Lie groups, quadratic optimization, basics of differential geometry, and a glimpse of computational geometry (Voronoi diagrams and Delaunay triangulations). Some practical applications of the concepts presented in this book include computer vision, more specifically contour grouping, motion interpolation, and robot kinematics. In this extensively updated second edition, more material on convex sets, Farkas’s lemma, quadratic optimization and the Schur complement have been added. The chapter on SVD has been greatly expanded and now includes a presentation of PCA. The book is well illustrated and has chapter summaries and a large number of exercises throughout. It will be of interest to a wide audience including computer scientists, mathematicians, and engineers. Reviews of first edition: ""Gallier's book will be a useful source for anyone interested in applications of geometrical methods to solve problems that arise in various branches of engineering. It may help to develop the sophisticated concepts from the more advanced parts of geometry into useful tools for applications."" (Mathematical Reviews, 2001) ""...it will be useful as a reference book for postgraduates wishing to find the connection between their current problem and the underlying geometry."" (The Australian Mathematical Society, 2001)",N/A,N/A,en
Cyborg Citizen,['Chris Hables Gray'],2000-12-20,['Computers'],"The creator of the cult classic Cyborg Handbook, Chris Hables Gray, now offers the first guide to """"posthuman"""" politics, framing the key issues that could threaten or brighten our technological future.",N/A,N/A,en
Inside the Robot Kingdom,['Frederik L. Schodt'],1988,['Business & Economics'],N/A,N/A,N/A,en
"Robotics, Vision and Control","['Peter Corke', 'Witold Jachimczyk', 'Remo Pillat']",2023-05-15,['Technology & Engineering'],"This textbook provides a comprehensive, but tutorial, introduction to robotics, computer vision, and control. It is written in a light but informative conversational style, weaving text, figures, mathematics, and lines of code into a cohesive narrative. Over 1600 code examples show how complex problems can be decomposed and solved using just a few simple lines of code. This edition is based on MATLAB® and a number of MathWorks® toolboxes. These provide a set of supported software tools for addressing a broad range of applications in robotics and computer vision. These toolboxes enable the reader to easily bring the algorithmic concepts into practice and work with real, non-trivial, problems. For the beginning student, the book makes the algorithms accessible, the toolbox code can be read to gain understanding, and the examples illustrate how it can be used. The code can also be the starting point for new work, for practitioners, students, or researchers, by writing programs based on toolbox functions. Two co-authors from MathWorks have joined the writing team and bring deep knowledge of these MATLAB toolboxes and workflows.",N/A,N/A,en
Russian Models from the Mechanisms Collection of Bauman University,"['A. Golovin', 'V. Tarabarin']",2008-09-16,['Technology & Engineering'],"In 1998 the chairman of the Russian National Committee of TMM Professor Arcady Bessonov, recommended one of authors of this book to be come a member of the IFToMM Permanent Commission on the History of Mechanisms and Machines Sciences (PC HMMS). Willy-nilly from this time the history of technique, as hobby passed on to a serious the employment in the history of engineering science. Interest history of a subject is natural for Professor, a leading a course of Theory of Mechanisms and Machines in Bauman University. This interest is supported by the fact that Bauman University is one of the oldest technical universities in Russia, and the course “Applied Mechanics” – later “Theory of Mechanisms and Machines” was the first systematic course in Russia. The second author supervises a cycle of laboratory works on TMM. Models of mechanisms are placed in laboratory in show-windows of ancient cases quite possibly coevals of the first course. He became interested in contents of these cases: firstly in models, and then in their origin. Later he occupied himself with the creation of a web-site “The Collection of mechanisms in department TMM in Bauman University”. Gradually both authors had the idea of cooperation, although several years previously, we could not imagine this happening. We took an active part in the work of PC HMMS from 2000. It was promoted by of chairman of the commission Professor Marco Ceccarelli.",N/A,N/A,en
Nonlinear Control Systems,['Alberto Isidori'],2013-04-17,['Technology & Engineering'],"The purpose of this book is to present a self-contained description of the fun damentals of the theory of nonlinear control systems, with special emphasis on the differential geometric approach. The book is intended as a graduate text as weil as a reference to scientists and engineers involved in the analysis and design of feedback systems. The first version of this book was written in 1983, while I was teach ing at the Department of Systems Science and Mathematics at Washington University in St. Louis. This new edition integrates my subsequent teaching experience gained at the University of Illinois in Urbana-Champaign in 1987, at the Carl-Cranz Gesellschaft in Oberpfaffenhofen in 1987, at the University of California in Berkeley in 1988. In addition to a major rearrangement of the last two Chapters of the first version, this new edition incorporates two additional Chapters at a more elementary level and an exposition of some relevant research findings which have occurred since 1985.",N/A,N/A,en
Educational Robotics in the Makers Era,"['Dimitris Alimisis', 'Michele Moro', 'Emanuele Menegatti']",2017-03-13,['Technology & Engineering'],"This book includes papers presented at the International Conference “Educational Robotics 2016 (EDUROBOTICS)”, Athens, November 25, 2016. The papers build on constructivist and constructionist pedagogy and cover a variety of topics, including teacher education, design of educational robotics activities, didactical models, assessment methods, theater robotics, programming & making electronics with Snap4Arduino, the Duckietown project, robotics driven by tangible programming, Lego Mindstorms combined with App Inventor, the Orbital Education Platform, Anthropomorphic Robots and Human Meaning Makers in Education, and more. It provides researchers interested in educational robotics with the latest advances in the field with a focus on science, technology, engineering, arts and mathematics (STEAM) education. At the same time it offers teachers and educators from primary to secondary and tertiary education insights into how educational robotics can trigger the development of technological interest and 21st century skills in STEAM education (creative thinking, team working, problem solving).",N/A,N/A,en
"Robotics, Vision and Control",['Peter Corke'],2017-05-20,['Technology & Engineering'],"Robotic vision, the combination of robotics and computer vision, involves the application of computer algorithms to data acquired from sensors. The research community has developed a large body of such algorithms but for a newcomer to the field this can be quite daunting. For over 20 years the author has maintained two open-source MATLAB® Toolboxes, one for robotics and one for vision. They provide implementations of many important algorithms and allow users to work with real problems, not just trivial examples. This book makes the fundamental algorithms of robotics, vision and control accessible to all. It weaves together theory, algorithms and examples in a narrative that covers robotics and computer vision separately and together. Using the latest versions of the Toolboxes the author shows how complex problems can be decomposed and solved using just a few simple lines of code. The topics covered are guided by real problems observed by the author over many years as a practitioner of both robotics and computer vision. It is written in an accessible but informative style, easy to read and absorb, and includes over 1000 MATLAB and Simulink® examples and over 400 figures. The book is a real walk through the fundamentals of mobile robots, arm robots. then camera models, image processing, feature extraction and multi-view geometry and finally bringing it all together with an extensive discussion of visual servo systems. This second edition is completely revised, updated and extended with coverage of Lie groups, matrix exponentials and twists; inertial navigation; differential drive robots; lattice planners; pose-graph SLAM and map making; restructured material on arm-robot kinematics and dynamics; series-elastic actuators and operational-space control; Lab color spaces; light field cameras; structured light, bundle adjustment and visual odometry; and photometric visual servoing. “An authoritative book, reaching across fields, thoughtfully conceived and brilliantly accomplished!” OUSSAMA KHATIB, Stanford",5,N/A,en
Advanced Technologies for the Rehabilitation of Gait and Balance Disorders,"['Giorgio Sandrini', 'Volker Homberg', 'Leopold Saltuari', 'Nicola Smania', 'Alessandra Pedrocchi']",2018-01-30,['Technology & Engineering'],"The book provides readers with a comprehensive overview of the state of the art in the field of gait and balance rehabilitation. It describes technologies and devices together with the requirements and factors to be considered during their application in clinical settings. The book covers physiological and pathophysiological basis of locomotion and posture control, describes integrated approaches for the treatment of neurological diseases and spinal cord injury, as well as important principles for designing appropriate clinical studies. It presents computer and robotic technologies currently used in rehabilitation, such as exoskeleton devices, functional electrical stimulation, virtual reality and many more, highlighting the main advantages and challenges both from the clinical and engineering perspective. Written in an easy-to-understand style, the book is intended for people with different background and expertise, including medical and engineering students, clinicians and physiotherapists, as well as technical developers of rehabilitation systems and their corresponding human-compute interfaces. It aims at fostering an increased awareness of available technologies for balance and gait rehabilitation, as well as a better communication and collaboration between their users and developers.",N/A,N/A,en
