title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Dictionary of St. Lucian Creole,['Lawrence D. Carrington'],1992,['Foreign Language Study'],"No detailed description available for ""Dictionary of St. Lucian Creole"".",N/A,N/A,cpf
Saints are Not Sad,[],1949,['Christian saints'],N/A,N/A,N/A,en
Through a Gloss Darkly,"['Nancy Porter Stork', 'British Library', 'Pontifical Institute of Mediaeval Studies']",1990,['Biography & Autobiography'],N/A,N/A,N/A,en
Socialism and Saint-Simon,['Émile Durkheim'],1958,['Saint-Simonianism'],N/A,N/A,N/A,en
"The Abbey of St.-Denis, 475-1122",['Sumner McKnight Crosby'],1942,['Abbeys'],N/A,N/A,N/A,en
The Relationship Between Neoplatonism and Christianity,"['Thomas Finan', 'Vincent Twomey']",1992,['Religion'],N/A,N/A,N/A,en
Hl. Barbara,['Helmut Eberhart'],1988,['Saint'],N/A,N/A,N/A,de
"Messer Filippo Neri, santo",['Barbara Tellini Santoni'],1995,['Art'],N/A,N/A,N/A,it
Der Flügelaltar von Michael Pacher in St. Wolfgang,['Manfred Koller'],1998,['Art'],"Der St. Wolfgangsaltar zählt zu den besterhaltenen und bedeutendsten Flügelaltären des späten Mittelalters, dessen Schöpfer, Michael Pacher, Maler Bildhauer und Entwerfer zu Bruneck in Südtirol, vor 500 Jahren in Salzburg gestorben ist. In seinem Werk verschmelzen italienische und niederländische Einflüsse mit der alpenländischen und süddeutschen Tradition zur Vergegenwärtigung einer festlich-sakralen Bilderwelt. Deren Vielfalt, Zusammenhänge und Reichtum werden nun erstmals vollständig beschrieben und gedeutet. Der Band enthält prachtvolles Bildmaterial, das nach jahrlelanger Restaurierung und Reinigung die künstlerische und figurale Schönheit des Altars erschließt.",N/A,N/A,de
"Санкт-Петербург, Петроград, Ленинград",['Л. Н Белова'],1992,['Saint'],N/A,N/A,N/A,ru
Studien zur Philosophie von Edith Stein,['Ernst Wolfgang Orth'],1993,['Saint'],N/A,N/A,N/A,de
Saint Michel et les saints anges,['Luce Laurand'],1956,['Angels'],N/A,N/A,N/A,fr
Vita Walfredi und Kloster Monteverdi,['Karl Schmid'],1991,['History'],In der 1905 begründeten Reihe Bibliothek des Deutschen Historischen Instituts in Rom erscheinen wissenschaftliche Monographien und Aufsatzbände zur italienischen und deutschen Geschichte vom frühen Mittelalter bis zur jüngsten Vergangenheit.,N/A,N/A,de
Jahrbuch,['Verein für Augsburger Bistumsgeschichte'],1967,['Biography'],N/A,N/A,N/A,de
Wisse die Wege,['Änne Bäumer-Schleinkofer'],1998,['Biography & Autobiography'],"Anläßlich ihres 900. Geburtstages ist zu Hildegard von Bingen eine Fülle an Lebensbeschreibungen und Fachliteratur erschienen. Keine Facette des bedeutungsvollen Lebens und Wirkens der großen Äbtissin ist unberücksichtigt geblieben. Immer wird über Hildegard berichtet, meist unter fachlichen Gesichtspunkten. Kommt Hildegard einmal selbst zu Wort, sind ihre Äußerungen oft Anlaß zu tiefgründigen Interpretationen. In dieser Monographie spricht Hildegard zum Leser in ihren eigenen Worten. Es entsteht von selbst das authentische Bild dieser herausragenden Frau des Mittelalters. Das Buch umfaßt alle wichtigen Lebensabschnitte sowie die visionären, naturkundlichen, medizinischen und musikalischen Werke Hildegards. Die Kapitel sind in sich abgeschlossen, sie vermitteln die Stationen ihres Lebens und die Kernaussagen ihrer Werke. Das Buch hat Sachbuchcharakter, es ist umfassend, es ist nicht aus einem fachspezifischen Blickwinkel geschrieben. Dennoch ist zu jedem Gebiet der neueste Stand der Forschung berücksichtigt. Die sachkundige, informative und verständliche Analyse macht dieses Buch zu einer hervorragenden Biographie und einem unverzichtbaren Nachschlagewerk.",N/A,N/A,de
Einfühlung,['Reiner Matzker'],1991,['Biography & Autobiography'],"Zum 100jährigen Gedenken. Durch Leben und Werk Edith Steins (1891-1942), besonders durch ihre religiöse Ausdeutung der phänomenologischen Einfühlungslehre, wird die Philosophie der Schule Edmund Husserls einem anderen Verständnis zugeführt.",N/A,N/A,de
Socialism,['Emile Durkheim'],1958,['Saint'],N/A,N/A,N/A,en
SAINT Simulation of a Remotely Piloted Vehicle/drone Control Facility,['Steven D. Duket'],1976,['Digital computer simulation'],N/A,N/A,N/A,en
Святой Георгий Победоносец,"['Георгий Вилинбахов', 'Т. Б Вилинбахова']",1995,"['Art, Russian']",N/A,N/A,N/A,ru
Ahmad ibn idris un saint marocain en pays d'orient,['Zakia Zouanat'],2008,[],N/A,N/A,N/A,fr
De Concilio Oecumenico Ephesino Imo,"['Trojan Trum', 'Aquilinus Weinzierl', 'Maurus Waas']",1776,['Council of Ephesus'],N/A,N/A,N/A,la
Vita Walfredi und Kloster Monteverdi,['Karl Schmid'],1991,['History'],"Keine ausführliche Beschreibung für ""Vita Walfredi und Kloster Monteverdi"" verfügbar.",N/A,N/A,de
La vie de saint Eustace,[],1929,['French prose'],N/A,N/A,N/A,en
Matuod ñga historia sang kabuhi ni Santa ana,['American Philosophical Society. Library'],1934,['Saint'],N/A,N/A,N/A,en
Saints et héros du Moyen-Orient contemporain,"['Catherine Mayeur-Jaouen', 'Institut universitaire de France']",2002,['Heroes'],"Au Moyen-Orient, partout des saints, partout des héros, partout des martyrs... Le Moyen-Orient du XXe siècle n'a cessé de fabriquer de nouveaux héros, grands hommes ou figures nationales symbolisant l'unité d'un pays ou d'un peuple, ou encore martyrs des nombreux conflits de la région. Aux côtés de ces héros s'affichent les saints contemporains du Moyen-Orient, juifs, chrétiens ou, le plus souvent, musulmans. Ces saints qui revendiquent l'héritage de la tradition, notamment soufre, ont beaucoup emprunté aux héros dans l'usage du politique, de l'image et des media. Culte des héros modernes, imprégné de sacré, et vénération de nouveaux saints, de plus en plus nimbés de politique, sont désormais indissolublement liés.",N/A,N/A,fr
Szentjeink élete és halála,['Gyula Szekfű'],1941,['Christian saints'],N/A,N/A,N/A,hu
"Willibrord, Apostel der Friesen",['Hans-Joachim Reischmann'],1989,['Christian saints'],N/A,N/A,N/A,de
