title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Bevoegdheid van den commisionair om zelf te koopen en te verkoopen,['Hugo Vaillant'],1887,['Agency (Law)'],N/A,N/A,N/A,nl
De nietigheid van den verkoop van eens anders goed,['Gerardus Antonius Hamel'],1865,['Illegal contracts'],N/A,N/A,N/A,nl
Harmonisatie van het consumentencontractenrecht in Europa,"['Caroline Cauffman', 'Michael G. Faure', 'T. Hartlief']",2009,['Consumer protection'],Overzicht van de consequenties voor Nederland van de harmonisatie van het consumentencontractenrecht in Europees verband.,N/A,N/A,nl
Bijzondere overeenkomsten in kort bestek,"['Bernard Tilleman', 'Alain Verbeke']",2005,['Contracts'],N/A,N/A,N/A,nl
Bijzondere overeenkomsten,[],2010,['Agency (Law)'],N/A,N/A,N/A,nl
Sale of Goods,"['P. S. Atiyah', 'J. N. Adams', 'Hector L. MacQueen']",2005,['Business & Economics'],The new edition of 'The Sale of Goods' gives a full and detailed account of the English law of the sale of goods. It also includes a treatment of the law as it applies in Scotland and Northern Ireland. The 11th edition is brought right up to date with legislative and common law changes that have taken place over the past four years.,N/A,N/A,en
The Greatest Salesman in the World,['Og Mandino'],1985,['Business & Economics'],What you are today is not important... for in this runaway bestseller you will learn how to change your life by applying the secrets you are about to discover in the ancient scrolls.,5,N/A,en
A Treatise on the Law of Sales of Personal Property,['Francis Hilliard'],1841,['Sales'],N/A,N/A,N/A,en
The Law of Sales of Personal Property,['Francis Hilliard'],1869,['Personal property'],"What constitutes a sale - payment, delivery, gift, exchange, etc.? Sale of several articles together, whether one contract?",N/A,N/A,en
Common European Sales Law (CESL),['Reiner Schulze'],2012,['Sales'],"The emergence of European Contract Law as a field of enquiry has been matched by a burgeoning literature. This includes textbooks, casebooks, monographs and commentaries as well as at least one journal and huge number of journal articles. As the field has matured, so has its elaboration and analysis by scholars, though it remains a field replete with contested viewpoints and many controversies. This new work by one of Germany's most well-known and respected private law scholars, seeks to present a complete and coherent view of the subject from the perspective of the jurisdiction which has arguably had more responsibility than any other for influencing the shape and content of European contract law",N/A,N/A,en
A Selection of Cases on the Law of Sales of Personal Property,['Samuel Williston'],1894,['Personal property'],N/A,N/A,N/A,en
Selling Today,"['Gerald L. Manning', 'Michael Ahearne', 'Barry L. Reece']",2014,['Sales'],"This text helps students understand the value of developing their personal selling skills by exposing them to a careful integration of personal selling academic theory and real-world applications. And with the largest number of learn by doing materials available in any personal selling text, this book offers instructors a variety of teaching tools to strengthen the learning process. As the developed nations of the world transition from a production focus to a sales-and-service focus, this cutting-edge new edition prepares students to succeed as members of a new generation of businesspeople.",N/A,N/A,en
A Treatise on the Effect of the Contract of Sale,['Colin Blackburn Baron Blackburn'],1845,['Contracts'],N/A,N/A,N/A,en
Sale of Goods and Consumer Credit,['Alan Paul Dobson'],2000,['Business & Economics'],"First published in 1908, these reports provide extensive coverage of all major criminal appeal cases, including cases not reported elsewhere. They are widely regarded by both practitioners and academics as the first source of reference for criminal cases and are frequently cited in court",N/A,N/A,en
"A Treatise on the Effect of the Contract of Sale on the Legal Rights of Property and Possesion in Goods, Wares, and Merchandise",['Colin Blackburn Baron Blackburn'],1887,['Sales'],N/A,1,N/A,en
The Roman Law of Sale with Modern Illustrations,['James Mackintosh'],1892,['Sales'],N/A,N/A,N/A,en
Selected Cases on the Law of Sales of Personal Property,['Francis Marion Burdick'],1897,['Sales'],N/A,N/A,N/A,en
Schmitthoff's Export Trade,"['Carole Murray', 'David Holloway', 'Daren Timson-Hunt']",2007,['Export controls'],"This reference work, now in its 11th edition, covers the complex area of international export trade law. Carole Murray has rationalized the chapter content of previous editions and brought the text up-to-date.",N/A,N/A,en
Benjamin's Sale of Goods,['Judah Philip Benjamin'],2012,['Business & Economics'],"First published in 1868, 'Benjamin's Sale of Goods' offers an analysis of case law and legislation regarding the sale of goods in the UK and internationally. This supplement to the eighth edition brings the main work up-to-date with the latest developments.",N/A,N/A,en
Business Transactions Law,['Robert Sharrock'],1996,['Law'],N/A,N/A,N/A,en
Selling Today,"['Gerald L. Manning', 'Barry L. Reece', 'Michael Ahearne']",2010,['Sales'],"Students heading for a career in business will benefit from researched and proven selling techniques. Professional sales skills are becoming increasingly important in today’s business world. This text covers up-to-date academic topics and rich application materials, providing students with everything they need to understand and apply selling techniques. In the eleventh edition, Manning and Reece have invited Michael Ahearne to join their best-selling author team. Ahearne’s experience as Associate Professor of Marketing and Executive Director of the Sales Excellence Institute, in addition to his extensive educational background, provides invaluable insight to this already well-researched text. Developing a Personal Selling Philosophy; Developing a Relationship Strategy; Developing a Product Strategy; Developing a Customer Strategy; Developing a Presentation Strategy; Management of Self and Others Advances in technology and changes in customer expectations mean that sales personnel need to be adaptive and employ the latest in selling techniques. The authors have updated this text with new research and new interactive tools to engage students and reinforce learning with doing.",N/A,N/A,en
The sale of goods,['Patrick Selim Atiyah'],1980,[],N/A,N/A,N/A,en
The Sale of Goods,['P. S. Atiyah'],1971,['Business & Economics'],N/A,N/A,N/A,en
A Treatise on the Law of Sale of Personal Property,['Judah Philip Benjamin'],1873,['Sales'],N/A,N/A,N/A,en
