title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Northanger Abbey,['Jane Austen'],1993,['Fiction'],"Story follows the social and romantic trials of the book's heroine, Catherine Morland.",2.5,N/A,en
Sartor Resartus,['Thomas Carlyle'],2000-04-23,['Fiction'],"""Sartor Resartus is the 'sunniest and most philosophical' of Carlyle's works.""—Henry David Thoreau ""The way to test how much [Carlyle] has left us all were to consider, or try to consider, for the moment the array of British thought, the resultant and ensemble of the last fifty years, as existing today, but with Carlyle left out.""—Walt Whitman ""How great he was! He made history a song for the first time in our language. He was our English Tacitus.""—Oscar Wilde",N/A,N/A,en
Animal Farm,['George Orwell'],1946,['Fiction'],"""Animal Farm"" is the most famous by far of all twentieth-century political allegories. Its account of a group of barnyard animals who revolt against their vicious human master, only to submit to a tyranny erected by their own kind, can fairly be said to have become a universal drama. Orwell is one of the very few modern satirists comparable to Jonathan Swift in power, artistry, and moral authority; in animal farm his spare prose and the logic of his dark comedy brilliantly highlight his stark message. Taking as his starting point the betrayed promise of the Russian Revolution, Orwell lays out a vision that, in its bitter wisdom, gives us the clearest understanding we possess of the possible consequences of our social and political acts.",4.5,N/A,en
Northanger Abbey,['Jane Austen'],2006-10-19,['Fiction'],The most authoritative and most fully annotated critical edition available of Austen's first novel.,N/A,N/A,en
The Town of N,['Leonid Dobychin'],1998,['Fiction'],"This text represents an extraordinary example of late Russian literary development. It is populated with characters who are petty, grasping, perfidious and cruel, quite unlike the positive heroes of contemporary socialist and realist novels.",N/A,N/A,en
Hard Times,['Charles Dickens'],1877,['England'],"In the depressed mill town of Coketown, schoolmaster Thomas Gradgrind lives to impose his version of education: feeding the mind while starving the soul and spirit. Inflexible and unyielding, he places conformity above curiosity, and logic over sentiment, only to have his philosophy warp and destroy the lives of his own family. 'Hard Times' is Dickens's scathing portrait of Victorian industrial society and its misapplied utilitarian philosophy.",N/A,N/A,en
Bouvard and Pecuchet,['Gustave Flaubert'],2005-11-30,['Fiction'],Includes Flaubert's Dictionary of received ideas.,N/A,N/A,en
Nineteen Eighty-four,['George Orwell'],2000,['English fiction'],"George Orwell's dystopian masterpiece, Nineteen Eighty-Four is perhaps the most pervasively influential book of the twentieth century, published with an introduction by Ben Pimlott in Penguin Modern Classics. 'Who controls the past controls the future: who controls the present controls the past' Hidden away in the Record Department of the sprawling Ministry of Truth, Winston Smith skilfully rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party. In his longing for truth and liberty, Smith begins a secret love affair with a fellow-worker Julia, but soon discovers the true price of freedom is betrayal. Eric Arthur Blair (1903-1950), better known by his pen-name, George Orwell, was born in India, where his father worked for the Civil Service. An author and journalist, Orwell was one of the most prominent and influential figures in twentieth-century literature. His unique political allegory Animal Farm was published in 1945, and it was this novel, together with the dystopia of Nineteen Eighty-Four (1949), which brought him world-wide fame. All his novels and non-fiction, including Burmese Days (1934), Down and Out in Paris and London (1933), The Road to Wigan Pier (1937) and Homage to Catalonia (1938) are published in Penguin Modern Classics. If you enjoyed Nineteen Eighty-Four, you might like Orwell's Animal Farm, also available in Penguin Modern Classics. 'His final masterpiece ... enthralling and indispensible for understanding modern history' Timothy Garton-Ash, New York Review of Books 'The book of the twentieth century ... haunts us with an ever-darker relevance' Independent",N/A,N/A,en
The City and the Mountains,['Eça de Queirós'],2008,['Fiction'],"Jacinto was born and brought up in Paris and has never visited Portugal. He lives in a mansion crammed with books and with all the latest gadgets, for he believes that human happiness depends on a combination of erudition and the most sophisticated of mechanical aids. When he travels to his estate in Portugal, he discovers that none of the boxes and crates he has despatched from Paris have arrived. How will he survive without civilisation's essential comforts?",N/A,N/A,en
The Satyricon,['Petronius Arbiter'],1999,['Fiction'],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,5,N/A,en
Our Mutual Friend,['Charles Dickens'],1865,['Deception'],N/A,N/A,N/A,en
Fahrenheit 451,['Ray Bradbury'],2003-09-23,['Fiction'],"Set in the future when ""firemen"" burn books forbidden by the totalitarian ""brave new world"" regime.",4,N/A,en
