title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Science Fact and Science Fiction,['Brian M. Stableford'],2006,['Fiction'],Publisher description,5,N/A,en
Time in Fiction,"['Craig Bourne', 'Emily Caddick Bourne']",2016,['Literary Criticism'],"What can we learn about the world from engaging with fictional time-series-stories involving time travellers, recurring and rewinding time, and foreknowledge of the future? Craig Bourne and Emily Caddick Bourne show how we can use the complexities of fictional time to get to the core of the relation between truth in fiction and possibility.",N/A,N/A,en
Worlds in Science Fiction,['Pasquale De Marco'],2025-03-03,['Science'],"In this captivating exploration of science fiction, we journey through the vast landscape of this beloved genre, delving into the science behind the stories, the impact of science fiction on society, and its enduring legacy. From the earliest tales of Jules Verne and H.G. Wells to the modern masterpieces of authors like Isaac Asimov, Arthur C. Clarke, and Ursula K. Le Guin, science fiction has captured the hearts and minds of readers around the world. This book explores the unique power of science fiction to hold a mirror up to our own world, reflecting our hopes, fears, and dreams. Science fiction stories can explore the potential benefits and dangers of new technologies, challenge our assumptions about the nature of reality, and offer us a glimpse into possible futures. They can also be a powerful tool for social change, inspiring us to work towards a better world. But science fiction is not just about serious issues. It can also be a lot of fun! Science fiction stories can take us on thrilling adventures, introduce us to fascinating alien cultures, and allow us to experience the wonders of the universe in ways that would otherwise be impossible. Whether you are a lifelong fan of science fiction or you are just discovering the genre for the first time, this book is for you. Join us on this journey through the worlds of science fiction, and be inspired by the stories, ideas, and possibilities that you encounter along the way. In this book, you will: * Explore the science behind science fiction, from the possibilities of space travel to the ethics of genetic engineering. * Discover the impact of science fiction on society, from its role in shaping public opinion to its influence on popular culture. * Learn about the enduring legacy of science fiction, from the greatest stories of all time to the most influential authors. * Gain a new appreciation for the power of science fiction to inspire, entertain, and challenge us. If you like this book, write a review!",N/A,N/A,en
Fiction in French - Fiction in Soviet,['British Library'],2013-02-07,['Reference'],"No detailed description available for ""Fiction in French - Fiction in Soviet"".",N/A,N/A,en
Science Fiction: The Early Years (Volume 2),['Pasquale De Marco'],2025-08-10,['Science'],"Science fiction is a genre of fiction that deals with imaginary worlds and technologies. It is often set in the future, but it can also be set in the past or present. Science fiction often explores the potential consequences of new technologies and the impact of science on society. Science fiction has a long and rich history. The earliest examples of science fiction can be found in ancient myths and legends. However, the genre really began to take shape in the 19th century with the works of writers such as Jules Verne and H.G. Wells. In the 20th century, science fiction became increasingly popular, and it is now one of the most popular genres of fiction in the world. Science fiction has been used to explore a wide range of topics, including the nature of reality, the meaning of life, and the future of humanity. It has also been used to criticize social and political issues. Science fiction can be both entertaining and thought-provoking, and it can help us to understand the world around us better. In this book, we will explore the history of science fiction, from its earliest beginnings to the present day. We will also examine some of the most important themes and ideas in science fiction. Along the way, we will meet some of the most famous and influential science fiction writers. Science fiction is a genre that is constantly evolving. New technologies and new ideas are constantly being introduced, and science fiction writers are always finding new ways to explore them. The future of science fiction is bright, and it is sure to continue to entertain and challenge us for many years to come. This book is a comprehensive guide to the history of science fiction. It is perfect for anyone who wants to learn more about this fascinating genre. Whether you are a fan of science fiction or just curious about its history, this book is a must-read. If you like this book, write a review!",N/A,N/A,en
The History of Science Fiction,['A. Roberts'],2005-11-28,['Fiction'],"The History of Science Fiction traces the origin and development of science fiction from Ancient Greece up to the present day. The author is both an academic literary critic and acclaimed creative writer of the genre. Written in lively, accessible prose it is specifically designed to bridge the worlds of academic criticism and SF fandom.",N/A,N/A,en
Science Fiction and Climate Change,"['Andrew Milner', 'J. R. Burgmann']",2020,['History'],"This is a timely, comprehensive and thoroughly researched study of climate fiction from around the world, including novels, short stories, films and other formats. Informed by a sociological perspective, it will be an invaluable resource for students and scholars looking to enter and expand the field of climate fiction studies.",N/A,N/A,en
Justice in Young Adult Speculative Fiction,['Marek C. Oziewicz'],2015-04-17,['Literary Criticism'],"This book is the first to offer a justice-focused cognitive reading of modern YA speculative fiction in its narrative and filmic forms. It links the expansion of YA speculative fiction in the 20th century with the emergence of human and civil rights movements, with the communitarian revolution in conceptualizations of justice, and with spectacular advances in cognitive sciences as applied to the examination of narrative fiction. Oziewicz argues that complex ideas such as justice are processed by the human mind as cognitive scripts; that scripts, when narrated, take the form of multiply indexable stories; and that YA speculative fiction is currently the largest conceptual testing ground in the forging of justice consciousness for the 21st century world. Drawing on recent research in the cognitive and evolutionary sciences, Oziewicz explains how poetic, retributive, restorative, environmental, social, and global types of justice have been represented in narrative fiction, from 19th century folk and fairy tales through 21st century fantasy, dystopia, and science fiction. Suggesting that the appeal of these and other nonmimetic genres is largely predicated on the dream of justice, Oziewicz theorizes new justice scripts as conceptual tools essential to help humanity survive the qualitative leap toward an environmentally conscious, culturally diversified global world. This book is an important contribution to studies of children’s and YA speculative fiction, adding a new perspective to discussions about the educational as well as social potential of nonmimetic genres. It demonstrates that the justice imperative is very much alive in YA speculative fiction, creating new visions of justice relevant to contemporary challenges.",N/A,N/A,en
(Eco)Anxiety in Nuclear Holocaust Fiction and Climate Fiction,['Dominika Oramus'],2023-07-07,['Literary Criticism'],"(Eco)Anxiety in Nuclear Holocaust Fiction and Climate Fiction: Doomsday Clock Narratives demonstrates that disaster fiction— nuclear holocaust and climate change alike— allows us to unearth and anatomise contemporary psychodynamics and enables us to identify pretraumatic stress as the common denominator of seemingly unrelated types of texts. These Doomsday Clock Narratives argue that earth’s demise is soon and certain. They are set after some catastrophe and depict people waiting for an even worse catastrophe to come. References to geology are particularly important— in descriptions of the landscape, the emphasis falls on waste and industrial bric- a- brac, which is seen through the eyes of a future, posthuman archaeologist. Their protagonists have the uncanny feeling that the countdown has already started, and they are coping with both traumatic memories and pretraumatic stress. Readings of novels by Walter M. Miller, Nevil Shute, John Christopher, J. G. Ballard, George Turner, Maggie Gee, Paolo Bacigalupi, Ruth Ozeki, and Yoko Tawada demonstrate that the authors are both indebted to a century- old tradition and inventively looking for new ways of expressing the pretraumatic stress syndrome common in contemporary society. This book is written for an academic audience (postgraduates, researchers, and academics) specialising in British Literature, American Literature, and Science Fiction Studies.",N/A,N/A,en
Ecofeminist Science Fiction,['Douglas A. Vakoch'],2021-04-29,['Fiction'],"Ecofeminist Science Fiction: International Perspectives on Gender, Ecology, and Literature provides guidance in navigating some of the most pressing dangers we face today. Science fiction helps us face problems that threaten the very existence of humankind by giving us the emotional distance to see our current situation from afar, separated in our imaginations through time, space, or circumstance. Extrapolating from contemporary science, science fiction allows a critique of modern society, imagining more life-affirming alternatives. In this collection, ecocritics from five continents scrutinize science fiction for insights into the fundamental changes we need to make to survive and thrive as a species. Contributors examine ecofeminist themes in films, such as Avatar, Star Wars, and The Stepford Wives, as well as television series including Doctor Who and Westworld. Other scholars explore an internationally diverse group of both canonical and lesser-known science fiction writers including Oreet Ashery, Iraj Fazel Bakhsheshi, Liu Cixin, Louise Erdrich, Hanns Heinz Ewers, Larissa Lai, Ursula K. Le Guin, Chen Qiufan, Mary Doria Russell, Larissa Sansour, Karen Traviss, and Jeanette Winterson. Ecofeminist Science Fiction explores the origins of human-caused environmental change in the twin oppressions of women and of nature, driven by patriarchal power and ideologies. Female embodiment is examined through diverse natural and artificial forms, and queer ecologies challenge heteronormativity. The links between war and environmental destruction are analyzed, and the capitalist motivations and means for exploiting nature are critiqued through postcolonial perspectives.",N/A,N/A,en
