title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Conservation Biology for All,"['Navjot S. Sodhi', 'Paul R. Ehrlich']",2010-01-07,['Nature'],"Conservation Biology for All provides cutting-edge but basic conservation science to a global readership. A series of authoritative chapters have been written by the top names in conservation biology with the principal aim of disseminating cutting-edge conservation knowledge as widely as possible. Important topics such as balancing conversion and human needs, climate change, conservation planning, designing and analyzing conservation research, ecosystem services, endangered species management, extinctions, fire, habitat loss, and invasive species are covered. Numerous textboxes describing additional relevant material or case studies are also included. The global biodiversity crisis is now unstoppable; what can be saved in the developing world will require an educated constituency in both the developing and developed world. Habitat loss is particularly acute in developing countries, which is of special concern because it tends to be these locations where the greatest species diversity and richest centres of endemism are to be found. Sadly, developing world conservation scientists have found it difficult to access an authoritative textbook, which is particularly ironic since it is these countries where the potential benefits of knowledge application are greatest. There is now an urgent need to educate the next generation of scientists in developing countries, so that they are in a better position to protect their natural resources.",4,N/A,en
Industrial Chocolate Manufacture and Use,['Steve T. Beckett'],2011-09-07,['Technology & Engineering'],"Since the third edition of this standard work in 1999, there has been a significant increase in the amount of chocolate manufactured worldwide. The fourth edition of Industrial Chocolate Manufacture and Use provides up-to-date coverage of all major aspects of chocolate manufacture and use, from the growing of cocoa beans to the packaging and marketing of the end product. Retaining the important and well-received key features of the previous edition, the fourth edition also contains completely new chapters covering chocolate crumb, cold forming technologies, intellectual property, and nutrition. Furthermore, taking account of significant changes and trends within the chocolate industry, much new information is incorporated, particularly within such chapters as those covering the chemistry of flavour development, chocolate flow properties, chocolate packaging, and chocolate marketing. This fully revised and expanded new edition is an essential purchase for all those involved in the manufacture and use of chocolate.",4,N/A,en
Darwin Among The Machines,['George Dyson'],1997-05,['Computers'],"In this astonishing prediction of the World Wide Web's ultimate challenge to human civilization--a globally networked, electronic, sentient being--Dyson traces the course of the information revolution, illuminating the lives, work, and ideas of visionaries who foresaw the development of artificial intelligence, artificial life, and the global mind.",N/A,N/A,en
Fluid Mechanics,"['Pijush K. Kundu', 'Ira M. Cohen', 'David R Dowling']",2015-06-08,['Technology & Engineering'],"The classic textbook on fluid mechanics is revised and updated by Dr. David Dowling to better illustrate this important subject for modern students. With topics and concepts presented in a clear and accessible way, Fluid Mechanics guides students from the fundamentals to the analysis and application of fluid mechanics, including compressible flow and such diverse applications as aerodynamics and geophysical fluid mechanics. Its broad and deep coverage is ideal for both a first or second course in fluid dynamics at the graduate or advanced undergraduate level, and is well-suited to the needs of modern scientists, engineers, mathematicians, and others seeking fluid mechanics knowledge. - Over 100 new examples designed to illustrate the application of the various concepts and equations featured in the text - A completely new chapter on computational fluid dynamics (CFD) authored by Prof. Gretar Tryggvason of the University of Notre Dame. This new CFD chapter includes sample MatlabTM codes and 20 exercises - New material on elementary kinetic theory, non-Newtonian constitutive relationships, internal and external rough-wall turbulent flows, Reynolds-stress closure models, acoustic source terms, and unsteady one-dimensional gas dynamics - Plus 110 new exercises and nearly 100 new figures",N/A,N/A,en
Mind Children,['Hans Moravec'],1988,['Computers'],"""A dizzying display of intellect and wild imaginings by Moravec, a world-class roboticist who has himself developed clever beasts . . . Undeniably, Moravec comes across as a highly knowledgeable and creative talent--which is just what the field needs"".--Kirkus Reviews.",5,N/A,en
Encyclopedia of Soil Science,['Ward Chesworth'],2007-11-22,['Nature'],"The Encyclopedia of Soil Science provides a comprehensive, alphabetical treatment of basic soil science in a single volume. It constitutes a wide ranging and authorative collection of some 160 academic articles covering the salient aspects of soil physics, chemistry, biology, fertility, technology, genesis, morphology, classification and geomorphology. With increased usage of soil for world food production, building materials, and waste repositories, demand has grown for a better global understanding of soil and its processes. longer articles by leading authorities from around the world are supplemented by some 430 definitions of common terms in soil sciences.",N/A,N/A,en
The Expression of the Emotions in Man and Animals,['Charles Darwin'],1872,['Comics & Graphic Novels'],"MANY works have been written on Expression, but a greater number on Physiognomy, that is, on the recognition of character through the study of the permanent form of the features. With this latter subject I am not here concerned. The older treatises, which I have consulted, have been of little or no service to me. The famous 'Conferences' of the painter Le Brun, published in 1667, is the best known ancient work, and contains some good remarks. Another somewhat old essay, namely, the 'Discours, ' delivered 1774-1782, by the well-known Dutch anatomist Camper, can hardly be considered as having made any marked advance in the subject. The following works, on the contrary, deserve the fullest consideration",N/A,N/A,en
Natural Disasters,['David Alexander'],2018-10-24,['Nature'],"As a well balanced and fully illustrated introductory text, this book provides a comprehensive overview of the physical, technological and social components of natural disaster. The main disaster-producing agents are reviewed systematically in terms of geophysical processes and effects, monitoring, mitigation and warning. The relationship between disasters and society is examined with respect to a wide variety of themes, including damage assessment and prevention, hazard mapping, emergency preparedness, the provision of shelter and the nature of reconstruction. Medical emergencies and the epidemiology of disasters are described, and refugee management and aid to the Third World are discussed. A chapter is devoted to the sociology, psychology, economics and history of disasters.; In many parts of the world the toll of death, injury, damage and deprivation caused by natural disasters is becoming increasingly serious. Major earthquakes, volcanic eruptions, droughts, floods and other similar catastrophes are often followed by large relief operations characterized by substantial involvement of the international community. The years 1990-2000 have therefore been designated by the United Nations as the International Decade for Natural Disaster Reduction.; The book goes beyond mere description and elevates the field of natural catastrophes to a serious academic level. The author's insights and perspectives are also informed by his practical experience of being a disaster victim and survivor, and hence the unique perspective of a participant observer. Only by surmounting the boundaries between disciplines can natural catastrophe be understood and mitigation efforts made effective. Thus, this book is perhaps the first completely interdisciplinary, fully comprehensive survey of natural hazards and disasters. It has a clear theoretical basis and it recognizes the importance of six fundamental approaches to the field, which it blends carefully in the text in order to avoid the partiality of previous works. It covers the earth and social sciences, as well as engineering, architecture and development studies. This breadth is made possible by virtue of a strong emphasis on simple principles of the interaction of geophysical agents with human vulnerability and response.; All students of environmental sciences/studies and geography should find this book useful. It is an introductory text which treats this dramatic subject area as something demanding serious academic treatment and not just as an assemblage of horror stories.; This book is intended for undergraduate students in geography and environmental studies/sciences. The book should also appeal to any professional or researcher concerned with man- environment relations, whether in social science or natural science or engineering.",2.5,N/A,en
Covariant Loop Quantum Gravity,"['Carlo Rovelli', 'Francesca Vidotto']",2015,['Science'],A comprehensible introduction to the most fascinating research in theoretical physics: advanced quantum gravity. Ideal for researchers and graduate students.,N/A,N/A,en
The Individual and the Cosmos in Renaissance Philosophy,['Ernst Cassirer'],2010-04,['Biography & Autobiography'],"This provocative volume, one of the most important interpretive works on the philosophical thought of the Renaissance, has long been regarded as a classic in its field. Ernst Cassirer here examines the changes brewing in the early stages of the Renaissance, tracing the interdependence of philosophy, language, art, and science; the newfound recognition of individual consciousness; and the great thinkers of the period—from da Vinci and Galileo to Pico della Mirandola and Giordano Bruno. The Individual and the Cosmos in Renaissance Philosophy discusses the importance of fifteenth-century philosopher Nicholas Cusanus, the concepts of freedom and necessity, and the subject-object problem in Renaissance thought. “This fluent translation of a scholarly and penetrating original leaves little impression of an attempt to show that a ‘spirit of the age’ or ‘spiritual essence of the time’ unifies and expresses itself in all aspects of society or culture.”—Philosophy",N/A,N/A,en
