title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Cherry Orchard,['Антон Павлович Чехов'],1978,[],N/A,N/A,N/A,en
The Crucible,['Arthur Miller'],1954,['Drama'],"""Earlier version copyright under title Those familiar spirits""-- T.p. verso.",N/A,N/A,en
Candida,['Bernard Shaw'],1956,[],N/A,N/A,N/A,en
A Streetcar Named Desire,['Tennessee Williams'],1974,['Married people'],"A young widow warped by a tragic marriage comes to live with her sister and brother-in-law in New Orleans where further violence causes a mental breakdown. Music, 11 scenes, 6 men, 6 women, 2 interiors, 1 exterior.",N/A,N/A,en
The Emperor Jones,"[""Eugene O'Neill""]",1921,['Script'],N/A,N/A,N/A,en
Hurlyburly,['David Rabe'],1987,['Drama'],"Four Hollywood men pursue the American dream in a cocaine-filled, sex-crazed culture.",N/A,N/A,en
The Weavers,['Gerhart Hauptmann'],1965,['Script'],N/A,N/A,N/A,en
The Seven Year Itch,['George Axelrod'],1984,[],N/A,N/A,N/A,en
American Notes,['Len Jenkin'],1988,['Drama'],N/A,N/A,N/A,en
The Rivals,['Richard Brinsley Sheridan'],1896,['English drama (Comedy)'],"This comic masterpiece revolves around false identities, romantic entanglements, and parental disapproval. It satirizes the pretentiousness and sentimentality of 18th-century society.",N/A,N/A,en
The Day Room,['Don DeLillo'],1987,['Drama'],"""The Day Room"", Don DeLillo's first play, is a black comedy that explores the chaos caused when the onlooker is unsure of the status of a team of medics in a psychiatric unit. Are they really bona fide staff or patients just pretending to be?",N/A,N/A,en
Life Is a Dream,['Pedro Calderón de la Barca'],2008-05,['Script'],"Pedro Calderón de la Barca was a dramatist of the Spanish Golden Age, which occurred in the 1600's. Calderon was educated in a Jesuit college with plans to become a priest, but instead he studied law. Over two decades he wrote 70 secular plays for the commercial theatre. Life is a Dream is a three act play considered to be the best work by Calderon. It has been translated into English more than a dozen times in recent times. A polish prince is imprisoned by his father, because a prophecy says that the boy would one day endanger the kingdom. The translator has produced an excellent English translation keeping the poetic quality of the Spanish language in tact.",N/A,N/A,en
The Magic Act,['Laurence Klavan'],1989,['Drama'],"THE STORY: As the play begins Mona Kale, an exuberant and good-natured sort, is in the dock, accused of murdering her lifelong friends Alan and Annabelle, two old high school sweethearts who were so deeply enamored of each other that, in their yout",N/A,N/A,en
Blithe Spirit,['Noel Coward'],1968,[],N/A,N/A,N/A,en
Theme and Variations,['Samuil Alyoshin'],1979,['Drama'],N/A,N/A,N/A,en
The Plays of Colley Cibber,['Colley Cibber'],2001,['Drama'],"This volume provides the first new edition of Cibber's plays since 1777, and the first edition ever published that includes all of his known plays and that incorporates his extensive and often complex revisions. This modern-spelling edition features a comprehensive general introduction to Cibber's career, and separate introductions for each play, detailing sources, performance data, and publication history. Annotations and textual notes are included to allow for additional study.",N/A,N/A,en
Three Birds Alighting on a Field,['Timberlake Wertenbaker'],1993,['Drama'],N/A,N/A,N/A,en
"Innocent Thoughts, Harmless Intentions",['John Heuer'],1980,['Drama'],"THE STORY: The central action of the play takes place in an army barracks in a remote Alaskan outpost during the Korean conflict. Restive from boredom and the numbing cold, the men, egged on by a sadistic corporal, turn on Johnson, a misfit whose",N/A,N/A,en
Running on Empty,['Jack Heifner'],1987,['Drama'],"THE STORY: As the play begins, Lilly is pondering which of her designer dresses to burn in the fireplace of her chic if sparsely furnished penthouse apartment. The problem is that it is wintertime, the United States has long since used up its fuel",N/A,N/A,en
Cash Flow,['D. B. Gilles'],1989,['Drama'],"THE STORY: Things are not going well at the Gallagher Publishing Company, an old-line textbook house which is faced with mounting losses because of the failure of its latest publishing venture. Staving off financial ruin is the pressing problem, an",N/A,N/A,en
A Sleep of Prisoners,['Christopher Fry'],1951,['Drama'],"Luther Greene presents Christopher Fry's ""A Sleep of Prisoners,"" directed by Michael MacOwan, assistant director Hugh Goldie, lighted by Abe Feder.",N/A,N/A,en
For the Use of the Hall,['Oliver Hailey'],1976,['Drama'],"THE STORY: The time is winter, the place a chilly summer house on Long Island, where Allen and Charlotte, after twenty spendthrift years together, are hiding out --burning bogus art works for heat and raiding a neighbor's back porch for food. They",N/A,N/A,en
The People Vs. Ranchman ; Ex-Miss Copper Queen on a Set of Pills,['Megan Terry'],1968,['American drama'],N/A,N/A,N/A,en
Summer,['Edward Bond'],1982,['Drama'],"Set in Eastern Europe in and around a house overlooking the sea, the play centers on an encounter between two women, whose pasts are bound up with the German wartime occupation of the town and nearby islands.",N/A,N/A,en
Impassioned Embraces,['John Pielmeier'],1989,['Drama'],"Dealing largely with the many aspects of love (from the sublime to the ridiculous) and with the trials and terrors that actors must face, the plays mingle hilarity and poignance as they explore the problems that romance--and the need for self-expression--can engender. We encounter, for example, an actor struggling through a particularly devastating rehearsal; two teenagers gingerly dissecting a frog--and their sex lives; a bridegroom who finds that he really loves the bridesmaid rather than the bride; a woman (masquerading as a man) who tries to pick up a man (masquerading as a woman) in a bar; a couple chattering through a ""splatter film"" whose conversation is even wilder, and more intriguing, that the soundtrack of the movie; and assortment of sad/funny monologues about the various perils (and pleasures) of the acting profession; a wildly funny farce involving a man about to undergo a vasectomy, a shockingly inept doctor, an irate (and pregnant) nurse, and the doctor's madly jealous wife.",N/A,N/A,en
The Root of Chaos,['Douglas Soderberg'],1986,['Drama'],N/A,N/A,N/A,en
Full Hookup,"['Conrad Bishop', 'Elizabeth Fuller']",1986,['Drama'],"THE STORY: The play is set in Omaha in 1980. Ric, in his late twenties, delivers pizza, writes mangled poetry, drinks too much and loves his wife. His obsessive jealousy drives Beth to temporary refuge in her mother's home, where he follows for a c",N/A,N/A,en
Raindance,['Meir Z. Ribalow'],1985,['Drama'],N/A,N/A,N/A,en
Breakfast with Les and Bess,['Lee Kalcheim'],1984,['Families'],N/A,N/A,N/A,en
Dancing in the End Zone,['Bill C. Davis'],1985,['Drama'],"Full Length / Drama / 2m, 2f / Unit set This drama by the author of ""Mass Appeal"" explores the heart of a young man in crisis, inflamed by the people who claim to care for him: his mother, his football coach and his tutor. James Bernard is a star college quarterback whose innocence renders him devastatingly vulnerable. His mother and coach are pushing him to go ""professional""; his tutor is concerned over the inherent corruption of organized athletics, believing that football is just another metaphor for war. ""A thoroughly commendable play...A solid piece of work [with]...taut, provocative scenes."" - Wall Street Journal",N/A,N/A,en
The Visions of Simone Machard,['Bertolt Brecht'],1965,['Arson'],"An adolescent girl named Simone works at a gas station in central France. Her older brother is a soldier in the army, and the Wehrmacht forces are approaching. While engrossed in a book about Saint Joan, she slips into a series of dreams in which the real persons in her life take on other identities. Her brother appears as an angel, her boss as the coward Connetand, and herself as Saint Joan who helps starving refugees and defies her employer. In real life she sets fire to a secret supply of gasoline before the Germans can get to it. In her dream, she is captured and sentenced to death, but in real life she is not yet considered a saboteur. The Germans hand her over to the French as a mere arsonist, and she is led away by nuns to a mental institution.",N/A,N/A,en
Punch and Judy,['Bill Svanoe'],1996,['Drama'],"THE STORY: Marina Cliff, a Hungarian-Swiss beauty who is recently divorced from her real-estate billionaire husband, decides she wants to write a novel to amuse herself. She hires Carol Spearman, a smart, reclusive, cynical, witty, failed writer, t",N/A,N/A,en
Kith and Kin,['Oliver Hailey'],1988,['Drama'],"THE STORY: Coming together for the funeral of their father (whom they all detested and, on occasion, tried to kill off) three bothers assemble at the family homestead in rural Texas. The eldest, Darryl, is a thrice-divorced ne'er-do-well who relish",N/A,N/A,en
I Won't Dance,['Oliver Hailey'],1982,['Script'],N/A,N/A,N/A,en
It Had to be You,"['Renée Taylor', 'Joseph Bologna']",1984,['Script'],N/A,N/A,N/A,en
A Young Lady of Property,['Horton Foote'],1955,['Drama'],"THE STORIES: A YOUNG LADY OF PROPERTY. Wilma, a lonely girl of fifteen, lives with her aunt. Her mother is dead, and her father, who is weak and not too reliable, goes out with a Mrs. Leighton, a woman of whom the town disapproves. In a wistful mom",N/A,N/A,en
Split Second,['Dennis McIntyre'],1984,['Script'],N/A,N/A,N/A,en
Starting Monday,['Anne Commire'],1991,['Drama'],N/A,N/A,N/A,en
What Mama Don't Know,['Jane Martin'],1988,['Script'],N/A,N/A,N/A,en
Chicks and Other Short Plays,['Grace McKeaney'],1987,['Drama'],N/A,N/A,N/A,en
