title,authors,publishedDate,categories,description,averageRating,textSnippet
Empowerment of Women Through Self Help Groups,['G. Sreeramulu'],2006,['Political Science'],"The book is an in-depth study of Empowerment of Women Through Self Help Groups. It covers the problems and perspectives of Self Help Groups and suggest several measures. The study has evaluated the implementation of several schemes in Anantapur District in particular and in Andhra Pradesh in general such as rearing goats, dairying, petty business activities, making of soft toys and so on. The findings are very much encouraging, such as Women are now managing their families, Panchayat Raj Institutions, are able to concentrate on their children s education and health. Contents include: Introduction, Public Policy Theoretical Perspectives, Evaluation, Aims and Objectctives of Self Help Groups in Anantapur District, Socio-Economic Background of the Sample Study, Problems and perspectives of Self Help Groups, Performance of Self Help Groups and Conclusion. This outstanding Text-cum-Reference book will be of great use to Scholars, Administrators, Planners, Policy-makers, Statesmen and Students of Political Science, Economics, Sociology, Commerce and Women Studites.",N/A,N/A
Dual-Process Theories in Moral Psychology,['Cordula Brand'],2016-03-21,['Philosophy'],"This anthology offers a unique collection of contributions focusing on the discussion about the so-called dual-process theories within the field of moral psychology. In general, dual-process theories state that in cognitive systems, two sorts of processes can be differentiated: an affective, associative process and an analytical, rule-based process. This distinction recently entered the debate on the relationship between intuitive and rational approaches to explaining the phenomenon of moral judgment. The increasing interest in these theories raises questions concerning their general impact on social contexts. The anthology aims at presenting stepping-stones of an analysis of the merits and drawbacks of this development. For that purpose, the authors discuss general questions concerning the relationship between ethics and empirical sciences, methodological questions, reassessments of established terminology and societal implications of dual-process theories in moral psychology.",5,N/A
Reasons Without Persons,['Brian Hedden'],2015,['Philosophy'],"Brian Hedden defends a radical view about rationality, personal identity, and time. He argues that what it is rational to do should not depend on your past beliefs or actions, which are not part of your current perspective on the world. His impersonal approach holds that what rationality demands of you is solely determined by your evidence.",N/A,N/A
Constructing the Self in a Mediated World,"['Debra Grodin', 'Thomas R. Lindlof']",1996-01-18,['Language Arts & Disciplines'],"In today′s media-saturated world, identities are no longer built solely within the close-knit communities of family, neighborhood, school, and work. Today media are part of our world and therefore play an important role in the formulations of our identities or constructions of self. In a truly postmodern mode, Constructing the Self in a Mediated World not only brings together the usually segregated areas of interpersonal and mass communication but also incorporates works from scholars in sociology, psychology, and women′s studies as well. Each essay examines our understanding of self in a different context of mediated culture within a specific framework of interpretive theories such as critical theory, social constructionist theory, and feminism. This volume provides insights into issues of self and identity in contemporary mediated culture. Designed for advanced students and experienced researchers in communication (both media and interpersonal), sociology, psychology, and women′s studies. Constructing the Self in a Mediated World raises important questions and contributes greatly to its field.",N/A,N/A
Revisiting the Use of Self,['Deena Mandell'],2007,['Political Science'],"In recent years, several developments have stimulated new ways of thinking about the social worker's """"self"""" or """"selves"""" in all aspects of practice. The focus on practice with diverse populations, and the emphasis on """"anti-oppressive"""" practice have highlighted elements of the relationship between social worker and client. The objective of this book is threefold: 1. Offer the reader a historical/developmental overview of the concept of """"use of self"""" and critically explore its adequacy for contemporary ethical practice. 2. Provide the reader with first-person, practitioners' accounts of their own """"use of self"""" in examples of reflective practice approaches. 3. Broaden the scope of the concept of critical """"use of self"""" to fields of service where it is under-theorized in, for example, community work and corrections.",N/A,N/A
Liberation in the Face of Uncertainty,['Hubert J. M. Hermans'],2022-01-13,['Psychology'],"This book uses Dialogical Self Theory to respond to the challenges of climate change, well-being, and disenchantment of the world.",N/A,N/A
Remembering the Falklands War,['Sarah Maltby'],2016-06-23,['History'],"This book offers an empirically informed understanding of how identity and agency become wholly embedded within practices of media-remembering. It draws upon data collected from the British military, the BBC and Falkland Islanders during the 30th Anniversary of the Falklands war to uniquely offer multiple perspectives on a single ‘remembering’ phenomenon. The study offers an analysis of the convergence, interconnectedness and interdependence of media and remembering, specifically the production, interpretation and negotiation of remembering in the media ecology. In so doing it not only examines the role of media in the formation and sustaining of collective memory but also the ways those who remember or are remembered in media texts become implicated in these processes.",N/A,N/A
Measuring Ego Development,"['Jane Loevinger', 'Ruth Wessler']",1970,['Ego (Psychology)'],"Vol.2 by Jane Loevinger, Ruth Wessler and Carolyn Redmore.",N/A,N/A
Psychotherapy and the Grandiose Patient,['E. Mark Stern'],1989,['Psychology'],"Here is a practical and thorough volume for any mental health professional who is working with grandiose clients. Using helpful background information and vignettes from clinical contact with their own clients, a number of psychotherapists provide new and enlightening insights into the person who displays an exaggerated sense of self-importance, a constant need for attention and admiration, a sense of entitlement, and an inability to identify and experience how others feel. Learn all about the theoretical basis of grandiosity, the functional and dysfunctional aspects of grandiosity, the possible etiological bases for the onset and maintenance of grandiosity in behavior and attitude, and the sources and consequences of grandiosity in psychotherapists, especially in interaction with grandiosity in patients. You will also better understand the relationship between grandiosity and narcissim, and the relationship between grandiosity and alcoholism, including suggestions for treating alcoholics who display grandiosity.",N/A,N/A
Ego Psychology and Social Work Practice,['Eda Goldstein'],1995-03,['Medical'],"While ego psychological theory still holds a pre-eminent position in clinical social work practice, the field has changed in many ways. This revised edition addresses these major changes, bringing the reader up to date.",N/A,N/A
