title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Tales of Power,['Carlos Castaneda'],1991,['Fiction'],"His legend and his power have grown throughout two generations, in five astonishing volumes. In this landmark work, the legendary don Juan concludes the instruction of Castaneda with his most powerful and mysterious lessons in the sorcerer's art. It is a dazzling series of visions that are at once an initiation and a deeply moving farewell.",5,N/A,en
The Teachings of Don Juan,['Carlos Castaneda'],1972-01-01,['History'],"Presents selections from the field notes the author kept while under the influence of hallucinogenic plants given to him as part of his apprenticeship into the ways of sorcery by Yaqui Indian Don Juan Matus, and includes an analysis of Don Juan's belief system.",4,N/A,en
People of the Peyote,"['Stacy B. Schaefer', 'Peter T. Furst']",1996,['History'],The first substantial study of a Mexican Indian society that more than any other has preserved much of its ancient way of life and religion.,5,N/A,en
Separate Reality,['Carlos Castaneda'],1991,['Fiction'],"In A Separate Reality, Castaneda resumes his apprenticeship, determined to go deeper still into Don Juan's world of mystical sensation and perception, to learn to see beyond the surface realities of life, partly with the aid of drugs but finally and essentially through a supremely difficult and demanding effort of will.",2.5,N/A,en
Sorcerer's Apprentice,['Amy Wallace'],2003,['Biography & Autobiography'],"Amy Wallace's memoir of her complex relationship with Carlos Castaneda plunges readers deep into the reality of the Castaneda cult and the psychological terrors it perpetrated. With the skill of a master storyteller, Wallace recounts early meetings with Castaneda, shares previously unpublished material straight from the Nagual, and explores the aftermath of Castaneda's death and the long term effects of his legacy. Insightful and unwaveringly honest,Sorcerer's Apprenticeis simultaneously a love story, a cautionary tale about the dangers of giving one's power to another, and a joyous account of healing and self-affirmation.",N/A,N/A,en
Journey To Ixtlan,['Carlos Castaneda'],1991-02,"['Body, Mind & Spirit']",Record of Castaneda's initiation into the mysteries of sorcery as revealed by his mentor and friend Don Juan.,4,N/A,en
Time and the Highland Maya,['Barbara Tedlock'],1992-03,['Social Science'],"Described as a landmark in the ethnographic study of the Maya, this study of ritual and cosmology among the contemporary Quiché Indians of highland Guatemala has now been updated to address changes that have occurred in the last decade.",N/A,N/A,en
The Shaman's Doorway,['Stephen Larsen'],1998,"['Body, Mind & Spirit']","Drawing on his experience as a psychotherapist and his understanding of the ancient shamanic techniques for altering consciousness, the author shows the relevance of the shamanic path to the modern world and how it can lead us to creative and affirming relationships with life.",N/A,N/A,en
The Art of Dreaming,['Carlos Castaneda'],1994,"['Body, Mind & Spirit']","Carlos Castaneda was one of the most influential spiritual teachers of the 20th century. In this stunning new jacket edition of his bestselling book, he takes the reader on an amazing journey of the soul via the teachings of the great sorcerer don Juan and reveals that there are worlds existing within our own that can be visited through dreams. The Art of Dreaming is an extraordinary and exciting adventure of the psyche unlike any other, which takes the reader on an amazing journey of the soul via the teachings of the great sorcerer, don Juan. Carlos Castaneda reveals that, like the layers of an onion, there are worlds existing within our own that can be visited through dreams. Using powerful ancient techniques to alter his state of consciousness, Castaneda travels into new worlds and encounters remarkable but dangerous beings; he conjoins energy bodies with another dreamer in order to dream and explore together, and thus acquires new knowledge and understanding. Castaneda's compelling writing enables the reader to participate fully in his eye-opening and thrilling discoveries and explorations.",5,N/A,en
The Woman in the Shaman's Body,['Barbara Tedlock'],2005,"['Body, Mind & Spirit']",Publisher Description,N/A,N/A,en
Tobacco and Shamanism in South America,['Johannes Wilbert'],1987-01-01,"['Body, Mind & Spirit']","An ethnography of magic-religious, medicinal and recreational tobacco use among nearly 300 native South American societies. Wilbert found that South American Indians use tobacco in many ways and that a close functional relation exists between tobacco and shamanism.",N/A,N/A,en
Shamanism,['Mircea Eliade'],2020-09-15,['History'],"The foundational work on shamanism now available as a Princeton Classics paperback Shamanism is an essential work on the study of this mysterious and fascinating phenomenon. The founder of the modern study of the history of religion, Mircea Eliade surveys the tradition through two and a half millennia of human history, moving from the shamanic traditions of Siberia and Central Asia—where shamanism was first observed—to North and South America, Indonesia, Tibet, China, and beyond. In this authoritative survey, Eliade illuminates the magico-religious life of societies that give primacy of place to the figure of the shaman—at once magician and medicine man, healer and miracle-doer, priest, mystic, and poet. Synthesizing the approaches of psychology, sociology, and ethnology, Shamanism remains the reference book of choice for those interested in this practice.",N/A,N/A,en
