title,authors,publishedDate,categories,description,averageRating,textSnippet
Ich Schlafe Gern in Meinem Eigenen Bett,"['Shelley Admont', 'S. A. Publishing']",2015-08-17,['Juvenile Fiction'],Jimmy doesn't want to sleep in his own bed. Every night he sneaks into his parents' room and falls asleep in their bed. Until one night something unexpected happened.... This story may be ideal for reading to your kids at bedtime and enjoyable for the whole family as well! It is suitable as a read aloud book for pre-schoolers or a self-read book for older children. Dieses lustige Bilderbuch fUr Kinder erzAhlt die Geschichte des kleinen Hasen Jimmy. Jimmy will nicht in seinem eigenen Bett schlafen. Jede Nacht schleicht er in das Zimmer seiner Eltern und schlAft in ihrem Bett ein. Bis eines Nachts etwas Unerwartetes passiert.... Diese Geschichte ist eine ideale Gutenachtgeschichte und zudem unterhaltsam fUr die ganze Familie! Es ist ein passendes Vorlesebuch fUr VorschUler oder ein Buch zum selbst lesen fUr Altere Kinder.,N/A,N/A
Asleep,['Banana Yoshimoto'],2000,['Fiction'],"In these three novellas, Yoshimoto spins the stories of three young women bewitched into a spiritual sleep. Sly and mystical as a ghost story, with a touch of Kafkaesque surrealism, ""Asleep""--now in paperback--is an enchanting book from one of the best writers in contemporary international fiction.",4.5,N/A
Moominland Midwinter,['Tove Jansson'],1971,['Juvenile Nonfiction'],"Everyone knows that the Moomins sleep through the winter, but this year Moomintroll discovers that winter is worth waking up for after all.",N/A,N/A
"Play, Dreams and Imitation in Childhood",['Jean Piaget'],1999,['Education'],"First published in 1999. This volume is the third of a series devoted to the first years of the child's development, the two others being concerned with the beginnings of intelligence and the child's construction of reality (La naissance de intelligence chez Venfant and La construction du réel chez Venfant). Although this book contains frequent references to the two other volumes, which deal with the same three children and study the relationships between their mental activities, it nevertheless constitutes in itself an independent and complete study",N/A,N/A
Sleep Medicine,['Teofilo Lee-Chiong'],2008-04-24,['Language Arts & Disciplines'],"""Sleep Medicine: Essentials and Review can be used both as a text for managing sleep disorders and as a review for preparing for the Sleep Medicine Certification Examination and the Board of Registered Polysomnographic Technologists Examination. Dr. Teofilo Lee-Chiong also includes over 600 board-type multiple choice questions with answers and explanations."" ""This book will be valuable to sleep specialists, pulmonologists, neurologists, psychiatrists, internists, family practice physicians, otolaryngologists, respiratory therapists, nurses, sleep technologists, and other health providers interested in learning more about sleep neurophysiology and sleep disorders."" --Book Jacket.",N/A,N/A
Finn Family Moomintroll,['Tove Jansson'],2010-04-27,['Juvenile Fiction'],"Moomintroll and his friends, Snufkin and Sniff, find a hat with magical powers.",N/A,N/A
The Princess and the Pea,['Hans Christian Andersen'],2005,['Mothers and sons'],A young girl feels a pea through twenty mattresses and twenty quilts and proves she is a real princess.,N/A,N/A
The Constitution of Man,['George Combe'],1841,['Human beings'],N/A,N/A,N/A
Sleep and Dreaming,['Edward F. Pace-Schott'],2003-02-27,['Medical'],"How and why does the sleeping brain generate dreams? Though the question is old, a paradigm shift is now occurring in the science of sleep and dreaming that is making room for new answers. From brainstem-based models of sleep cycle control, research is moving toward combined brainstem/forebrain models of sleep cognition itself. The book presents five papers by leading scientists at the center of the current firmament, and more than seventy-five commentaries on those papers by nearly all of the other leading authorities in the field. Topics include mechanisms of dreaming and REM sleep, memory consolidation in REM sleep, and an evolutionary hypothesis of the function of dreaming. The papers and commentaries, together with the authors' rejoinders, represent a huge leap forward in our understanding of the sleeping and dreaming brain. The book's multidisciplinary perspective will appeal to students and researchers in neuroscience, cognitive science, and psychology.",N/A,N/A
The Physiologic Nature of Sleep,"['Pier Luigi Parmeggiani', 'Ricardo A. Velluti']",2005,['Health & Fitness'],"This book provides a broad introduction to the fascinating subject of sleep, a behavioral state in which human beings spend a third of their life span, and a topic which interests not only the specialist but also the layperson. Everybody knows that well-being also depends on undisturbed, normal sleep. The Physiologic Nature of Sleep is self-contained in presentation. It may be used as an advanced textbook by graduate students and even ambitious undergraduates in biology, medicine and psychology. It is also suitable for the expert hypnologist who wishes to have an overview of some of the classic and fundamental achievements in sleep research. The explanations in the book are detailed enough to capture the interest of the curious reader, and complete enough to provide the necessary background material needed to go further into the subject and explore the research literature.",N/A,N/A
Principles and Practice of Sleep Medicine,"['Meir H. Kryger', 'William C. Dement']",1994,['Medical'],"Revised and updated to include all the latest developments in the advancing field of sleep medicine, this book covers the basic sciences as well as sleep pathology in adults. New coverage on psychiatry, circadian rhythms, cardiovascular diseases, and sleep apnoea treatment and diagnosis.",N/A,N/A
Principles and Practice of Sleep Medicine,[],2005,['Sleep'],N/A,N/A,N/A
The Encyclopedia of Sleep and Sleep Disorders,"['Charles Pollak', 'Michael J. Thorpy', 'Jan Yager']",2010,['Health & Fitness'],"Praise for the previous edition:"" ... provide[s] a good background for anyone interested in the subject ... easy to use.""",N/A,N/A
Sleep and Dreaming,"['Jacob Empson', 'Michael B. Wang']",2002-03-06,['Psychology'],"Everyone sleeps and everyone dreams. Yet we are almost entirely unconscious of what is happening to us when we sleep and we forget almost all of our dreams. This third edition of a classic introduction to the subject provides a fascinating insight into this most universal of subjects, critically analysing recent research by psychologists and neuroscientists (much of which has been published in the last ten years) and reviewing historical and cultural beliefs about dreams. Sleep and Dreaming is a comprehensive and rigorous text for undergraduate students, offering a rewarding and engaging introduction to the field. new_to_this_edition Contains much new material, particularly on the physiology of sleep A new chapter by Professor Michael Wang on the psychological treatment of insomnia",N/A,N/A
The Tibetan Yogas of Dream and Sleep,"['Tenzin Wangyal Rinpoche', 'Tenzin Wangal Ripoche']",2004-01-01,['Religion'],In the Tibetan tradition the ability to dream lucidly is not and end in itself rather it provides as additonal context in which one can engage in advanced and effective practices to achieve liberation. Dream yoga is followed by sleep yoga also known as the yoga of clear light. It is a more advanced practice similar to the most secret Tibetan practices. The goal is to remain aware during deep sleep when the gross conceptual mind and the operation of the senses cease.The result of these practicas is greater happiness and freedom in both our waking and dreaming states.,5,N/A
Biopsychology,['John P. J. Pinel'],2000,['Juvenile Nonfiction'],"Written in a friendly and engaging manner, Pinel's Biopsychology introduces the fundamentals of modern biopsychology. The fourth edition has been thoroughly updated to keep Biopsychology abreast of the many recent developments in this rapidly changing field. Despite the significant infusion of new material, Pinel's text continues the tradition that has made it such a success: clear, engaging prose; an unwavering emphasis on behavior; an attractive, superbly designed and integrated illustration package; and insight-provoking accounts of modern biopsychological research.",N/A,N/A
The Napping House,['Audrey Wood'],2005,['Juvenile Fiction'],"Readers can cuddle up with this classic bedtime story, now in a special padded board book edition. Full color.",4,N/A
The Rainbow Fish and His Friends,['Marcus Pfister'],2022-10-11,['Juvenile Fiction'],"Join Rainbow Fish and his friends as they discover the happiness of sharing, how to resolve an argument, how to be a good sport, and more ... These are the everyday but important situations that every child experiences and from which they can emerge strengthened.",N/A,N/A
"Good-Night, Owl!",['Pat Hutchins'],2015-08-25,['Juvenile Nonfiction'],"How is Owl supposed to sleep the day away with the bees buzzing, the woodpecker pecking, the doves cooing, and the squirrels crunching? But when night falls and everything is finally quiet, suddenly there's a new sound--and it's coming from Owl!",N/A,N/A
Where the Wild Things are,['Maurice Sendak'],1963,['Juvenile Fiction'],"Max is sent to bed without supper and imagines sailing away to the land of Wild Things, where he is made king. Winner, 1964 Caldecott MedalNotable Children's Books of 1940-1970 (ALA)1981 Boston Globe-Horn Book Award for Illustration1963, 1982 Fanfare Honor List (The Horn Book)Best Illustrated Children's Books of 1963, 1982 (NYT)A Reading Rainbow Selection1964 Lewis Carroll Shelf AwardChildren's Books of 1981 (Library of Congress)1981 Children's Books (NY Public Library)100 Books for Reading and Sharing 1988 (NY Public Library)",N/A,N/A
Handbook of Sleep Medicine,"['Alon Y. Avidan', 'Phyllis C. Zee']",2011,['Medical'],"""The handbook offers practical and easily referenced algorithmic flow diagrams. It provides the flexibility of a quick, easily referenced guideline whereas the chapters provide specific diagnostic tools and detailed reviews of treatments""--Provided by publisher.",N/A,N/A
Sal Sleeps In,['Lincoln James'],2006-08-01,['Juvenile Nonfiction'],1 copy,N/A,N/A
The Mystery of Sleep,['John Bigelow'],1897,"['Body, Mind & Spirit']","Velobinding with Card Stock Covers, Printed on Acid-Free Paper.",N/A,N/A
The Philosophy of Sleep,['Robert Macnish'],1845,['Sleep'],N/A,N/A,N/A
Night-time and Sleep in Asia and the West,"['Lodewijk Brunt', 'Brigitte Steger']",2004-06,['Science'],"Drawing together case studies from Asia and Europe, the reader can see the differences in cultural importance given to the night, and how the challenges and opportunities of modernity have been played out in the East and the West.",N/A,N/A
Insomnia,['Henry Munson Lyman'],1885,['Dreams'],"""The regularly recurring incidence of natural sleep forms one of the most important subjects for physiological investigation. Were it an event of rare occurrence, it would excite a degree of astonishment and alarm equal to the agitation now experienced by the spectator of an ordinary attack of syncope or of epileptic convulsion. But, so completely does the recurrence of sleep harmonize with all the other facts of life that we are as indifferent to its nature--that is, until one is faced with insomnia. In this text, insomnia, and other disorders of sleep, are examined in an attempt to uncover the various ways in which such disorders can be treated/prevented. The following topics are highlighted: the nature and cause of sleep; insomnia, or wakefulness; remedies for insomnia; treatment of insomnia in particular diseases; dreams; somnambulism; and artificial somnambulism or hypnotism."" (PsycINFO Database Record (c) 2005 APA, all rights reserved).",N/A,N/A
Guess how Much I Love You,['Sam McBratney'],2010,['Bedtime'],How much can you love someone? Little Nutbrown Hare wants to show Big Nutbrown Hare how very much he loves him-- but love as big as his is very hard to measure! Read this tender book with someone you love!,N/A,N/A
Principles and Practice of Sleep Medicine,"['Meir H. Kryger', 'Tom Roth', 'William C. Dement']",2017,['Sleep'],"For nearly 30 years, Dr. Meir Kryger's must-have guide to sleep medicine has been the gold standard in this fast-changing field. This essential, full-color reference includes more than 20 unique sections and over 170 chapters covering every aspect of sleep disorders, giving you the authoritative guidance you need to offer your patients the best possible care. For this updated 6th edition, extensive additional online material enhances the value of Principles and Practice of Sleep Medicine to your practice. Evidence-based content helps you make the most well-informed clinical decisions. An ideal resource for preparing for the sleep medicine fellowship examination. New content on sleep apnea, neurological disorders, legal aspects of sleep medicine, dental sleep medicine genetics, circadian disorders, geriatrics, women's health, cardiovascular diseases, and occupational sleep medicine, keeps you fully up to date. Updates to scientific discoveries and clinical approaches ensure that you remain current with new knowledge that is advancing the diagnosis and management of sleep disorders. Online access to additional resources, including 95 video clips and over 950 self-assessment questions. The essential reference tool to manage and diagnose patients with sleep disorders.",N/A,N/A
Evolution of Sleep,"['Patrick McNamara', 'Robert A. Barton', 'Charles L. Nunn']",2010,['Medical'],"This book is aimed at researchers and graduate students in neuroscience, evolutionary biology, and biological anthropology and to biomedical researchers studying sleep medicine.",N/A,N/A
Little Cloud Lamb,['Ana Eulate'],2011-04,['Juvenile Nonfiction'],"Lambkin is a different type of lamb. Instead of being covered in wool, his body is a cloud. A touching and sensitive story for all ages, about accepting differences and dealing with the loss of a loved one. Because very often what happen to us in life is an opportunity to learn and grow. Intended for parents and educators, this thoughtful book treats a delicate topic with compassion and understanding.",N/A,N/A
The Rabbit Who Wants to Fall Asleep,['Carl-Johan Forssén Ehrlin'],2015-10-02,['Bedtime'],The rabbit gets help from Uncle Yawn and other friends to fall asleep in the evening,N/A,N/A
Little Bunny's Sleepless Night,['Carol Roth'],2022-07-12,['Juvenile Nonfiction'],"Little Bunny, an only child, is so lonely that he cannot sleep, so he asks his friends if he can stay with them, only to discover that his own bed is best.",N/A,N/A
The Lucid Dreaming Pack,['Robert Waggoner'],2016-10-11,"['Body, Mind & Spirit']",Learn to control your dreams with this amazing starter kit. Lucid dreaming will come easy with this guide and dream journal.,N/A,N/A
The Philosophy of Mystery,['Walter Cooper Dendy'],1845,['Parapsychology'],N/A,N/A,N/A
Sleep and Brain Activity,['Marcos G. Frank'],2012-07-25,['Medical'],"Sleep and the Brain presents some of the more dramatic developments in our understanding of brain activity in sleep. The book discusses what parts of the brain are active in sleep and how, and presents research on the function of sleep in memory, learning, and further brain development.",N/A,N/A
Sleep Disorders Medicine,['Sudhansu Chokroverty'],1999,['Medical'],"Sleep Disorders Medicine, Second Edition, is a comprehensive textbook on the fundamental aspects of the science of sleep, the technical methods of recording for diagnosis and classification of sleep disorders, and a clinical approach to patients with sleep complaints. Also emphasized are in-depth descriptions of a variety of sleep disorders and sleep disturbances following neurologic, medical, and psychiatric events. The book uses a multidisciplinary approach and is valued for its manageable size.",N/A,N/A
"Sleep, Health, and Society","['Francesco P. Cappuccio', 'Michelle A. Miller', 'Steven W. Lockley', 'Shantha M. W. Rajaratnam']",2018,['Health & Fitness'],"This book summarises the epidemiological evidence linking sleep deprivation and disruption to several chronic conditions, and explores the public health implications with the view to developing preventive strategies.",N/A,N/A
The Rabbit Who Wants to Fall Asleep,['Carl-Johan Forssen Ehrlin'],2015-11-05,[],"The groundbreaking No. 1 bestseller is sure to turn nightly bedtime battles into a loving and special end-of-day ritual. This child-tested, parent-approved story uses an innovative technique that brings a calm end to any child's day. Do you struggle with getting your child to fall asleep? Join parents all over the world who have embraced The Rabbit Who Wants to Fall Asleep as their new nightly routine. When Roger can't fall asleep, Mummy Rabbit takes him to see Uncle Yawn, who knows just what to do. Children will join Roger on his journey and be lulled to sleep alongside their new friend. Carl-Johan Forssén Ehrlin's simple story uses a unique and distinct language pattern that will help your child relax and fall asleep-at bedtime or naptime. Reclaim bedtime today! Praise for The Rabbit Who Wants to Fall Asleep: ""Tired parents of planet earth - this is what you've been waiting for... If you don't already have a copy, you need to order one quick sharp"" - Metro ""The most peaceful bedtime we have had in months"" - Daily Mail",N/A,N/A
Human Personality and Its Survival of Bodily Death,['Frederic William Henry Myers'],1915,['Apparitions'],N/A,N/A,N/A
