title,authors,publishedDate,categories,description,averageRating,textSnippet
Reason and Revolution,['Herbert Marcuse'],1968,['Dialectic'],N/A,N/A,N/A
On Relationship,['Jiddu Krishnamurti'],1999,['Communication'],N/A,N/A,N/A
A Guide to the Social Sciences,['Norman MacKenzie'],1966,['Anthropology'],N/A,N/A,N/A
Federal Tax Research,"['William A. Raabe', 'Gerald E. Whittenburg', 'Debra L. Sanders']",2006,['Environment and Human Health'],"""With FEDERAL TAX RESEARCH, 8e, you will come to understand the latest techniques in tax research and the way this relates to the CPA exam. The eighth edition offers a new chapter on international tax research, an expanded review of tax ethics, and real-life cases to help you see the big picture of federal tax law. No other text can better prepare you on tax research procedures and multiple hands-on applications!""--Publisher's Website.",N/A,N/A
Black Odyssey,['Nathan Irvin Huggins'],1979,['Popular culture'],The story of Afro-American slavery in this country.,N/A,N/A
El viaje a Siracusa,['Santiago González Noriega'],1994,['Philosophy'],N/A,N/A,N/A
台灣社會現象的分析,"['伊慶春', '朱瑞玲']",1989,['Sociology'],N/A,N/A,N/A
"Instructor's Manual with Test Bank for Sociology, Eight Edition",['Ron Stewart'],2002,['Socialogy'],N/A,N/A,N/A
Reappraisal of the Black Panther Party,['J. Vern Cromartie'],2013-12,[],This book is a compilation of essays by a college professor and sociologist on the Black Panther Party as a social movement.,N/A,N/A
現代批判の社会学,['杉之原寿一'],1969,['Japan'],N/A,N/A,N/A
