title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Ideology and Utopia,['Karl Mannheim'],1991,['Philosophy'],A new edition of Karl Mannheim's classic work in which the concepts of 'ideology' and 'utopia' are examined as opposing and dominant societal influences.,4,N/A,en
What is Sociology?,['Norbert Elias'],1978,['Social Science'],"What is Sociology? presents in concise and provocative form the major ideas of a seminal thinker whose work--spanning more than four decades--is only now gaining the recognition here it has long had in Germany and France. Unlike other post-war sociologists, Norbert Elias has always held the concept of historical development among his central concerns; his dynamic theories of the evolution of modern man have remedied the historical and epistemological shortcomings of structualism and ethno-methodology. What is Sociology? refines the arguments that were first found in Elias' massive work on the civilizing process, in which he formulated his major assertions about the interdependence of the making of modern man and modern society. It is Elias' contention that changes in personality structure--embodied in phenomena ranging from table manners and hygiene habits to rites of punishment and courtly love--inevitably reflect and mould patterns of control generated by new political and social instututions. Elias' rejection of a dichotomy between individual and society, and his use of psychoanalysis, political theory, and social history, help restore a fullness of resource to sociology.",5,N/A,en
On Social Structure and Science,['Robert K. Merton'],1996-09-15,['Philosophy'],"Robert K. Merton is unarguably one of the most influential sociologists of his time. A figure whose wide-ranging theoretical and methodological contributions have become fundamental to the field, Merton is best known for introducing such concepts and procedures as unanticipated consequences, self-fulfilling prophecies, focused group interviews, middle-range theory, opportunity structure, and analytic paradigms. This definitive compilation encompasses the breadth and brilliance of his works, from the earliest to the most recent. Merton's foundational writings on social structure and process, on the sociology of science and knowledge, and on the discipline and trajectory of sociology itself are all powerfully represented, as are his autobiographical insights in a fascinating coda. Anchored by Piotr Sztompka's contextualizing introduction, Merton's vast oeuvre emerges as a dynamic and profoundly coherent system of thought, a constant source of vitality and renewal for present and future sociology.",N/A,N/A,en
For Weber,['Bryan S. Turner'],1981,['Philosophy'],N/A,N/A,N/A,en
"Utopia: Or, The Happy Republic",['Saint Thomas More'],1838,['Sociology'],N/A,N/A,N/A,en
The Study of Sociology,['Herbert Spencer'],1880,['Sociology'],N/A,N/A,N/A,en
Nietzsche and Early German and Austrian Sociology,['Franz Solms-Laubach (Graf zu.)'],2007,['Philosophy'],"While Nietzsche's influence on philosophy, literature and art is beyond dispute, his influence on sociology is often called into question. A close textual analysis of Nietzsche's works and those of important sociologists - Max and Alfred Weber, Ferdinand Tönnies, Rosa Mayreder - provides the first comprehensive account of their study and use of Nietzsche's writings. Above all, Nietzsche's critique of modernity, morality and culture are shown to have had a decisive influence on the development of sociology and the work of its leading thinkers at the end of the 19th century and the beginning of the 20th.",N/A,N/A,en
The Human Condition,['Hannah Arendt'],1958,['Economics'],N/A,N/A,N/A,en
The Global Age,['Martin Albrow'],1997,['Social Science'],"Taking issue with those who see recent social transformations as an extension of modernity, the author contends that social theory must confront an epochal change from the modern era to a new era of globality, in which human beings can conceive of forces at work on a global scale, and in which they espouse values that take the globe as their reference point. The book begins by assessing the problems of writing about modernity, showing how narratives of an endlessly self-perpetuating modern age were intrinsic to the ""modern project,"" the attempt by Enlightenment philosophers to transform the everyday world in accord with science and logic under the auspices of the nation-state. Now we are beginning to realize that the nation-state and the modern project cannot renew themselves endlessly through expansion. Instead, the author contends, the age has culminated in its own dissolution, and globality has supplanted modernity as the basis for action and social organization. In theorizing the global age, he considers the worldwide environmental consequences of aggregate human activities, the reconception of human security in the age of nuclear weapons, technological advances in communication systems, the rise of a global economy, and the growing reflexivity of global consciousness, as people and groups begin to refer to the globe as the frame for their beliefs. The book concludes by examining the consequences of the Global Age thesis for politics, identifying a new popular construction of the state that the author terms ""performative citizenship."" In the modern age, the nation-state was the central power and citizens were beneficiaries of that power, with rights and duties. In the global age, citizens respond to the lack of central power by creating, or performing, the state themselves. The global managerial class uses the skills learned in the bureaucracy of the nation-state to bring pressure on national governments in the interests of global economic, environmental, or human-rights issues.",N/A,N/A,en
The Sociology of Culture,['Raymond Williams'],1995-08-15,['Social Science'],Foreword 1 Towards a Sociology of Culture 2 Institutions 3 Formations 4 Means of Production 5 Identifications 6 Forms 7 Reproduction 8 Organization Bibliography Index.,5,N/A,en
Social Statics,['Herbert Spencer'],1872,['Social sciences'],N/A,N/A,N/A,en
Principles of Sociology,['Herbert Spencer'],1893,['Sociology'],N/A,N/A,N/A,en
