title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Software Engineering,['Roger S. Pressman'],2005,['Computers'],"For more than 20 years, this has been the best selling guide to software engineering for students and industry professionals alike. This edition has been completely updated and contains hundreds of new references to software tools.",3.5,N/A,en
Handbook of Software Engineering & Knowledge Engineering: Fundamentals,['Shi Kuo Chang'],2001,['Computers'],"This is the first handbook to cover comprehensively both software engineering and knowledge engineering -- two important fields that have become interwoven in recent years. Over 60 international experts have contributed to the book. Each chapter has been written in such a way that a practitioner of software engineering and knowledge engineering can easily understand and obtain useful information. Each chapter covers one topic and can be read independently of other chapters, providing both a general survey of the topic and an in-depth exposition of the state of the art. Practitioners will find this handbook useful when looking for solutions to practical problems. Researchers can use it for quick access to the background, current trends and most important references regarding a certain topic.The handbook consists of two volumes. Volume One covers the basic principles and applications of software engineering and knowledge engineering.Volume Two will cover the basic principles and applications of visual and multimedia software engineering, knowledge engineering, data mining for software knowledge, and emerging topics in software engineering and knowledge engineering.",N/A,N/A,en
Handbook of Software Engineering & Knowledge Engineering,['Shi Kuo Chang'],2002,['Computers'],"This is the first handbook to cover comprehensively both software engineering and knowledge engineering -- two important fields that have become interwoven in recent years. Over 60 international experts have contributed to the book. Each chapter has been written in such a way that a practitioner of software engineering and knowledge engineering can easily understand and obtain useful information. Each chapter covers one topic and can be read independently of other chapters, providing both a general survey of the topic and an in-depth exposition of the state of the art. Practitioners will find this handbook useful when looking for solutions to practical problems. Researchers can use it for quick access to the background, current trends and most important references regarding a certain topic.The handbook consists of two volumes. Volume One covers the basic principles and applications of software engineering and knowledge engineering.Volume Two will cover the basic principles and applications of visual and multimedia software engineering, knowledge engineering, data mining for software knowledge, and emerging topics in software engineering and knowledge engineering.",N/A,N/A,en
User-Centred Requirements for Software Engineering Environments,"['David J. Gilmore', 'Russel L. Winder', 'Francoise Detienne']",1994-02-28,['Computers'],"This volume is based on a NATO Advanced Research Workshop on User-Centred Requirements for Software Engineering Environments held in Bonas, France, in September 1991. The workshop was organized in two halves, one dominated by discussion of usability problems in software engineering and the other by discussion of existing solutions to these problems. The papers in the volume are grouped under four themes: - Design activities and representations for design - Code representation and manipulation - Technological solutions - The impact of design methods and new programming paradigms.",N/A,N/A,en
Software Engineering,['Stephen R. Schach'],1990,['Computers'],N/A,N/A,N/A,en
A Manager's Guide to Software Engineering,['Roger S. Pressman'],1993,['Computers'],"Using a unique question-and-answer format coupled with pragmatic advice, readers will find solutions to more than 450 commonly-used questions and problems covering technology transitions, the software development lifecycle, methods for estimating project costs and effort, risk analysis, project scheduling, quality assurance, software configuration management, and recent technological breakthroughs.",N/A,N/A,en
First Asia-Pacific Software Engineering Conference,[],1994,['Computers'],N/A,N/A,N/A,en
Software Reuse and Reverse Engineering in Practice,['Patrick A. V. Hall'],1992,['Computers'],N/A,N/A,N/A,en
Requirements for a Software Engineering Environment,['Marvin V. Zelkowitz'],1989,['Computers'],"This is a compilation of papers submitted by participants of a workshop organized to consider the requirments for a software engineering environment - a programming environment that aids the professional programmer in completion of the tasks necessary to build and maintain large complex software systems. The goal of the workshop was to consider the requirement for such an environment by examining the contributions that could be made by recent advances in technology in a variety of computer science areas including methodology, system architecture, measurement and evaluation, artificial intelligence, verification, databases, human interfaces and programming languages.",N/A,N/A,en
Performance Engineering of Software Systems,['Connie U. Smith'],1990,['Computers'],N/A,N/A,N/A,en
Software Technology Transitions,['Walter Julius Utz'],1992,['Computers'],"Covers recent developments in software technology transition. The book includes guidelines on making the transition to software engineering, emphasizing elements and timing. Also covered are the management of change of languages, computer systems, data storage, life cycles and applications.",N/A,N/A,en
The Responsible Software Engineer,"['Colin Myers', 'Tracy Hall']",1997,['Computers'],"This volume provides workers in the industry with an overview of different approaches to professionalism. It focuses specifically on software engineering as a profession, covering issues such as the role of professional bodies, project management, user awareness, and standards recognition. It also takes account of general topics such as ethical and legal responsibilities, training and education. It includes contributions from leading researchers from a variety of backgrounds, including IBM UK, Imperial Cancer Research Fund, and the Department of Education and Employment. This is one of the first volumes to cover professionalism in software engineering at an advanced level. It is aimed primarily at practitioners and researchers in industry, particularly those working on professional development programs. It will also provide further reading for graduate and postgraduate students on software engineering courses.",N/A,N/A,en
Assessment and Control of Software Risks,['Capers Jones'],1994,['Business & Economics'],"This handbook summarizes more than 50 of the major problems of building and maintaining software projects, and outlines the prevention control ""therapies"" available.",N/A,N/A,en
Mathematical Structures for Software Engineering,"['Bernard De Neumann', 'Dan Simpson', 'Gil Slater']",1991,['Computers'],"This volume is concerned with the application of formal mathematical methods in software engineering. As the design, writing and testing of software becomes a major sector of economic activity, the need for rigorous techniques has also grown. The papers in this book are devoted to various mathematical structures which find use in aspects of software design, and they cover topics such as the formal specification of systems, the design of communications software, and concurrent processing. All the contributors are experts in their respective fields. As a result, this collection provides a timely survey of this rapidly growing area. Software engineers and computer scientists will find this work to be an invaluable reference source. Mathematicians will appreciate the discussions of the contribution that their discipline can make and the interesting challenges for the future.",N/A,N/A,en
Expert Systems for Scientific Computing,"['Elias N. Houstis', 'John Rischard Rice', 'Robert Vichnevetsky']",1992,['Computers'],"This proceedings volume provides an overview of very high level and expert systems for scientific applications. The state-of-the-art of expert systems and problem-solving systems for numerical computing is reviewed and think-pieces by leading scientists on the nature and future of scientific computing are presented. Computer scientists, engineers in computer applications, graduate students and researchers should find this volume of practical interest.""",N/A,N/A,en
Software Testing and Analysis,"['Mauro Pezze', 'Michal Young']",2008,['Computers'],"Teaches readers how to test and analyze software to achieve an acceptable level of quality at an acceptable cost Readers will be able to minimize software failures, increase quality, and effectively manage costs Covers techniques that are suitable for near-term application, with sufficient technical background to indicate how and when to apply them Provides balanced coverage of software testing & analysis approaches By incorporating modern topics and strategies, this book will be the standard software-testing textbook",N/A,N/A,en
Software Engineering,['Roger S. Pressman'],2005,['Computers'],"For more than 20 years, this has been the best selling guide to software engineering for students and industry professionals alike. This edition has been completely updated and contains hundreds of new references to software tools.",3.5,N/A,en
CASCON '94,[],1994,['Computer networks'],N/A,N/A,N/A,en
Managing Software Acquisition,"['B. Craig Meyers', 'Patricia Oberndorf']",2001,['Computers'],"This title looks at strategies for reducing IT costs and improving quality, including open systems and off-the-shelf software. It explains the advantages, risks, and management implications of IT strategies based on these approaches.",N/A,N/A,en
SigmaPlot 5.0,[],1998,['Computers'],N/A,N/A,N/A,en
Computers in Your Future,['Bryan Pfaffenberger'],2002,['Business & Economics'],"You can have your cake and eat it too when it comes to learning computer concepts! Everyone is hungry to learn about computer concepts, and the most exciting way to become literate in computer technologies is through multiple educational tools. With ""Computers in Your Future"" by Bryan Pfaffenberger you can use the text, the Web site, and the optional Explore Generation IT Labs to get the most out of the world of computers. This integrated book and teaching package gives you everything you need to explore the dynamic and exciting world of information technology. This computer concepts text contains learning tools that entice the reader and reinforce critical material. ""www.prenhall.com/pfaffenberger"" is a text-specific, intuitive resource that enhances learning by exposing pertinent concepts in computing with video cases, interactive study materials, and Web resources. Prentice Hall's Explore Generation IT Labs interactively reveal key computer concepts not easily covered in lectures. These 12 labs brings challenging topics in computing to life and assess the readers' understanding with a quiz section, which can be emailed, saved to disk, or printed.",5,N/A,en
