title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Spatial Planning Systems in Central and Eastern European Countries,"['Maciej J. Nowak', 'Andrei Mitrea', 'Gunta Lukstiņa', 'Alexandru-Ionuţ Petrişor', 'Krisztina Filepné Kovács', 'Velislava Simeonova', 'Pavel Yanchev', 'Evelin Jürgenson', 'Kätlin Põdra', 'Vít Řezáč', 'Kristina Mikalauskaite', 'Birute Pranevičienė', 'Zuzana Ladzianska', 'Martin Baloga']",2023-09-22,['Social Science'],"This book presents concise summaries of cutting-edge research and practical applications across the fields of physical, environmental, and human geography. It publishes compact refereed monographs under the editorial supervision of an international advisory board with the aim to publish 8 to 12 weeks after acceptance. Volumes are compact, 50 to 125 pages, with a clear focus. The series covers a range of content from professional to academic such as timely reports of state-of-the art analytical techniques, bridges between new research results, snapshots of hot and/or emerging topics, elaborated thesis, literature reviews, and in-depth case studies. The scope of the series spans the entire field of geography, with a view to significantly advance research. The character of the series is international and multidisciplinary and includes research areas such as GIS/cartography, remote sensing, geographical education, geospatial analysis, techniques and modeling, landscape/regional and urban planning, economic geography, housing and the built environment, and quantitative geography. Volumes in this series may analyze past, present, and/or future trends, as well as their determinants and consequences. Both solicited and unsolicited manuscripts are considered for publication in this series. This book is of interest to a wide range of individuals with interests in physical, environmental, and human geography as well as for researchers from allied disciplines.",N/A,N/A,en
The Principles of Mathematics,['Bertrand Russell'],1996,['Mathematics'],Russell's classic The Principles of Mathematics sets forth his landmark thesis that mathematics and logic are identical--that what is commonly called mathematics is simply later deductions from logical premises.,5,N/A,en
A Brief History of Time From The Big Bang to Black Holes,['Stephen W. Hawking'],2020-03-04,['Science'],A Brief History of Time: From the Big Bang to Black Holes is a popular-science book on cosmology (the study of the origin and evolution of the universe) by British physicist Stephen Hawking. It was first published in 1988. Hawking wrote the book for readers who have no prior knowledge of the universe and people who are interested in learning.,N/A,N/A,en
Translational Spaces,['Yifeng Sun'],2021,['Language Arts & Disciplines'],"""This book explores the concept of space, or rather spaces, in relation to translation, to construct a conceptual framework for research to better understand and solve translation problems. A number of interrelated spatial perspectives on translation supported by empirical evidence are presented to help better understand the complexities between China and West in cultural exchanges and to offer a way of explaining what happens to translation and why it takes on a particular form. In the chequered history of Chinese-Western cultural exchange, effective communication has remained a great challenge exacerbated by the ultimate inescapability of linguistic and cultural incommensurability. It is therefore necessary to develop conceptual tools that can help shed light on the interactive association between performativity and space in translation. Despite the unfailing desire to connect with the world, transnational resistance is still underway in China. Further attempts are required to promote a convergence of Chinese and Western translation theories in general, and to confront problems arising from translation practice in particular. This work will be of interest to students and scholars in translation studies around the world, as well as those working in cultural studies and cross-cultural communication studies""--",N/A,N/A,en
Explorers and Exploration,[],2005,['Biography & Autobiography'],"""Contains a total of 177 articles ... that cover the entire history of exploration from ancient times to the present day""--Page 12.",N/A,N/A,en
"On the Nature and Elements of the External World: Or, Universal Immaterialism Fully Explained and Newly Demonstrated",['Thomas Collyns Simon'],1862,['Matter'],N/A,N/A,N/A,en
The Hidden Dimension,['Edward Twitchell Hall'],1966,['Anthropology'],Line drawings and photographs help the author explain the effects of overcrowding and what it can do to people in large groups and as individuals,N/A,N/A,en
The Illustrated Brief History of Time,['Stephen Hawking'],2015-11-19,['Cosmology'],"An updated, expanded and illustrated edition of Stephen Hawking's classic work, which includes the most recent developments in the field, many of which were forecast by him. In this edition, Professor Hawking explains his complex theories through a fresh visual dimension. Over one hundred and fifty stunning colour illustrations have been specially commissioned for this purpose to help the reader understand what have become popular mythic images of our century, but which nonetheless remain difficult, abstract ideas to grasp.",1,N/A,en
Architecture as Experience,"['Dana Arnold', 'Andrew Ballantyne']",2004-07-31,['Architecture'],This book investigates the perception and appropriation of places across intervals of time and culture. The main focus is on bringing together fresh empirical research and animating it with theoretical sophistication.,N/A,N/A,en
The Dinosaur That Pooped a Planet!,"['Tom Fletcher', 'Dougie Poynter']",2017-09-05,['Juvenile Fiction'],"A hungry dinosaur in space eats Danny's space ship, and Danny must ride the dinosaur back to Earth.",N/A,N/A,en
Where the Gods are,['Mark S. Smith'],2016-01-01,['Religion'],6. The Royal City and Its Gods -- Epilogue: Ancient Theorizing About Anthropomorphism and Space -- Notes -- Subject Index -- A -- B -- C -- D -- E -- F -- G -- H -- I -- J -- K -- L -- M -- N -- O -- P -- R -- S -- T -- U -- V -- W -- Y -- Z -- Index of Modern Authors -- A -- B -- C -- D -- E -- F -- G -- H -- I -- J -- K -- L -- M -- N -- O -- P -- R -- S -- T -- U -- V -- W -- X -- Y -- Z -- Index of Ancient Sources,N/A,N/A,en
Britannica Illustrated Science Library,[],2008,['Astronautics'],N/A,N/A,N/A,en
Bajia,"['Alessandro Rolandi', 'Xinghui Chen', 'Jing Xu', 'Fanglong Kong', 'Yang Liu', 'Jiajun (Scott) Liu', 'Wendy Wang']",2018-07,[],"Bajia is a bilingual, literary journal cum artist book committed to presenting cross-disciplinary cultural dialogues from contemporary China. It is a printed space that explores multiple layers of a single topic by presenting perspectives that come from various communities and cross disciplinary boundaries.",N/A,N/A,en
Urban Mobilities in Literature and Art Activism,"['Patricia García', 'Anna-Leena Toivanen']",2024-01-31,['Literary Criticism'],"Urban Mobilities in Literature and Art Activism explores the entwinement of mobility and immobility in urban spaces by focusing on their representation in literary narratives but also in visual and performing arts. Across a range of geographical contexts, this volume builds on the new mobilities paradigm developed by literary scholars, sociologists and human geographers. The different chapters employ a cohesive framework that is sensitive to the intersecting dimensions of power and discrimination that shape urban kinetic features. The contributions are divided into three sections, each of which places the focus on a different aspect of urban mobility: Itinerant Subjects, Modes of Transport and Places of Transit, and Urban Liminalities. Chapter 7, ""Alienation, Abjection and the Mobile Postcolonial City: Public Transport in Ousmane Sembène’s “Niiwam” and Yvonne Vera’s Without a Name"" is available open access under a Creative Commons Attribution 4.0 International License via link.springer.com.",N/A,N/A,en
Language of Vision,['Gyorgy Kepes'],1951,['Art'],"Noted painter, designer, theoretician analyzes effect of visual language on structure of human consciousness.",N/A,N/A,en
Space to Reason,['Markus Knauff'],2013,['Philosophy'],"An argument against the role of visual imagination in reasoning that proposes a spatial theory of human thought, supported by empirical and computational evidence. Many scholars believe that visual mental imagery plays a key role in reasoning. In Space to Reason, Markus Knauff argues against this view, proposing that visual images are not relevant for reasoning and can even impede the process. He also argues against the claim that human thinking is solely based on abstract symbols and is completely embedded in language. Knauff proposes a third way to think about human reasoning that relies on supramodal spatial layout models, which are more abstract than pictorial images and more concrete than linguistic representations. He argues that these spatial layout models are at the heart of human thought, even thought about nonspatial relations in the world. For Knauff the visual images that we so often associate with reasoning are only in the foreground of conscious experience. Behind the images, the actual logical work is carried out by reasoning-specific operations on these spatial layout models. Knauff also offers a solution to the problem of indeterminacy in human reasoning, introducing the notion of a preferred layout model, which is one layout model among others that has the best chance of being mentally constructed and thus guides the further process of thought. Knauff's ""space to reason"" theory covers the functional, the algorithmic, and the implementational level of analysis and is corroborated by psychological experiments, functional brain imaging, and computational modeling.",N/A,N/A,en
Political Landscapes of Capital Cities,"['Jessica Joyce Christie', 'Jelena Bogdanovic', 'Eulogio Guzmán']",2016-08-08,['Architecture'],"""Investigates the transformation of landscapes into culturally constructed and ideologically defined political environments of capital cities. In this spatially inclusive, socially dynamic interpretation, an interdisciplinary group uses a methodology to expose the associations between human-made environments and the natural landscape that accommodate socio-political needs of governmental authority""--",N/A,N/A,en
Pilgrimage in the Hindu Tradition,['Knut A. Jacobsen'],2015-08-17,['Hindu pilgrims and pilgrimages'],"Salvific space is one of the central ideas in the Hindu traditions of pilgrimage, and concerns the ability of space, especially sites associated with bodies of water such as rivers and lakes, to grant salvific rewards. Focusing on religious, historical and sociological questions about the phenomenon, this book investigates the narratives, rituals, history and structures of salvific space, and looks at how it became a central feature of Hinduism. Arguing that salvific power of place became a major dimension of Hinduism through a development in several stages, the book analyses the historical process of how salvific space and pilgrimage in the Hindu tradition developed. It discusses how the traditions of salvific space exemplify the decentred polycentrism that defines Hinduism. The book uses original data from field research, as well as drawing on main textual sources such as Mahābhārata, the Purāṇas, the medieval digests on pilgrimage places (tīrthas), and a number of Sthalapurāṇas and Māhātmyas praising the salvific power of the place. By looking at some of the contradictions in and challenges to the tradition of Hindu salvific space in history and in contemporary India, the book is a useful study on Hinduism and South Asian Studies.",N/A,N/A,en
The Time and Space of Uncle Albert,['Russell Stannard'],1989,['Fiction'],Uncle Albert and Gedenken are amazed at the physics of the very fast.,N/A,N/A,en
The Science Absolute of Space ...,['János Bolyai'],1896,['Geometry'],N/A,N/A,N/A,en
Dark Side of the Sun,['Terry Pratchett'],1988,['Fiction'],"DOM SALABOS HAD A LOT OF ADVANTAGES As heir to a huge fortune, he had an excellent robot servant (with Man-Friday subcircuitry), a planet (the First Syrian Bank) as godfather, a security chief who even ran checks on himself, and on Dom's home world even death was not always fatal. Why, then, in an age when prediction was a science, was his future in doubt?",N/A,N/A,en
Cloud Cuckoo Land (Large Print Edition),['Anthony Doerr'],2021-09-28,['Fiction'],"Follows four young dreamers and outcasts through time and space, from 1453 Constantinople to the future, as they discover resourcefulness and hope amidst peril.",N/A,N/A,en
A Briefer History of Time,"['Stephen Hawking', 'Leonard Mlodinow']",2008,"['Body, Mind & Spirit']","The original book has been a landmark volume in scientific writing. But is also true that in the years since its publication, readers have told Hawking of their difficulty in understanding some concepts. This is the reason for this briefer version; to make its content more accessible and bring it up to date with the latest information.",N/A,N/A,en
Ancillary Justice,['Ann Leckie'],2015,['Large type books'],"Now isolated in a single frail human body, Breq, an artificial intelligence that used to control of a massive starship and its crew of soldiers, tries to adjust to her new humanity while seeking vengeance and answers to her questions.",N/A,N/A,en
