title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Phenomenology of Spirit,['Georg Wilhelm Friedrich Hegel'],1998,['Philosophy'],wide criticism both from Western and Eastern scholars.,4,N/A,en
In the Spirit of Hegel,['Robert C. Solomon'],1983,['Philosophy'],"Annotation The Phenomenology of Spirit was Hegel's grandest experiment, changing our vision of the world and the very nature of philosophical enterprise. In this book, Solomon captures the bold and exhilarating spirit, presenting the Phenomenology as a thoroughly personal as well as philosophical work.He begins with a historical introduction, which lays the groundwork for a section-by-section analysis of the Phenomenology. Both the initiated and readers unacquainted with the intricacies of German idealism will find this to be an accessible and exciting introduction to this great philosopher'smonumental work.",N/A,N/A,en
Hegel's Preface to the Phenomenology of Spirit,['Georg Wilhelm Friedrich Hegel'],2005-01-17,['Philosophy'],"This is a new translation, with running commentary, of what is perhaps the most important short piece of Hegel's writing. The Preface to Hegel's first major work, the Phenomenology of Spirit, lays the groundwork for all his other writing by explaining what is most innovative about Hegel's philosophy. This new translation combines readability with maximum precision, breaking Hegel's long sentences and simplifying their often complex structure. At the same time, it is more faithful to the original than any previous translation. The heart of the book is the detailed commentary, supported by an introductory essay. Together they offer a lucid and elegant explanation of the text and elucidate difficult issues in Hegel, making his claims and intentions intelligible to the beginner while offering interesting and original insights to the scholar and advanced student. The commentary often goes beyond the particular phrase in the text to provide systematic context and explain related topics in Hegel and his predecessors (including Kant, Spinoza, and Aristotle, as well as Fichte, Schelling, Hölderlin, and others). The commentator refrains from playing down (as many interpreters do today) those aspects of Hegel's thought that are less acceptable in our time, and abstains from mixing his own philosophical preferences with his reading of Hegel's text. His approach is faithful to the historical Hegel while reconstructing Hegel's ideas within their own context.",N/A,N/A,en
The Phenomenology of Mind,['Georg Wilhelm Friedrich Hegel'],1967,['Consciousness'],N/A,N/A,N/A,en
Routledge Philosophy Guidebook to Hegel and the Phenomenology of Spirit,['Robert Stern'],2002,['Philosophy'],The Phenomenology of Spiritis Hegel's most important and famous work. It is essential to understanding Hegel's philosophical system and why he remains a major figure in Western Philosophy. This GuideBookintroduces and assesses: * Hegel's life and the background to the Phenomenology of Spirit * the ideas and the text of the Phenomenology of Spirit * the continuing importance of Hegel's work to philosophy.,N/A,N/A,en
The Logic of Desire,['Peter Kalkavage'],2007,['Philosophy'],The best introduction for the general reader to Georg Wilhelm Friedrich Hegel's Phenomenology of Spirit.,N/A,N/A,en
Thus Spake Zarathustra,['Friedrich Wilhelm Nietzsche'],1974,['Philosophy'],"This 19th-century literary and philosophical masterpiece introduces the controversial doctrine of the Ü bermensch, or ""superman,"" a term later perverted by Nazi propagandists. A provocative work, designed to inspire readers.",N/A,N/A,en
"Genesis and Structure of Hegel's ""Phenomenology of Spirit""",['Jean Hyppolite'],1974,['Medical'],"Jean Hyppolite produced the first French translation of Hegel's Phenomenology of Spirit. His major works—the translation, his commentary, and Logique et existence (1953)—coincided with an upsurge of interest in Hegel following World War II. Yet Hyppolite's influence was as much due to his role as a teacher as it was to his translation or commentary: Foucault and Deleuze were introduced to Hegel in Hyppolite's classes, and Derrida studied under him. More than fifty years after its original publication, Hyppolite's analysis of Hegel continues to offer fresh insights to the reader.",N/A,N/A,en
Spirit and Reality,['Nikolaĭ Berdi︠a︡ev'],1939,['Civilization'],N/A,N/A,N/A,en
The Phenomenology of Spirit,['G. W. F. Hegel'],2019-11-30,['Philosophy'],"p”The Phenomenology of Spirit, first published in 1807, is G. W. F. Hegel's remarkable philosophical text that examines the dynamics of human experience from its simplest beginnings in consciousness through its development into ever more complex and self-conscious forms. The work explores the inner discovery of reason and its progressive expansion into spirit, a world of intercommunicating and interacting minds reconceiving and re-creating themselves and their reality. The Phenomenology of Spirit is a notoriously challenging and arduous text that students and scholars have been studying ever since its publication. In this long-awaited translation, Peter Fuss and John Dobbins provide a succinct, highly informative, and readily comprehensible introduction to several key concepts in Hegel's thinking. This edition includes an extensive conceptual index, which offers easy reference to specific discussions in the text and elucidates the more subtle nuances of Hegel's concepts and word usage. This modern American English translation employs natural idioms that accurately convey what Hegel means. Throughout the book, the translators adhered to the maxim: if you want to understand Hegel, read him in the English. This book is intended for intellectuals with a vested interest in modern philosophy and history, as well as students of all levels, seeking to access or further engage with this seminal text.",N/A,N/A,en
Phaenomenologie Des Geistes,['Georg Wilhelm Friedrich Hegel'],2006-09-01,['Philosophy'],N/A,N/A,N/A,de
Hegel,['Georg Wilhelm Friedrich Hegel'],2018,['Philosophy'],"Hegel's Phenomenology of Spirit is one of the great works of philosophy. It remains, however, one of the most challenging and mysterious books ever written. Michael Inwood presents this work in an intelligible and accurate new translation, alongside a detailed commentary that explains Hegel's arguments and the philosophical issues they raise",N/A,N/A,en
The Theory of Mind as Pure Act,['Giovanni Gentile'],1922,['Philosophy'],N/A,N/A,N/A,en
"The Unity of Hegel's ""Phenomenology of Spirit""",['Jon Stewart'],2011-08-31,['Philosophy'],"By examining at the microlevel the particulars of each dialectical movement, and by analyzing at the macrolevel the role of the argument in question in the context of the work as a whole, Stewart provides a detailed analysis of the Phenomenology and a significant scholarly demonstration of Hegel's own conception of the Phenomenology as a part of a systematic philosophy.",N/A,N/A,en
The Phenomenology of Mind (Spirit),['Georg Hegel'],2017-09-28,[],"In The Phenomenology of Mind, idealist philosopher Georg Hegel defied the traditional epistemological distinction of objective from subjective and developed his own dialectical alternative. Remarkable for the breadth and profundity of its philosophical insights, this work combines psychology, logic, moral philosophy, and history to form a comprehensive view that encompasses all forms of civilization. Its three divisions consist of the subjective mind, the objective mind, and the absolute mind, covering fine arts, religion, and philosophy.",N/A,N/A,en
The Phenomenology of Spirit (the Phenomenology of Mind),['Georg Hegel'],2016-07-06,[],"This edition of Hegel's landmark work of philosophy contains the authoritative and respected translation of J.B. Baillie. The Phenomenology of Spirit, also known as The Phenomenology of Mind, contains methodical discussions of Hegelian examination of mind and mental functioning. In Hegelianist philosophy, the notion of the spirit or mind commences with a consideration of the subjective (i.e. individual) mind. After some contemplation however, it is realised that this 'individual' sort of mind is but the initial stage of the process - the so-called 'in-itself stage'. The stage which follows this is that of the objective mind - it is this type of mind that finds itself object of law, morals and government. This frames the condition of the mind when it is out-of-itself. The final stage of the Hegelianist posit upon the mind is that of the 'absolute mind'. At this point, the mind ascends above the constraints of the natural world and of mankind's institutions and laws. It is at this high stage that concepts of art, faith and philosophy have been birthed. The concept of free thinking is here encountered: that the mind may only be truly free and capable of itself when having separated from the worldly restrictions of everyday life - this 'otherness' is but binding upon the mind's true capacities and power. This inexpensive yet high quality paperback edition of The Phenomenology of Spirit is designed to assist students, scholars and enthusiasts who wish to gain insight into Hegel and his philosophy at little expense.",N/A,N/A,en
The Phenomenology of Spirit (The Phenomenology of Mind) (Hardcover),"['Georg W. F. Hegel', 'J. B. Baillie']",2018-05-04,['Education'],"This hardcover edition of Hegel's landmark work of philosophy contains the authoritative and respected translation of J.B. Baillie. The Phenomenology of Spirit, also known as The Phenomenology of Mind, contains methodical discussions of Hegelian examination of mind and mental functioning. In Hegelianist philosophy, the notion of the spirit or mind commences with a consideration of the subjective (i.e. individual) mind. After some contemplation however, it is realised that this 'individual' sort of mind is but the initial stage of the process - the so-called 'in-itself stage'. The stage which follows this is that of the objective mind - it is this type of mind that finds itself object of law, morals and government. This frames the condition of the mind when it is out-of-itself. The final stage of the Hegelianist posit upon the mind is that of the 'absolute mind'. At this point, the mind ascends above the constraints of the natural world and of mankind's institutions and laws.",N/A,N/A,en
A Brief History of Everything,['Ken Wilber'],2007,"['Body, Mind & Spirit']","Told in an accessible and entertaining question-and-answer format, this account examines the course of evolution as the unfolding manifestation of Spirit, from matter to life to mind, including the higher stages of spiritual development where Spirit becomes conscious of itself.",4.5,N/A,en
Phänomenologie Des Geistes,['Georg Wilhelm Friedrich Hegel'],1980,['Conscience'],N/A,N/A,N/A,en
Hegel and the Other,['Philip J. Kain'],2005-07-05,['Philosophy'],"A new, highly accessible commentary on Hegel's Phenomenology of Spirit.",N/A,N/A,en
St. Paul's Use of the Terms Flesh and Spirit,['William Purdie Dickson'],1883,['Flesh (Theology)'],N/A,N/A,N/A,en
Our Human Spirit,['Witness Lee'],1984,['Religion'],N/A,N/A,N/A,en
Spirit,['Georg Wilhelm Friedrich Hegel'],2001-01-01,['Philosophy'],"This new annotated translation of Chapter Six of Hegel's Phenomenology of Spirit, the joint product of a group of scholars that included H. S. Harris, George di Giovanni, John W. Burbidge, and Kenneth Schmitz, represents an advance in accuracy and fluency on previous translations into English of this core chapter of the Phenomenology. Its notes and commentary offer both novice and scholar more guidance to this text than is available in any other translation, and it is thus well suited for use in survey courses.",N/A,N/A,en
Berkeley's Philosophy of Spirit,['Talia Mae Bettcher'],2007-06-23,['Philosophy'],"Provides a new interpretation of Berkeley's conception of 'spirit' and its link with self-consciousness, as a way into his immaterialist metaphysics. Along the way, it sheds new light on Descartes's cogito and Hume's 'bundle' theory of the self.",N/A,N/A,en
Hegel's Phenomenology of Spirit,['Ludwig Siep'],2014-01-16,['History'],This subtle and elegantly argued assessment of Hegel's Phenomenology of Spirit is an important work of scholarship not previously published in English.,N/A,N/A,en
