title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Tao Te Ching,"['Laozi', 'Gia-fu Feng']",1972,['Fiction'],Provides one of the major underlying influences in Chinese thought and culture - Taoism is concerned with a more spiritual level of being.,N/A,N/A,en
"The Road Less Traveled, 25th Anniversary Edition",['M. Scott Peck'],2002-10,['Family & Relationships'],"A psychiatrist suggests ways in which confronting and resolving problems, a painful process most people try to avoid, can lead to greater self-understanding and spiritual growth.",4.5,N/A,en
After Heaven,['Robert Wuthnow'],1998,['Religion'],A consideration of the evolution of American spirituality over the past fifty years.,N/A,N/A,en
My Big TOE Awakening Discovery Inner Workings,['Thomas Campbell'],2023-08-29,['Philosophy'],"Section 1 provides a biography of the author pertinent to the creation of this trilogy. This look at the author's unique experience sheds light upon the origins of this work. Section 2 logically justifies the basic conceptual building blocks needed to construct My Big TOE's foundation. It discusses the cultural beliefs that trap our thinking into a narrow and limited conceptualization of reality, defines the fundamentals of Big Pictureepistemology and ontology, and examines the inner-workings and practice of meditation. It defines and develops the two basic assumptions upon which this trilogy is based. From these two assumptions, time, space, consciousness, and the basic properties, purpose, and mechanics of our reality are logically inferred.Section 3 develops the interface and interaction between ""we the people""and our digital consciousness reality. It derives and explains the characteristics,origins, dynamics, and function of ego, love, free will, and our larger purpose. It develops the psi uncertainty principle as it explains and interrelates psi phenomena, free will, love, consciousness evolution, physics, reality, human purpose, digital computation, and entropy.Section 4 describes a model of consciousness that develops the results of Section 3 and supports the conclusions of Section 5. The origins and nature of digital consciousness are described along with how artificial intelligence (AI) leads to artificial consciousness, which leads to actual consciousness and to us. It derives our physical universe, our science, and our perception of a physical reality. The physical reality is directly derived from the nature of digital consciousness.Section 5 pulls together Sections 2, 3, and 4 into a model of reality that describes how an apparent nonphysical reality works, interacts, and interrelates with our experience of physical reality. Probable realities, predicting and modifying the future, teleportation, telepathy, multiple physical and nonphysical bodies, and the fractal nature of an evolving digital consciousness reality are explained and described in detail.Section 6 is the wrap-up that puts everything into a personal perspective. It points out My Big TOE's relationship with contemporary science and philosophy. It solidly integrates My Big TOE into traditional Western scientific and philosophical thought.",4.5,N/A,en
Waking Up,['Sam Harris'],2015-06-16,"['Body, Mind & Spirit']","Spirituality.The search for happiness --Religion, East and West --Mindfulness --The truth of suffering --Enlightenment --The mystery of consciousness.The mind divided --Structure and function --Are our minds already split? --Conscious and unconscious processing in the brain --Consciousness is what matters --The riddle of the self.What are we calling ""I""? --Consciousness without self --Lost in thought --The challenge of studying the self --Penetrating the illusion --Meditation.Gradual versus sudden realization --Dzogchen: taking the goal as the path --Having no head --The paradox of acceptance --Gurus, death, drugs, and other puzzles.Mind on the brink of death --The spiritual uses of pharmacology.",N/A,N/A,en
The Wisdom of the Enneagram,"['Don Richard Riso', 'Russ Hudson']",1999-06-15,"['Body, Mind & Spirit']","Provides insight for determining personality types, from recognizing each type's wake-up call and red flag to letting go of self-defeating habits and reactions.",N/A,N/A,en
Restless Souls,['Leigh Eric Schmidt'],2012-09-05,['History'],"Yoga classes and Zen meditation, New-Age retreats and nature mysticism—all are part of an ongoing religious experimentation that has surprisingly deep roots in American history. Tracing out the country’s Transcendentalist and cosmopolitan religious impulses over the last two centuries, Restless Souls explores America’s abiding romance with spirituality as religion’s better half. Now in its second edition, including a new preface, Leigh Eric Schmidt's fascinating book provides a rich account of how this open-road spirituality developed in American culture in the first place as well as a sweeping survey of the liberal religious movements that touted it and ensured its continued vitality.",N/A,N/A,en
Love Does,['Bob Goff'],2012,['Religion'],"In this book of compelling stories coupled with eye-opening truths, Goff shows a new way to live, a way that's drenched with the whimsy of God's love and the spontaneity of following where he leads.",5,N/A,en
The Mystique of Enlightenment,['U. G. Krishnamurti'],2002-04,"['Body, Mind & Spirit']",A scathing critique of contemporary spirituality by one its most unusual figures.,4,N/A,en
Jonathan Livingston Seagull,['Richard Bach'],1970,['Fiction'],Allegory about a sea gull who seeks to attain perfect flight. Copyright © Libri GmbH. All rights reserved.,4.5,N/A,en
Mother Teresa: Come be My Light,['Mother Teresa'],2007,['Religion'],"Capturing the inner spiritual life of one of the twentieth century's most beloved religious figures, the private writings, reflections, and letters of Mother Teresa chronicle her spiritual journey, her dedication to charity, the trial of faith that tested and shaped her beliefs, and her contributions to the sick, the dying, and the forgotten. 60,000 first printing.",5,N/A,en
The New Game of Life and How to Play It,['Florence Scovel Shinn'],2012-09-04,['Business & Economics'],Presents a modern interpretation of Florence Scovel Shinn's text on prosperity and fulfillment.,N/A,N/A,en
A Course in Miracles OE - Complete,['William Thetford; Helen Schucman'],2023-12-26,[],N/A,N/A,N/A,en
Zalmoxis,['Lucian Blaga'],2001,['Drama'],Zalmoxis is Lucian Blaga's first play and one of his most important literary works. It underlines much of his philosophy and also reflects his poetry.,N/A,N/A,en
Mother Teresa,['Mother Teresa'],1997,['Biography & Autobiography'],"Experience the same Spirit-filled words that Mother Theresa shared with the poor, the dying, the hurting, and the skeptical. The quotes, stories, and prayers in this book are hers. Mother Teresa's work for -- and among -- the poor has become the yardstick by which millions measure compassion and generosity across religious and political divides. While Mother Theresa herself always stressed action over words, it is the latter that have provided solace and hope to those who never had the opportunity to meet her during her life. Though the world has lost one of its most admired women, Mother Theresa's words and her memory still serve to move men and women from every race and religious background to volunteer to help the poor. -- From publisher's description.",3,N/A,en
The Lost Father,['Arne Garborg'],1920,['Spirituality'],N/A,N/A,N/A,en
Game of Life and How to Play It,['Florence Scovel Shinn'],2020-08-12,['Business & Economics'],"Transform life's losing battles into a winning game with this classic guide. Biblical examples and real-life success stories illustrate brief, concise instructions for maintaining a positive attitude.",N/A,N/A,en
The Delights of Wisdom Concerning Conjugial Love,['Emanuel Swedenborg'],1796,['Adultery'],N/A,N/A,N/A,en
The Prophet,['Khalil Gibran'],2020-09-28,['Fiction'],"This book is set by hand in Garamond, a modern rendering by the American Type Founders Company of the type cut by Claude Garamond in the sixteenth century.",N/A,N/A,en
The Ultimate Guide to Tarot,['Liz Dean'],2015-05-15,"['Body, Mind & Spirit']","Discover the facts, myth, history, and mystery of the spiritual art of Tarot-reading. Whether you want to learn to read the cards or deepen your Tarot interpretation skills,The Ultimate Guide to Tarot honors the deep heritage of Tarot, while guiding you through practical techniques. Tarot expert Liz Dean offers an overview to all of the important elements of each card from symbols, to links with astrology, kabbala and numerology. The Ultimate Guide to Tarot also includes all the classic tarot spreads â€“ Celtic Cross, Horseshoe, Star and Astrological Year Ahead â€“ plus, a mini-layout to try for each of the 22 major cards. Learn how to combine the three essential ingredients of a great tarot reading: knowing the meaning of the cards, how to lay them out, and trusting the intuitive messages the images often spark within us during a reading. This synthesis is the true magic of tarot. With the authority and confidence this book offers, The Ultimate Guide to Tarot will be the must-have companion for beginner readers and tarot aficionados alike.",5,N/A,en
