title,authors,publishedDate,categories,description,averageRating,textSnippet,language
From the Industrial Revolution to World War II in East Central Europe,"['Marija Wakounig', 'Karlo Ruzicic-Kessler']",2011,['History'],"The Centers for Austrian Studies - founded by the Austrian Federal Ministry for Science and Research - play an important role for the international scientific community. Their tasks are to promote studies on Austria and Central Europe, and to give Austrian students the opportunity to conduct research abroad and make contact with local scientific communities. This book contains reports on the activities of these institutions during the 2010/2011 academic year, as well as the working papers developed by some of their most promising PhD students. The research presented in this book covers various aspects of Central European history in modern times, ranging from the 17th century to the present. (Series: Europa Orientalis - Vol. 12)",N/A,N/A,en
How to Study,"['Ron Fry', 'Ronald W. Fry']",2016,['REFERENCE'],"Giving hints, advice and techniques for taking notes - in lectures, from textbooks and even when on-line - Fry also shows how to organise study time to get the best results in the shortest amount of time.",N/A,N/A,en
The Teaching of Handwriting,['John Jackson'],1895,['Penmanship'],N/A,N/A,N/A,en
The Fundamental Principles of Learning and Study,['Austin Southwick Edwards'],1925,['Educational psychology'],N/A,N/A,N/A,en
College Study & College Life,['Bernard Capen Ewer'],1917,['College students'],N/A,N/A,N/A,en
A Manual on how to Study,"['Phi Gamma Delta', 'Riverda Harding Jordan']",1928,['Study'],N/A,N/A,N/A,en
A Student's Guide to Intellectual Work,['Jean Guitton'],1964,['Education'],"""Rival auto manufacturers boast of the low fuel- consumption records racked up by their machines. In its aim, Jean Guitton's work corresponds to that of the auto manufacturers: he, too, is concerned with ""economy,"" but in his case it is that intellectual economy achievable through streamlined methods of thinking, reading, and writing. At one time or other, all people engaged in intellectual pursuits are confronted by the proper way to do a thing. Students especially, who have not yet learned their own capacities, are easily baffled and frustrated when a teacher asks them to re-do a paper, for example. ""How"" is the question. And even seasoned thinkers often discover that the process of working which they have evolved from trial and error does hot meet every new need. It is this gap in understanding how to think, how to study, how to write, etc., that the present work strives to fill. M. Guitton writes in a refreshing, informal style that cloaks (but does not hide) the insights with which a lifetime of teaching, acute powers of observation, and a profound sympathy for the problems of students have armed him.""--Back cover",N/A,N/A,en
Orientation in Engineering,['Murray I. Mantell'],1955,['Engineering'],N/A,N/A,N/A,en
Teach Yourself to Study,['George Gibson Neill Wright'],1945,['Study'],N/A,N/A,N/A,en
Guided Study and Homework,['Ruth May Strang'],1955,['Homework'],N/A,N/A,N/A,en
How We Learn,['Walter B. Pitkin'],1931,['Attention'],N/A,N/A,N/A,en
Reading and Study Aids,['Herbert Moore'],1935,['Eye'],N/A,N/A,N/A,en
The how to Go to College Book,['Michael J. Gross'],1979,['College student orientation'],N/A,N/A,N/A,en
William Fawcett Hill's Learning Through Discussion,['Jerome Rabow'],1994,['Discussion'],Critical thinking skills,N/A,N/A,en
How to Study-and Like it ...,"['Francis Fountain Powers', 'John Edward Corbally']",1938,['Study'],N/A,N/A,N/A,en
Study Successfully: 18 Keys to Better Work,['Norris Ely Orchard'],1953,['Study'],N/A,N/A,N/A,en
School and Life,"['Margaret Elaine Bennett', 'Harold Curtis Hand']",1938,['Conduct of life'],N/A,N/A,N/A,en
Student Reactions to Study Facilities,"['Committee for New College', 'Stuart M. Stoke']",1960,['College buildings'],N/A,N/A,N/A,en
Gramática del italiano,['Giovanni Da Milano'],2018-10,['Language Arts & Disciplines'],"Para el correcto conocimiento y aprendizaje de una lengua es imprescindible conocer a fondo la gramática. El manual que tiene entre sus manos pone a su alcance la adquisición de estos conocimientos de una forma fácil: la teoría está perfectamente sintetizada y explicada de forma clara y sencilla; los ejemplos le ayudarán a comprender perfectamente lo explicado; los ejercicios le permitirán afianzar lo aprendido, y podrá verificar fácilmente los resultados con las soluciones que se facilitan al final del libro. Una guía práctica completísima tanto para aquellos que quieren iniciarse en el estudio de la lengua francesa como para quienes desean mejorar su nivel de conocimientos.",N/A,N/A,es
Le travail intellectuel,['Jean Guitton'],1951,['French language'],N/A,N/A,N/A,fr
Die Sprache des Kindes,['Arthur Wreschner'],1912,['Child psychology'],N/A,N/A,N/A,de
Buch der Kindheit,['Bogumil Goltz'],1964,['Child psychology'],N/A,N/A,N/A,de
