title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Robinson Crusoë,"['Daniel Defoe', ""A. J. van 't Hoff"", 'Hans Werner']",1981,[],N/A,N/A,N/A,nl
"The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner",['Daniel Defoe'],1999,['Fiction'],"Robinson Crusoe (1719) is one of the most famous adventure stories ever written. The account of a sailor shipwrecked on a desert island for twenty-eight years, it is also a tale of mythic proportions, an allegory, and a spiritual autobiography.",N/A,N/A,en
The Satanic Verses,['Salman Rushdie'],2000-12,['Fiction'],"Just before dawn one winter's morning, a hijacked jetliner explodes above the English Channel. Through the falling debris, two figures, Gibreel Farishta, the biggest star in India, and Saladin Chamcha, an expatriate returning from his first visit to Bombay in fifteen years, plummet from the sky, washing up on the snow-covered sands of an English beach, and proceed through a series of metamorphoses, dreams, and revelations.",3.5,N/A,en
The Comedy of Errors,['William Shakespeare'],2004-02-26,['Drama'],"The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems. Introductions are regularly refreshed with accounts of new critical, stage and screen interpretations. For this second edition of The Comedy of Errors, Ros King has revised T. S. Dorsch's renowned text and commentary and written a completely new introduction to the work. She argues that the play cannot be regarded merely as a farcical romp based on a classical model but that it belongs to the critically misunderstood genre of tragi-comedy. Emphasising the seriousness that underlies the text, she pays special attention to the play's religious imagery and at the same time engages fully with its lightness of touch and its continuing popularity in the theatre. The volume also features accounts of recent and historical performances, and an updated reading list.",N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],2015-02-03,['Fiction'],"In 1659, after becoming the sole survivor of a shipwreck, Englishman Robinson Crusoe lives on a deserted island for more than twenty-eight years.",N/A,N/A,en
The Tempest,['William Shakespeare'],1998,['Drama'],"Each edition includes: - Freshly edited text based on the best early printed version of the play - Full explanatory notes conveniently placed on pages facing the text of the play - Scene-by-scene plot summaries - A key to famous lines and phrases - An introduction to reading Shakespeare's language - An essay by an outstanding scholar providing a modern perspective on the play - Illustrations from the Folger Shakespeare Library's vast holdings of rare books Essay by Barbara A. Mowat The Folger Shakespeare Library in Washington, D.C., is home to the world's largest collection of Shakespeare's printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit www.folger.edu.",4.5,N/A,en
Robinson Crusoé,['Daniel Defoe'],1905,['Castaways'],N/A,N/A,N/A,ro
Unwind,['Neal Shusterman'],2009-06-02,['Juvenile Fiction'],Three teens embark upon a cross-country journey in order to escape from a society that salvages body parts from children ages thirteen to eighteen.,4.5,N/A,en
Robinson Crusoe,['Daniel Defoe'],1868,['Castaways'],N/A,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1844,['Castaways'],N/A,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1867,['Fiction'],I had two elder brothers one of which was lieutenant-colonel to an English regiment of foot in Flanders formerly commanded by the famous Colonel Lockhart and was killed at the battle near Dunkirk against the Spaniards. What became of my second brother I never knew any more than my father or mother did know what was become of me.,N/A,N/A,en
Robinson Crusoe,['Lucy Aikin'],1899,"['Adventure stories, English']",N/A,N/A,N/A,en
"The Life and Adventures of Robinson Crusoe, with a Biographical Account of Defoe, Illustrated with Sixteen Characteristic Engravings",['Daniel Defoe'],1871,['Adventure and adventurers'],N/A,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1860,['Castaways'],N/A,N/A,N/A,en
Twelfth Night,['William Shakespeare'],2004-02-19,['Drama'],"For this updated edition of Twelfth Night, Penny Gay has written a wholly new Introduction to this well-loved Shakespearean comedy. She stresses the play's theatricality, its elaborate linguistic games and it complex use of Ovidian myths. She analyses the play's delicate balance between romance and realism and its exploration of gender, sexuality and identity. In examing the stage history, Professor Gay suggests that contemporary critical theory could have much to offer 21st century directors and actors.",N/A,N/A,en
"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",['Daniel Defoe'],1883,['Castaways'],N/A,N/A,N/A,en
"The Life and Surprising Adventures of Robinson Crusoe of York, Mariner",['Daniel Defoe'],1883,['Castaways'],N/A,N/A,N/A,en
"Robinson Crusoe, his life and adventures",['Daniel Defoe'],1887,['Castaways'],N/A,N/A,N/A,en
"The Life and Adventures of Robinson Crusoe of York, Mariner",['Daniel Defoe'],1845,['Castaways'],N/A,N/A,N/A,en
The Life and Strange Surprizing Adventures of Robinson Crusoe,['Daniel Defoe'],1790,['Shipwreck survival'],N/A,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1839,['Castaways'],N/A,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1810,['Castaways'],N/A,N/A,N/A,en
The Adventures of Robinson Crusoe,['Daniel Defoe'],1862,['Castaways'],N/A,N/A,N/A,en
Twelfth Night,['William Shakespeare'],2005-08,['Drama'],"Each edition includes: Freshly edited text based on the best early printed version of the play Full explanatory notes conveniently placed on pages facing the text of the play Scene-by-scene plot summaries A key to famous lines and phrases An introduction to reading Shakespeare's language An essay by a leading Shakespeare scholar providing a modern perspective on the play Illustrations from the Folger Shakespeare Library's vast holdings of rare books Essay by Catherine Belsey The Folger Shakespeare Library in Washington, D.C., is home to theworld's largest collection of Shakespeare's printed works, and a magnet forShakespeare scholars from around the globe. In addition to exhibitions open tothe public throughout the year, the Folger offers a full calendar of performancesand programs. For more information, visit www.folger.edu.",N/A,N/A,en
