title,authors,publishedDate,categories,description,averageRating,textSnippet
The Strange Case of Dr. Jekyll and Mr. Hyde,['Robert Louis Stevenson'],1995,['Fiction'],A kind and well-respected doctor can turn himself into a murderous madman by taking a secret drug he's created.,N/A,N/A
The Loch,['Steve Alten'],2006,['Fiction'],"To prove the innocence of his estranged father, marine biologist Zachary Wallace must confront his childhood nightmare of nearly drowning in Loch Ness after a near-death experience causes the long forgotten memory to resurface.",N/A,N/A
The Last Oracle,['James Rollins'],2008-06-24,['Fiction'],"What if you could bioengineer the next great world prophet: scientifically produce the next Buddha, the next Muhammad, or the next Jesus? Would it mark the Second Coming or initiate a chain reaction with disastrous consequences? A master at combining historical and religious intrigue with edge-of-your-seat adventure, New York Times bestselling author James Rollins brings back SIGMA Force to battle a group of rogue scientists who've unleashed a bioengineering project that could bring about the extinction of humankind. In Washington, D.C., a homeless man dies in Commander Gray Pierce's arms, shot by an assassin's bullet. But the death leaves behind a greater mystery: a bloody coin found clutched in the dead man's hand, an ancient relic that can be traced back to the Greek Oracle of Delphi. As ruthless hunters search for the stolen artifact, Gray Pierce discovers that the coin is the key to unlocking a plot that dates back to the Cold War and threatens the very foundation of humanity. An international think tank of scientists known as the Jasons has discovered a way to bioengineer autistic children who show savant talents—mathematical geniuses, statistical masterminds, brilliant conceptual artists—into something far greater and far more frightening, in hopes of creating a world prophet for the new millennium, one to be manipulated to create a new era of global peace . . . a peace on their own terms. Halfway around the world, a man wakes up in a hospital bed with no memory of who he is, knowing only that he's a prisoner in a subterranean research facility. With the help of three unusual children, he makes his escape across a mountainous and radioactive countryside, pursued by savage hunters bred in the same laboratory. But his goal is not escape, nor even survival. In order to thwart a plot to wipe out a quarter of the world's population, he must sacrifice all, even the children who rescued him. From ancient Greek temples to glittering mausoleums, from the slums of India to the toxic ruins of Russia, two men must race against time to solve a mystery that dates back to the first famous oracle of history—the Greek Oracle of Delphi. But one question remains: Will the past be enough to save the future?",N/A,N/A
Brother Odd,['Dean Koontz'],2007-10-30,['Fiction'],"Leaving the small desert town where he has spent his life, Odd Thomas, a hero who lives between the living and the dead, seeks the solitude of an isolated monastery, but he soon finds himself confronting a killer stalking his sanctuary's halls. -- Novelist.",N/A,N/A
Shutter island,['Dennis Lehane'],2010,['Fiction'],"Verano de 1954. El agente federal Teddy Daniels llega a Shutter Island, isla en la que esta ubicado el hospital Ashecliffe, un centro penitenciario para enfermos mentales. Junto con su companero, Chuck Aule, se propone encontrar a una paciente desaparecida, una asesina llamada Rachel Solando, a medida que un huracan azota la isla. No obstante, nada es lo que parece en el hospital Ashecliffe. Y Teddy Daniels tampoco. Ha ido hasta alla para encontrar a una paciente desaparecida? O le han enviado para investigar los rumores acerca de los radicales todos psiquiatricos que se utilizan en esa institucion? Unos metodos que posiblemente incluyan la experimentacion con drogas, pruebas quirurgicas terribles, contraataques mortales en la guerra encubierta en contra de los lavados de cerebro sovieticos ... --Cover.",N/A,N/A
City of Masks,['Mary Hoffman'],2004,['Fantasy fiction'],Lucien closes his eyes in one world and opens his eyes in a another glamous and dangerous place.,5,N/A
Fever,['Robin Cook'],1983-01-03,['Fiction'],"Charles Martel is a brilliant cancer researcher who discovers that his own daughter is the victim of leukemia. The cause: a chemical plant conspiracy that not only promises to kill her, but will destroy him as a doctor and a man if he tries to fight it... Copyright © Libri GmbH. All rights reserved.",N/A,N/A
Chill Factor,['Sandra Brown'],2006-08,['Fiction'],"Magazine editor Lilly Martin, packing up the vacation cabin she and her ex-husband owned in Cleary, North Carolina, where he now works as chief of police, becomes trapped in a snowstorm with Ben Tierney, who she struck with her car while trying to drive down the mountain, and the situation becomes critical when she uncovers evidence that Tierney may be the serial killer who has been operating in the area for over two years.",N/A,N/A
The Power and the Glory,['Graham Greene'],1971,['Fiction'],"In a poor, remote section of southern Mexico, the Red Shirts have taken control, God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest strives to overcome physical and moral cowardice in order to find redemption. 240 pp.",4,N/A
The Matlock Paper,['Robert Ludlum'],1973,['Fiction'],The U.S. government calls on James Barbour Matlock to destroy a conspiracy called Nimrod.,N/A,N/A
Critical,['Robin Cook'],2007,['Fiction'],"Newly married New York City medical examiners, Laurie Montgomery and Jack Stapleton, investigate a surge of drug-resistant staph infections causing deaths in three Angels Healthcare hospitals.",4,N/A
The Honourable Schoolboy,['John Le Carré'],1978,['Fiction in English'],The betrayal of a Soviet double agent.,N/A,N/A
The Lost Symbol,['Dan Brown'],2009,['Adventure stories'],Symbologist Robert Langdon returns in this new thriller follow-up to The Da Vinci Code.,N/A,N/A
