title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Scandal of the Speaking Body,['Shoshana Felman'],2003,['Social Science'],"Imagining an encounter between Moliere's Don Juan and Austin, this bold yet subtle meditation contemplates the seductive promises of speech and of love, in a telling exchange among philosophy, linguistics, literature, and Lacanian theory.""",N/A,N/A,en
South from Hell-fer-Sartin,"['Leonard Roberts', 'Leonard W. Roberts']",1955,"['Authors, American']",N/A,N/A,N/A,en
Diary of a Pedestrian in Cashmere and Thibet,['William Henry Knight'],2009-11,['Travel'],A journal of the author's travels in Cashmere and Thibet between May and October 1860.,N/A,N/A,en
木蘭從軍,"['Hwa-I Publishing Co., Staff']",1991,['Chinese language'],N/A,N/A,N/A,en
Cossack Fairy Tales and Folk-tales,['Robert Nisbet Bain'],1894,"['Tales, Ukrainian']",N/A,N/A,N/A,en
Language Planning and the Building of a National Language,"['Bonifacio P. Sibayan', 'Andrew B. Gonzalez']",1977,"['Education, Bilingual']",N/A,N/A,N/A,en
The Meaning of Language,['Robert M. Martin'],1987-01-01,['Language Arts & Disciplines'],"Written in a straightforward and explanatory way and filled with examples, this text provides a comprehensive introduction to the field, suitable for students with no background in the philosophy of language or formal logic.",N/A,N/A,en
Zur Theorie der Sprechakte,['John Langshaw Austin'],1972,['Language and languages'],"John L. Austins 'Theorie der Sprechakte', 1955 in zwölf Harvard-Vorlesungen zusammengefaßt, gehört zu den klassischen Äußerungen der Analytischen Philosophie. Seine Methode darzulegen, daß man etwas tut, indem man etwas sagt ('How to do things with Words'), hat die philosophische wie die linguistische Diskussion in gleicher Weise befruchtet. Der Bearbeitung von Eike von Savigny liegen die englischen Ausgaben von 1962 und 1975 zugrunde.",N/A,N/A,de
Einführung in die Semantik,['Tullio De Mauro'],1982,['Foreign Language Study'],"Keine ausführliche Beschreibung für ""Einführung in die Semantik"" verfügbar.",N/A,N/A,de
Wörter machen Leute,['Wolf Schneider'],1976,['Duitse taal'],N/A,N/A,N/A,de
Peterchens Mondfahrt,['Gerdt von Bassewitz'],1987,"[""Children's literature""]",N/A,N/A,N/A,de
Tale og skrift : to kulturer,['Jan Lindhardt'],1989,['Communication'],N/A,N/A,N/A,da
Die Sprachen der Logik und die Logik der Sprache,['Max J. Cresswell'],1979,['Language Arts & Disciplines'],"Keine ausführliche Beschreibung für ""Die Sprachen der Logik und die Logik der Sprache"" verfügbar.",N/A,N/A,de
Sprachwissenschaft und Sprachphilosophie im Zeitalter der Romantik,"['Helmut Gipper', 'Peter Schmitter']",1979,['Language and languages'],N/A,N/A,N/A,de
小学生双语阅读阿里巴巴和四十大盗,['林秦我'],2004,['Fairy tales'],N/A,N/A,N/A,zh-CN
Støjfri ledelse,[],2021,[],N/A,N/A,N/A,da
Taalfilosofie,['Gabriël Nuchelmans'],1978,['Language and languages'],N/A,N/A,N/A,nl
Sprachtheorie und Theorie der Sprachwissenschaft,['Wulf Oesterreicher'],1979,['Language and languages'],N/A,N/A,N/A,de
Filosofie en taalwetenschap,['Herman Parret'],1979,['Language and languages'],N/A,N/A,N/A,nl
Samtaleanalyse,['Anne Holmen'],1994,[],N/A,N/A,N/A,da
Das Indo-Englische,['Hans Josef Vermeer'],1969,['Engelse taal in Indie'],N/A,N/A,N/A,de
Dialektik und Wissenschaftslogik,['Christoph Hubig'],1978,['Philosophy'],"Keine ausführliche Beschreibung für ""Dialektik und Wissenschaftslogik"" verfügbar.",N/A,N/A,de
Sprachskepsis über Dichtung der Moderne,['Cecil Arthur M. Noble'],1978,['Duitse letterkunde'],N/A,N/A,N/A,de
Sprachbewusstsein,['Manfred Geier'],1979,['Language and languages'],N/A,N/A,N/A,de
Trí tuệ của người xưa,"['Thu Ái Dương', 'Kim Hanh Nguyễn']",2018,['Tale'],N/A,N/A,N/A,vi
"En nou, Afrikaans?",['Hans Du Plessis'],1992,['Foreign Language Study'],"Wat word van Afrikaans in 'n nuwe Suid-Afrika? Gaan hy sy amptelike status verbeur? Het hy die vermoe om te oorleef? Dit is van die knelvrae wat Hans du Plessis, beskende skrywer en taalkundige aan die orde stel.",N/A,N/A,af
Sprache und Spracherlernung,['Volker Beeh'],1981,['Language Arts & Disciplines'],"Keine ausführliche Beschreibung für ""Sprache und Spracherlernung"" verfügbar.",N/A,N/A,de
Grundlagen der Texttheorie,['Werner Kummer'],1975,['Language and languages'],N/A,N/A,N/A,de
ʻAnusō̜n nai ngān phrarātchathān phlœ̄ng sop Nāng Čhanthanā Wīraphon,[],1989,['Buddhist eschatology'],Cremation volume for Nāng Čhanthanā Wīraphon,N/A,N/A,th
Sprachen und Dinge,['Anton Leist'],1979,['Information theory in languages'],N/A,N/A,N/A,de
Sprache und Pragmatik,['Inger Rosengren'],1979,['Language and languages'],N/A,N/A,N/A,de
北京的大街小巷,['王瑞年'],1993,['Beijing (China)'],附: 金、元和明清北京城址变迁示意图,N/A,N/A,zh-CN
Truyền thuyết dân gian người Việt,[],2009,['Folklore'],N/A,N/A,N/A,vi
Toward an Interdisciplinary Basis for the Investigation of Language,['Adelheid Simon Byrnes'],1979,['Tale'],N/A,N/A,N/A,en
Truth Conditions and Semantic Knowledge,['Nicholas Michael Asher'],1982,"['Knowledge, Theory of']",N/A,N/A,N/A,en
Scholastic Phonics Booster Books,[],1999,['English language'],N/A,N/A,N/A,en
The French Playmaster,['Kara LaBella'],2023,['Connecticut'],"General Schuyler is faced with a singular mission: to find the missing French Paymaster whose last known stop was Canton's inn, the Hosford Stand. He was carrying the Continental Army's gold up the turnpike, wages for New York's troops, but never reached his destination. Now Schuyler, aided by the young French officer Vicomte Charles Dumes, must question the Sand's landlord and guests -- the last people to see the Paymaster alive.",N/A,N/A,en
Levels in Speech Communication,['Christel Sorin'],1995-01-01,['Social Science'],"This volume celebrates Max Wajskop's vision of the multi-faceted nature of speech communication. The papers, individually and collectively a manifestation of the interdisciplinary study approach advocated by Max Wajskop, consider his inspiring attempts to integrate traditional and modern tools of analysis. They further his belief that a cross-fertilization of ideas from the largely isolationist domains of linguistics, psychology, communication engineering and language teaching, afford a discovery of many common principles in the overall pursuit of an understanding of the basic structure and behaviour of speech. synthesis as well as automatic speech recognition and phonetic and phonological modelling. The methodological approaches applied - mathematical, psychological, statistical and philological - cover every aspect of the speech chain: the glottis, vocal tract, speech wave (time and frequency), ear and brain. Furthermore, all the primary levels of language are represented: syntax, lexicon, phonology and phonetics.",N/A,N/A,en
Anna Lee,['Timothy Shay Arthur'],1901,['Tale'],N/A,N/A,N/A,en
Metaphors of Communication and the Nature of Reading/listening Comprehension,['John Oakeshott-Taylor'],1985,['Begrip'],N/A,N/A,N/A,en
