title,authors,publishedDate,categories,description,averageRating,textSnippet
Biographical Dictionary of the History of Technology,"['Lance Day', 'Ian McNeil']",1998,['History'],"From ancient times to the present day, the major inventors, discoverers and entrepreneurs from around the world are profiled, and their contribution to society is explained and assessed.",N/A,N/A
Science for All Americans,"['Floyd James Rutherford', 'Andrew Ahlgren']",1990,['Language Arts & Disciplines'],"In order to compete in the modern world, any society today must rank education in science, mathematics, and technology as one of its highest priorities. It's a sad but true fact, however, that most Americans are not scientifically literate. International studies of educational performance reveal that U.S. students consistently rank near the bottom in science and mathematics. The latest study of the National Assessment of Educational Progress has found that despite some small gains recently, the average performance of seventeen-year-olds in 1986 remained substantially lower than it had been in 1969. As the world approaches the twenty-first century, American schools--when it comes to the advancement of scientific knowledge--seem to be stuck in the Victorian age.In Science for All Americans, F. James Rutherford and Andrew Ahlgren brilliantly tackle this devastating problem. Based on Project 2061, a scientific literacy initiative sponsored by the American Association for the Advancement of Science, this wide-ranging, important volume explores what constitutes scientific literacy in a modern society; the knowledge, skills, and attitudes all students should acquire from their total school experience from kindergarten through high school; and what steps this country must take to begin reforming its system of education in science, mathematics, and technology.Science for All Americans describes the scientifically literate person as one who knows that science, mathematics, and technology are interdependent enterprises with strengths and limitations; who understands key concepts and principles of science; who recognizes both the diversity and unity of the natural world; and who uses scientific knowledge and scientific ways of thinking for personal and social purposes. Its recommendations for educational reform downplay traditional subject categories and instead highlight the connections between them. It also emphasizes ideas and thinking skills over the memorization of specialized vocabulary. For instance, basic scientific literacy means knowing that the chief function of living cells is assembling protein molecules according to the instructions coded in DNA molecules, but does not mean necessarily knowing the terms ""ribosome"" or ""deoxyribonucleic acid.""Science, mathematics, and technology will be at the center of the radical changes in the nature of human existence that will occur during the next life span; therefore, preparing today's children for tomorrow's world must entail a solid education in these areas. Science for All Americans will help pave the way for the necessary reforms in America's schools.",N/A,N/A
Natural-born Cyborgs,['Andy Clark'],2003,['Computers'],About the effects of modern technology on human intelligence.,N/A,N/A
The Evolution of Useful Things,['Henry Petroski'],1992,['Science'],"In his first book since The Pencil, Petroski looks with affection and awe at how everyday artifacts--from forks and pins to paper clips and zippers--came to be as they are. A mind-opening experience that is fun to read.",N/A,N/A
Lifelong Kindergarten,['Mitchel Resnick'],2017-08-25,['Computers'],Creative learning -- Projects -- Passion -- Peers -- Play -- Creative society,N/A,N/A
The Economics of Science and Technology,"['M.P. Feldman', 'Albert N. Link', 'Donald S. Siegel']",2002-05-31,['Business & Economics'],"Much of this literature is new, so the time is ripe for a synthesis and critique of existing studies."" ""The book offers an overview presented from an applied perspective, stressing historical and institutional factors. This book will be particularly useful to students interested in pursuing research on these topics and to policy makers who want a user-friendly summary of recent studies on the economic implications of technology policy.""--BOOK JACKET.",N/A,N/A
The Human Condition,['Hannah Arendt'],1958,['Economics'],N/A,N/A,N/A
Origin of Elements in the Solar System,['Oliver Manuel'],2000,['Science'],"Based on an American Chemical Society Symposium organized by Professors Glenn Seaborg and Oliver Manuel, this volume provides a comprehensive record of different views on this important subject at the end of the 20th century. They have assembled a blend of highly respected experimentalists and theorists from astronomy, geology, meteoritics, planetology and nuclear chemistry and physics to discuss the origin of elements in the solar system. The intent was to include all points of view and let history judge their validity.",N/A,N/A
Ullmann's Encyclopedia of Industrial Chemistry,['Fritz Ullmann'],1992,['Chemistry'],N/A,N/A,N/A
Ullmann's Encyclopedia of Industrial Chemistry,['Fritz Ullmann'],1991,['Science'],N/A,N/A,N/A
Critical Theory of Technology,['Andrew Feenberg'],1991,['Language Arts & Disciplines'],"This pathbreaking book argues that the roots of the degradation of labor, education, and the environment lie not in technology per se but in the cultural values embodied in its design.",N/A,N/A
The Machine in the Garden,['Leo Marx'],2000,['History'],"By examining the difference between pastoral and progressive ideals that characterised early 20th century American culture, the author shows how American thinkers have considered the relationship between technology and culture in their writings.",N/A,N/A
The Closing Circle,['Barry Commoner'],1971,['Nature'],"Author makes an important statement on the nature, the cause, and the possible solution of the impending environmental disaster which man has created with his own technology.",N/A,N/A
Splintering Urbanism,"['Stephen Graham', 'Simon Marvin']",2001,['Business & Economics'],"This text offers an international and interdisciplinary analysis of the complex interactions between infrastructure networks and urban spaces. Drawing on case studies and examples from across the globe, it offers a statement on the urban condition.",5,N/A
"Men, Machines, and Sacred Cows","['Prince Philip (consort of Elizabeth II, Queen of Great Britain)']",1984,['Reference'],N/A,N/A,N/A
Technology in Comecon,['Jozef Wilczynski'],1974,['Political Science'],N/A,N/A,N/A
A Dictionary of General Knowledge,['George Crabb'],1830,"[""Children's encyclopedias and dictionaries""]",N/A,N/A,N/A
The Unabomber Manifesto,['Theodore John Kaczynski'],2023,['Radicalism'],N/A,N/A,N/A
Medieval Religion and Technology,['Lynn White'],2024-07-26,['History'],"This collection of nineteen essays, their previous publication dates scattered over a long career, is designed to indicate the velocity and variety of the inventiveness visible in medieval engineering and also to explore the relation of technology to the values of western medieval culture. During the Middle Ages, values and the motivations springing from them—even those underlying many activities that to us today seem purely secular—were often expressed in religious presuppositions. Hence this book's title. The conceptual unity of the collection is brought forth in the author's Introduction, ""The Study of Medieval Technology, 1924–1974: Personal Reflections."" This title is part of UC Press's Voices Revived program, which commemorates University of California Press’s mission to seek out and cultivate the brightest minds and give them voice, reach, and impact. Drawing on a backlist dating to 1893, Voices Revived makes high-quality, peer-reviewed scholarship accessible once again using print-on-demand technology. This title was originally published in 1978 and reissued as a paperback in 1986.",N/A,N/A
NASA Technical Translation,[],1959,['Aeronautics'],N/A,N/A,N/A
Technocracy and the American Dream,['William E. Akin'],1977,['Technology & Engineering'],"This study focuses on the genesis and development of the Technocrats' philosophy, and describes the movement's initial popularity in 1932 abd 1933, and its rapid decline as a result of the Technocrats' failure to develop a political philosophy which could reconcile their technological aristocracy with democracy.",N/A,N/A
Engineering and the Liberal Arts,['Samuel C. Florman'],1968,['Education'],N/A,N/A,N/A
The Electronics Revolution,['J.B. Williams'],2017-05-25,['Technology & Engineering'],"This book is about how electronics, computing, and telecommunications have profoundly changed our lives – the way we work, live, and play. It covers a myriad of topics from the invention of the fundamental devices, and integrated circuits, through radio and television, to computers, mobile telephones and GPS. Today our lives are ruled by electronics as they control the home and computers dominate the workspace. We walk around with mobile phones and communicate by email. Electronics didn’t exist until into the twentieth century. The industrial revolution is the term usually applied to the coming of steam, railways and the factory system. In the twentieth century, it is electronics that has changed the way we gather our information, entertain ourselves, communicate and work. This book demonstrates that this is, in fact, another revolution.",N/A,N/A
The Instinct of Workmanship,['Thorstein Veblen'],1922,['Industrial arts'],N/A,N/A,N/A
Selected Works of Professor Herbert Kroemer,['C. K. Maiti'],2008,['Technology & Engineering'],"Information technology has changed our society radically. Just as the integrated circuits have been the prime mover for electronics, high-speed transistors and semiconductor lasers based on heterostructures are now playing the same role in modern telecommunications. Professor Kroemer's conceptual work on heterostructures began in the early 1950s as he was looking for a way to improve transistor speed and performance. In the 1960s, he applied the same principles to the development of lasers and light-emitting diodes, showing that they could achieve continuous operation at room temperature OCo something thought impossible at that time. His deep fundamental scientific work has had a profound effect on technology and society, transforming and improving our lives.This reprint collection brings together Professor Kroemer's most important papers, presenting a comprehensive perspective of the field. It covers topics ranging from substrate materials, electronic properties, process technology, and devices, to circuits and applications. This reprint collection will help the reader identify the key stages in the development of heterostructure devices and lasers from early research through to its integration in current manufacturing. Devoted to R&D engineers and scientists who are actively involved in extending the nano- and microelectronics roadmap mainly via heterostructure engineering, this volume may also serve as a reference for postgraduate and research students.""",N/A,N/A
The Technology Trap,['Carl Benedikt Frey'],2020-09-22,['Business & Economics'],"From the Industrial Revolution to the age of artificial intelligence, Carl Benedikt Frey offers a sweeping account of the history of technological progress and how it has radically shifted the distribution of economic and political power among society's members. As the author shows, the Industrial Revolution created unprecedented wealth and prosperity over the long run, but the immediate consequences of mechanization were devastating for large swaths of the population.These trends broadly mirror those in our current age of automation. But, just as the Industrial Revolution eventually brought about extraordinary benefits for society, artificial intelligence systems have the potential to do the same. Benedikt Frey demonstrates that in the midst of another technological revolution, the lessons of the past can help us to more effectively face the present. --From publisher description.",N/A,N/A
Homo Faber,['Max Frisch'],1974,[],N/A,N/A,N/A
"A Dictionary of Arts, Manufactures, and Mines",['Andrew Ure'],1853,['Industrial arts'],N/A,N/A,N/A
A History of Technoscience,['David F. Channell'],2017-06-14,['History'],"Are science and technology independent of one another? Is technology dependent upon science, and if so, how is it dependent? Is science dependent upon technology, and if so how is it dependent? Or, are science and technology becoming so interdependent that the line dividing them has become totally erased? This book charts the history of technoscience from the late nineteenth century to the end of the twentieth century and shows how the military–industrial–academic complex and big science combined to create new examples of technoscience in such areas as the nuclear arms race, the space race, the digital age, and the new worlds of nanotechnology and biotechnology.",N/A,N/A
European Cities & Technology,"['David C. Goodman', 'Colin Chant']",1999,['Architecture'],"This text explores one of the most fundamental changes in the history of human society - the transition from rural to urban ways of living. It covers a range of urban technologies, including new building materials and designs.",N/A,N/A
Standard Handbook for Electrical Engineers,"['Donald Fink', 'H. Wayne Beaty']",2006-08-25,['Technology'],"The Standard Handbook for Electrical Engineers has served the EE field for nearly a century. Originally published in 1907, through 14 previous editions it has been a required resource for students and professionals. This new 15th edition features new material focusing on power generation and power systems operation – two longstanding strengths of the handbook that have recently become front-burner technology issues. At the same time, the entire format of the handbook will be streamlined, removing archaic sections and providing a quick, easy look-up experience.",4,N/A
The Metaphysics of Virtual Reality,['Michael Heim'],1993,['Computers'],"The author, known as the ""philosopher of cyberspace,"" asks how people will perceive their world change when they can immerse themselves in computer simulations of any imagined world. He discusses such topics as the effect of word-processing on the English language, the new kind of literacy promised by Hypertext, how computers have altered people's thought habits, how people will distinguish between virtual and real reality, and the appearance of virtual reality in popular culture. A glossary of terms is included. Annotation copyright by Book News, Inc., Portland, OR",N/A,N/A
NBSIR.,[],1973,"['Research, Industrial']",N/A,N/A,N/A
Overhead Power Lines,"['Friedrich Kiessling', 'Peter Nefzger', 'Joao Felix Nolasco', 'Ulf Kaintzyk']",2003-02-26,['Technology & Engineering'],"The only book containing a complete treatment on the construction of electric power lines. Reflecting the changing economic and technical environment of the industry, this publication introduces beginners to the full range of relevant topics of line design and implementation.",4.5,N/A
One-dimensional Man,['Herbert Marcuse'],1964,['History'],"Originally published in 1964, One-Dimensional Man quickly became one of the most important texts in the ensuing decade of radical political change. This second edition, newly introduced by Marcuse scholar Douglas Kellner, presents Marcuse's best-selling work to another generation of readers in the context of contemporary events.""Marcuse shows himself to be one of the most radical and forceful thinkers of this time.""--The Nation",N/A,N/A
Engineering in the Ancient World,['John Gray Landels'],1978-01-01,['Technology & Engineering'],"The Greeks and Romans were considerable engineers. They made many remarkable machines, which where not betttered until the Industrial Revolution. Landels shows how these machines were developed and made. He draws together evidence from archaeological discoveries and from literary sources.",N/A,N/A
Ancient Inventions,"['Peter James', 'I. J. Thorpe', 'Nick Thorpe']",1995,['Fiction'],"A compendium of odd facts and entertaining curiosities featuring more than three hundred illustrations reveals the ancient origins of many of humankind's most important inventions, from the chewing gum of the Aztecs to Stone Age brain surgery. Reprint.",N/A,N/A
The Real World of Technology,['Ursula M. Franklin'],1992,['Social Science'],"This series of lectures, delivered in 1989, examines the social and political conseqences of technology in the real world, that is, in our everyday lives. Franklin, an experimental physicist and humanitarian, constructs a criticism of technology that puts the needs of humans ahead of the needs of technology, a stance that ought to be unremarkable, except it isnt. The lectures are prescient: forseeing many of the complications of communication technology that predominate present conversations. I read it twice through, and expect to spend yet more time with it.",N/A,N/A
Workshop Receipts ...,[],1883,"['Formulas, recipes, etc']",N/A,N/A,N/A
