title,authors,publishedDate,categories,description,averageRating,textSnippet,language
An Enemy of the People,"['Arthur Miller', 'Henrik Ibsen']",1979,['Drama'],"A stage adaptation of the drama ""An Enemy of the People"" by Henrik Ibsen in which a Norwegian doctor is shunned by the townspeople after he discovers their famous spring water is really poisoned.",5,N/A,en
The Semiotics of Theatre and Drama,['Keir Elam'],2002,['Literary Criticism'],"The lat 20th century saw an explosion of interest in semiotics, the science of signs and processes by which we communicate. In this book, Keir Elam shows how semiotics could provide a radical shift in our understanding of theatrical performance.",N/A,N/A,en
Six Characters in Search of an Author,['Luigi Pirandello'],1979,['Drama'],"On the stage, a rehearsal is in progress when actors and director are interrupted by six mysterious figures who demand to be put into a play.",N/A,N/A,en
The Context of Ancient Drama,"['Eric Csapo', 'William J. Slater']",1995,['History'],An easy-to-use guide to the nature and stagecraft of ancient plays,N/A,N/A,en
The Doll's House,['Henrik Ibsen'],1890,"['Domestic drama, Norwegian']",N/A,2,N/A,en
Theater of the Oppressed,['Augusto Boal'],2000,['Literary Criticism'],''... brilliantly original ... brings cultural and post-colonial theory to bear on a wide range of authors with great skill and sensitivity.' Terry Eagleton,N/A,N/A,en
The Playful Revolution,['Eugène Van Erven'],1992,['History'],""" The Playful Revolution is an entertaining journal.... exemplary... "" --Illusions "" The Playful Revolution breaks new ground by documenting developmental theatre in Asia in its current socio-political and economic ethos... "" --New Theatre Quarterly ""[T]his book is the account of a personal journey through Asia, a written documentary of a quest to find political theatre that really works and that possesses a vitality and passion that the contemporary Western theatre seems to have lost."" --from the book In this groundbreaking book, van Erven reports on the liberation theatre movements throughout Asia, which include a diverse collection of creative artists whose politics range from liberal to revolutionary but who all share a common goal of using grass-roots theatre as an agent of liberation.",N/A,N/A,en
The Attic Theatre,['Arthur Elam Haigh'],1889,['Athens (Greece)'],N/A,N/A,N/A,en
Twelfth Night,['William Shakespeare'],2001-02-23,['Drama'],"This edition of Shakespeare's Twelfth Night reprints the Bevington edition of the play along with 7 sets of thematically arranged primary documents and illustrations designed to facilitate many different approaches to Shakespeare's play and the early modern culture out of which the play emerges. The texts include facsimiles of period documents, maps, woodcuts, descriptions of the popular customs associated with Twelfth Night, anti-theatrical tracts, royal proclamations concerning dress, laws prohibiting certain sexual acts, poems fantasizing those very acts, early modern texts on household economies, passages from Puritan conduct books, excerpts from Ovid and Montaigne, a representative range of early modern opinions about boy actors, and theories of laughter. Besides contextualizing the audience for Shakespeare's play and shedding light on some of his sources, the documents explore the range of sexual desires articulated in the play, competing ideas about music in early modern culture, religious controversy, the regulation of early modern society according to hierarchies, and the controversial place of laughter in early modern culture. Editorial features designed to help students read the play in light of the historical documents include an engaging general introduction, an introduction to each thematic group of documents, thorough headnotes and glosses for the primary documents (presented in modern spelling), and an extensive bibliography.",N/A,N/A,en
History of the Theatre,"['Oscar Gross Brockett', 'Franklin Joseph Hildy']",2003,['Literary Criticism'],"Chronicles the evolution of the theater from its beginnings to the early twenty-first century, covering styles, creative and technical elements, and the theater's impact on society and culture. Focuses largely on Europe and the U.S. but also discusses Africa, Asia, Latin America, Canada, Australia, and New Zealand.",4,N/A,en
The Triumph of Pierrot,"['Martin Green', 'John C. Swan']",1986,['Art'],Examines the influence of the Italian commedia dell'arte on the work of many major artists of the late nineteenth and early twentieth centuries.,N/A,N/A,en
The Japanese Theatre,['Benito Ortolani'],1995-03-09,['Drama'],"From ancient ritualistic practices to modern dance theatre, this study provides concise summaries of all major theatrical art forms in Japan. It situates each genre in its particular social and cultural contexts, describing in detail staging, costumes, repertory and noteworthy actors.",1,N/A,en
Elizabethan Popular Theatre,['Michael Hattaway'],2005,['Art'],"Elizabethan Popular Theatre surveys the Golden Age of English popular theatre: the 1590s, the age of Marlowe and the young Shakespeare. The book describes the staging practices, performance conditions and acting techniques of the period, focusing on five popular dramas: The Spanish Tragedy, Mucedorus, Edward II, Doctor Faustus and Titus Andronicus, as well as providing a comprehensive history of a variety of contemporary playhouse stages, performances, and players.",N/A,N/A,en
Takarazuka,['Jennifer Robertson'],1998-07-21,['History'],"The all-female Takarazuka Revue is world-famous today for its rococo musical productions, including gender-bending love stories, This text explores how the Revue illuminates discourses of sexual politics, nationalism, imperialism and popular culture in 20th-century Japan.",N/A,N/A,en
Shakespeare's Blackfriars Playhouse,['Irwin Smith'],1966,"['Blackfriars Playhouse (London, England)']",N/A,N/A,N/A,en
The Theatrical 'world'.,['William Archer'],1897,['Dramatic criticism'],N/A,N/A,N/A,en
The Cambridge Paperback Guide to Theatre,"['Sarah Stanton', 'Martin Banham']",1996-03-07,['Drama'],Derived from The Cambridge guide to theatre_,5,N/A,en
Hedda Gabler,['Henrik Ibsen'],1992,['Drama'],Drama in which a 19th century Norwegian woman pays the consequences of her powerful but ruthless personality.,N/A,N/A,en
India's Shakespeare,"['Poonam Trivedi And Dennis Bartholomeusz', 'Poonam Trivedi']",2005,['Criticism'],N/A,1,N/A,en
Performance and Literature in the Commedia Dell'Arte,['Robert Henke'],2002-12-12,['Literary Criticism'],"This book explores the commedia dell'arte: the Italian professional theatre in Shakespeare's time. The actors of this theatre usually did not perform from scripted drama but instead improvised their performances from a shared plot and thorough knowledge of individual character roles. Robert Henke closely analyzes hitherto unexamined commedia dell'arte texts in order to demonstrate how the spoken word and written literature were fruitfully combined in performance. Henke examines a number of primary sources including performance accounts, actors' contracts, and letters, among other documents.",4,N/A,en
The Empty Space,['Peter Brook'],1968,['Performing Arts'],"Peter Brook speaks of the theater of the past and the present, of its changes, of its various forms, of what he has seen and sees and of his own work.",N/A,N/A,en
Hard to be a God,[],2012,['Adelaide Festival of Arts'],"Directed by Kornel Mundruzco, production manager/assistant director: Dora Buki, dramaturg: Eva Zabezsinszkij and Viktoria Petranyi, cast includes: Annamaria Lang, Kate Weber, Diana Magdolna Kiss, Orsi Toth, Roland Raba, Gergely Banki, Laszlo Katona, Janos Derszsi, Janos Szemenyei and Zsolt Nagy.",N/A,N/A,en
Jane Austen and the Theatre,['Penny Gay'],2006-03-16,['Literary Criticism'],"Jane Austen was fascinated by theatre from her childhood. As an adult she went to the theatre whenever opportunity arose. Scenes in her novels often resemble plays, and recent film and television versions have shown how naturally dramatic her stories are. Yet the myth remains that she was 'anti-theatrical', and readers continue to puzzle about the real significance of the theatricals in Mansfield Park. Penny Gay's book describes for the first time the rich theatrical context of Austen's writing, and the intersections between her novels and contemporary drama. Gay proposes a 'dialogue' in Austen's mature novels with the various genres of eighteenth-century drama - laughing comedy, sentimental comedy and tragedy, Gothic theatre, early melodrama. She re reads the novels in the light of this dialogue to demonstrate Austen's analysis of the pervasive theatricality of the society in which her heroines must perform.",N/A,N/A,en
The Theatrical 'world'.,['William Archer'],1896,['Dramatic criticism'],N/A,N/A,N/A,en
The English Clown Tradition from the Middle Ages to Shakespeare,['Robert Hornback'],2013,['Drama'],"A new account of medieval and Renaissance clown traditions reveals the true extent of their cultural influence.From the late-medieval period through to the seventeenth century, English theatrical clowns carried a weighty cultural significance, only to have it stripped from them, sometimes violently, by the close of the Renaissance when the famed ""license"" of fooling was effectively revoked. This groundbreaking survey of clown traditions in the period looks both at their history, and reveals their hidden cultural contexts and legacies; it has far-reaching implications not only for our general understanding of English clown types, but also their considerable role in defining social, religious and racial boundaries. It begins with an exploration of previously un-noted early representations of blackness in medieval psalters, cycle plays, and Tudor interludes, arguing that they are emblematic of folly and ignorance rather than of evil. Subsequent chapters show how protestants at Cambridge and at court, during the reigns of Henry VIII and Edward, patronised a clownish, iconoclastic Lord of Misrule; look at the Elizabethan puritan stage clown; and move on to a provocative reconsideration of the Fool in King Lear, drawing completely fresh conclusions. Finally, the epilogue points to the satirical clowning which took place surreptitiously in the Interregnum, and the (sometimes violent) end of ""licensed"" folly.Professor ROBERT HORNBACK teaches in the Departments of Literature and Theatre at Oglethorpe University.",N/A,N/A,en
The Retreat from Moscow,['William Nicholson'],2004,['Drama'],"THE STORY: Edward and Alice have been married for thirty-three years. Their thirty-year-old son, Jamie, visits them for the weekend, to find that this is the Sunday his father has picked to leave his mother for another woman. Jamie, unable to chang",N/A,N/A,en
"Post-Conflict Performance, Film and Visual Arts","[""Des O'Rawe"", 'Mark Phelan']",2016-07-28,['Performing Arts'],"Drawing on a range of cities and conflicts from Europe, Africa and the Middle East, the collection explores the post-conflict condition as it is lived and expressed in modern cities such as Berlin, Belfast, Bilbao, Beirut, Derry, Skopje, Sarajevo, Tunis, Johannesburg and Harare. Post-Conflict Performance, Film and Visual Arts: Cities of Memory investigates how the memory of conflict can be inscribed in historical monuments, human bodies and hermeneutic acts of mapping, traversing, representing, and performing the city. Several essays explore the relations between memory, history and urban space; where memory is located and how it is narrated, as well as various aspects of embodied memory; testimonial memory; traumatic memory; counter-memory; false memory; post-memory. Other essays examine the representations of post-war cities and how cultural imaginations relate to the politics of reconstruction in places devastated by protracted urban warfare. Post-Conflict Performance, Film and Visual Arts: Cities of Memory offers a comparative survey of the complex and often controversial encounters between public art, political memory and commemoration in divided societies, as well as offering insights into the political and ethical difficulties of balancing the dynamics of forgetting and remembering.",N/A,N/A,en
Peter and Wendy,['James Matthew Barrie'],1911,['Children'],N/A,N/A,N/A,en
