title,authors,publishedDate,categories,description,averageRating,textSnippet
Unterholz,['Jörg Maurer'],2014-03-06,[],"Auf der äWolzmüller-Almä wird eine Frauenleiche gefunden. Die Ermittlungen von Kommissar Jennerwein laufen ins Leere. Doch das Bestatterehepaar a.D. Grasegger ahnt, dass es sich bei der Toten um die äÄbtissinä handelt, eine branchenbekannte Auftragskillerin.",N/A,N/A
The Visitor,['Lee Child'],2001,['Fiction'],"""Sergeant Amy Callan and Lieutenant Caroline Cook have a lot in common. Both were army high-flyers. Both were acquainted with Jack Reacher. Both were forced to resign from the service. Now they're both dead. Both were found in their own home, naked, in a bath full of paint. Both apparent victims of an army man. A loner, a smart guy with a score to settle, a ruthless vigilante. A man just like Jack Reacher.""--Cover.",N/A,N/A
The Testament,['John Grisham'],1999-02-02,['Fiction'],"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament.",N/A,N/A
The Da Vinci Code,['Dan Brown'],2003,['Fiction'],"Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever.",4.5,N/A
Brother Odd,['Dean Koontz'],2007-10-30,['Fiction'],"Leaving the small desert town where he has spent his life, Odd Thomas, a hero who lives between the living and the dead, seeks the solitude of an isolated monastery, but he soon finds himself confronting a killer stalking his sanctuary's halls. -- Novelist.",N/A,N/A
The St. Zita Society,['Ruth Rendell'],2012-08-14,['Fiction'],From three-time Edgar Award-winning mystery writer Ruth Rendell comes a captivating and expertly plotted tale of residents and servants on one block of a posh London street--and the deadly ways their lives intertwine.,N/A,N/A
He Will Be My Ruin,['K.A. Tucker'],2016-02-02,['Fiction'],"K.A. Tucker makes her suspense debut with this sexy, heart pounding story of a young woman determined to find justice after her best friend's death.",N/A,N/A
The Apprentice,['Tess Gerritsen'],2002,['Fiction'],"Although serial killer Warren Hoyt is behind bars, a copycat-at-large continues his legacy of murders performed with twisted medical techniques.",N/A,N/A
The Da Vinci Code,['Dan Brown'],2004,['Art museum curators'],"A murder in the silent, late night halls of the Louvre reveals a sinister plot to uncover a secret that has been protected by a clandestine society since the days of Christ. The victim is a high­ranking agent of this ancient society who, in the moments before his death, manages to leave gruesome clues at the scene that only his cryptographer daughter and her symbologist friend can untangle. The duo become both suspects and detectives searching not only for the murderer, but also the stunning secret he was charged to protect.",N/A,N/A
A Game for Heroes,['Jack Higgins'],2002,['Fiction'],Intrepid British spy and soldier of fortune Owen Morgan leads a hard-nosed gang of commandos on a mission to destroy an island fortress of the Third Reich in the English Channel.,4,N/A
