title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Heidi,['Johanna Spyri'],2023-07-09,['Fiction'],"Written in 1880 by Swiss author Johanna Spyri, the Heidi books are the best known works of Swiss literature. The story focuses on events in the life a young orphan sent to live with her grumpy grandfather in the Swiss Alps. Just as she is beginning to get used to her surroundings, Heidi is sent away from the tranquility of the mountains to tend to a sick cousin in the city. Much more than a children's story, the story is also a lesson on the nature of freedom. This edition is an English translation. The illustrated edition contains color illustrations by Maria L. Kirk.",N/A,N/A,en
Frankenstein,['Marry Shelley'],2023-05-27,['Fiction'],"A la señora SAVILLE, Inglaterra. San Petersburgo, 11 de diciembre de 17** Te alegrará saber que no ha ocurrido ningún percance al principio de una aventura que siempre consideraste cargada de malos presagios. Llegué aquí ayer, y mi primera tarea es asegurarle a mi querida hermana que me hallo perfectamente y que tengo una gran confianza en el éxito de mi empresa. Me encuentro ya muy al norte de Londres y, mientras camino por las calles de Petersburgo, siento la brisa helada norteña que fortalece mi espíritu y me llena de gozo. ¿Comprendes este sentimiento? Esta brisa, que llega desde las regiones hacia las que me dirijo, me trae un presagio de aquellos territorios helados. Animadas por ese viento cargado de promesas, mis ensoñaciones se tornan más apasionadas y vividas. En vano intento convencerme de que el Polo es el reino del hielo y la desolación: siempre se presenta a mi imaginación como la región de la belleza y del placer. Allí, Margaret, el sol siempre permanece visible, con su enorme disco bordeando el horizonte y esparciendo un eterno resplandor. Allí —porque, con tu permiso, hermana mía, debo depositar alguna confianza en los navegantes que me precedieron—, allí la nieve y el hielo se desvanecen y, navegando sobre un mar en calma, el navío se puede deslizar suavemente hasta una tierra que supera en maravillas y belleza a todas las regiones descubiertas hasta hoy en el mundo habitado.",N/A,N/A,es
Titanic 100th Anniversary Edition,['Stephanie Barczewski'],2012-02-09,['History'],An anniversary edition of a highly-regarded account of the world's most notorious tragedy at sea.,N/A,N/A,en
The Laughing Cavalier,['Baroness Orczy'],2023-07-27,['Fiction'],"The first of two prequels to The Scarlet Pimpernel, The Laughing Cavalier is set in Holland in 1623. It tells the story of Percy Blake, a foreign adventurer and ancestor of the Scarlet Pimpernel who goes by the name Diogenes. Diogenes, as told by Orczy, is the real subject of the famous painting The Laughing Cavalier by Franz Hals. Unlike The Scarlet Pimpernel, Diogenes has not yet established himself as a man of sterling character or irreproachable moral integrity. He has spent his life fighting in various battles as a mercenary for hire, but now, along with his two sidekicks he is back in Haarlem, penniless and looking for entertainment.",N/A,N/A,en
Topsy Turvy,['Jules Verne'],2023-09-29,['Fiction'],"""Topsy-Turvy"" is a novel written by the famous French author Jules Verne. It was originally published in 1889 under the title ""Sans dessus dessous"" in French, and it's sometimes translated as ""The Purchase of the North Pole"" in English. The story revolves around the madcap efforts of a group of American millionaires to buy the Arctic region, including the North Pole, from the impoverished nation of France. They plan to achieve this through a financial scheme that involves digging a tunnel from the United States to the Arctic and thereby draining the entire Arctic Ocean, which would then make the polar region the property of the United States. As with many of Verne's works, ""Topsy-Turvy"" combines elements of adventure, satire, and science fiction. It explores themes of American industrialization, capitalism, and the consequences of reckless ambition. The novel also contains humorous elements as it pokes fun at the audacious and absurd plan. Overall, ""Topsy-Turvy"" is a satirical and imaginative work by Jules Verne that reflects some of the social and economic concerns of his time while providing readers with an entertaining adventure.",N/A,N/A,en
Sustainability and Cities,"['Peter Newman', 'Jeffrey Kenworthy']",1999-02,['Architecture'],Our dependence on cars is a huge problem - but the authors argue that it can be overcome and a new form of urban organisation developed. They examine the trends which shape global cities and establishes transport priorities within this framework.,4,N/A,en
The Secret Garden,['Frances Hodgson Burnett'],2023-07-11,['Fiction'],"First published in 1909, The Secret Garden is one of Burnett's most popular novels and is considered a classic of children's literature. It tells the story of Mary Lennox, a sickly, orphan girl, who is sent to isolated Misselthwaite Manor in Yorkshire, England. There she befriends a boy named Dickon with whom she investigates a secret garden on the Manor grounds.",N/A,N/A,en
The Sea-craft of Prehistory,['Paul Johnstone'],1988,['Social Science'],"A detailed account of man's use of inland and ocean-going craft from the earliest times until the dawn of history, using new archaeological research. All forms of evidence are assessed, from the vessels of ancient Egypt to the Chinese junk.The nautical dimension of prehistory has not so far received the attention it deserves. It is also too often assumed that early man was land bound, yet this is demonstrably not the case. Recent research has shown that man travelled and tracked over greater distances and at a much earlier date than has previously been thought possible. Some of these facts can be explained only by man's mastery of water transport from earliest times. This book, by an acknowledged expert on prehistoric sea-craft, examines these problems looking at the new archaeological information in the light of the author's nautical knowledge. The result is a detailed account of man's use of inland and ocean-going craft from earliest times until the dawn of recorded history. All forms of evidence are critically assessed, from the vessels of Ancient Egypt to the Chinese junk, to present of comprehensive picture of the vessels men have built through the ages, and of the variety of ways in which they have been used.",N/A,N/A,en
King Solomon’s Mines,['H. Rider Haggard'],2023-07-09,['Fiction'],"King Solomon’s Mines was published in September 1885, becoming an immediate best seller by tapping into people’s excitement for the unknown: in this case, the unexplored regions of Africa. Haggard wrote the novel in a very short period, between six and sixteen months, on a bet with his brother to try to match Robert Louis Stevenson’s Treasure Island. In the process he created a new literary genre known as the “Lost World” genre, which would later influence other writers like Arthur Conan Doyle and H. P. Lovecraft. The book tells the tale of Allan Quatermain, an adventurer and hunter, who is approached by Sir Henry Curtis and Captain Good to help them find Curtis’ lost brother, who went missing while trying to find the fabled King Solomon’s Mines. This book has spawned multiple adaptations in the form of movies, comics, and TV shows.",N/A,N/A,en
Boats of South Asia,"['Sean Mcgrail', 'Lucy Blue', 'Eric Kentley', 'Colin Palmer']",2003-08-29,['Social Science'],"This book sets new standards for the documentation of water transport, and introduces styles of boat-building which are unlikely to be found outside the sub-Continent. A fascinating and accessible read for anyone interested in boats or the South Asian way of life, as well as ethnographers, maritime archaeologists and historians, Boats of South Asia covers recent, exhaustive fieldwork in India, Bangladesh and Sri Lanka; and covers a vast array of traditional boats used in the sub-Continent today for fishing and other coastal, riverine tasks.",N/A,N/A,en
