title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Coping with Tourists,['Jeremy Boissevain'],1996,['Business & Economics'],"Twenty-four papers assess the challenges to developing a systematic framework for understanding and predicting climatic changes and variations. The contributing scientists pull together ad hoc environmental observations, presenting a coherent review of long and short term climate monitoring, direction in future research, and specific aspects of observing such as long term monitoring of the cryosphere, and oceanic observation systems. The volume is reprinted from Climatic Change, v.31, nos.2-4, 1995. Lacks an index. Annotation copyright by Book News, Inc., Portland, OR",5,N/A,en
The GR5 Trail - Benelux and Lorraine,['Carroll Dorgan'],2018-09-15,['Travel'],"Guidebook to the northernmost section of the GR5 - from Hoek van Holland in the Netherlands, through Belgium and Luxembourg, to Schirmeck in the northeast of France. Described over 49 stages, this 1000 kilometre section of the GR5 is relatively easy and ideal for those who don't want to hike up and down steep mountains - or not just yet. Clear route description is accompanied by 1:100K mapping, together with information on points of interest passed along the way. Background information on landscape, wildlife and history is included, as is practical information - everything from clothing, equipment, food, drink and waymarking to maps, money and staying in touch - making planning and executing a trip as easy as possible. One of the world's best long distance walking trails, the GR5, in its entirety, covers an impressive 1423 miles (2290km) on its way from the North Sea to the Mediterranean. This northern stretch - before the trail hits the depth of the Vosges. Two further Cicerone guidebooks cover the remaining sections of the GR5; 'The GR5 Trail - Vosges and Jura', and 'The GR5 Trail' which covers the route from Lac Leman to the Mediterranean.",N/A,N/A,en
The Museum of Innocence,['Orhan Pamuk'],2011-08-05,['History'],"The Museum of Innocence - set in Istanbul between 1975 and today - tells the story of Kemal, the son of one of Istanbul's richest families, and of his obsessive love for a poor and distant relation, the beautiful Fusun, who is a shop-girl in a small boutique. In his romantic pursuit of Füsun over the next eight years, Kemal compulsively amasses a collection of objects that chronicles his lovelorn progress-a museum that is both a map of a society and of his heart. The novel depicts a panoramic view of life in Istanbul as it chronicles this long, obsessive love affair; and Pamuk beautifully captures the identity crisis experienced by Istanbul's upper classes that find themselves caught between traditional and westernised ways of being. Orhan Pamuk's first novel since winning the Nobel Prize is a stirring love story and exploration of the nature of romance. Pamuk built The Museum of Innocence in the house in which his hero's fictional family lived, to display Kemal's strange collection of objects associated with Fusun and their relationship. The house opened to the public in 2012 in the Beyoglu district of Istanbul. 'Pamuk has created a work concerning romantic love worthy to stand in the company of Lolita, Madame Bovary and Anna Karenina.' --Financial Times",5,N/A,en
Lord Jim,"['Conrad Joseph,']",2024-06-25,['Fiction'],"Caduto in disgrazia a causa di un incidente in cui la paura ha preso il sopravvento, e per cui ha perduto il brevetto di ufficiale, Jim trascorre la propria esistenza spostandosi sempre più verso l'Estremo Oriente nel tentativo di sfuggire al proprio nome, finché in uno sperduto angolo del Borneo non riesce a riscattarsi, riassumendo il ruolo di eroe che aveva sempre sognato. Narrata dalla voce di Marlow, capitano di lungo corso che tenta di aiutare il giovane, la storia di Jim tratteggia uno dei personaggi più complessi della letteratura, in cui le vicende personali e le ambientazioni esotiche diventano rappresentazione dell'incertezza esistenziale e dell'impossibilità di conoscere l'animo umano e la realtà del mondo. Un romanzo costruito come un mosaico di punti di vista che ruotano intorno al medesimo evento, proposto qui in nuova traduzione e curatela di Rocco Coronato, professore di Letteratura inglese presso l'Università di Padova.",N/A,N/A,it
Danube,['Claudio Magris'],1999,['Nature'],"A journey through the history and culture of the Danube, from the Bavarian hills, through Austro-Hungary and the Balkans, to the Black Sea. In each town Magris raises the ghosts that inhabit the houses and monuments: Kafka and Freud, Wittgenstein and Marcus Aurelius, and Heidegger and Celine.",N/A,N/A,en
Germany,['Eric Solsten'],1999-08,['Travel'],"Reviews Germany's history, and treats in a concise and objective manner its dominant social, political, economic, and military aspects. Sections, written by experts, include: chronology of important events; early history to 1945; history 1945-1990; the society and its environment; social welfare, health care, and educ.; the domestic economy; international economic relations; government and politics; foreign relations; national security; military tradition; strategic concerns and military missions; the armed forces; defense budget; and such military issues as uniforms, ranks, and insignia, defense production and export, foreign military relations, and internal security.",4,N/A,en
"Eat, Pray, Love",['Elizabeth Gilbert'],2007-03-05,['Biography & Autobiography'],"The Number One international bestseller, Eat, Pray Love is a journey around the world, a quest for spiritual enlightenment and a story for anyone who has battled with divorce, depression and heartbreak.",1,N/A,en
"Lonely Planet Georgia, Armenia & Azerbaijan",['Tom Masters'],2022-07,['Travel'],"Lonely Planets Georgia, Armenia & Azerbaijan is your passport to the most relevant, up-to-date advice on what to see and skip, and what hidden discoveries await you. Hike in Tusheti, explore Goris, and discover Baku; all with your trusted travel companion. Get to the heart of Georgia, Armenia & Azerbaijan and begin your journey now! Inside Lonely Planets Georgia, Armenia & Azerbaijan Travel Guide: Up-to-date information - all businesses were rechecked before publication to ensure they are still open after 2020s COVID-19 outbreak NEW top experiences feature - a visually inspiring collection of Georgia, Armenia & Azerbaijans best experiences and where to have them What's NEW feature taps into cultural trends and helps you find fresh ideas and cool new areas NEW pull-out, passport-size 'Just Landed' card with wi-fi, ATM and transport info - all you need for a smooth journey from airport to hotel Colour maps and images throughout Highlights and itineraries help you tailor your trip to your personal needs and interests Insider tips to save time and money and get around like a local, avoiding crowds and trouble spots Essential info at your fingertips - hours of operation, websites, transit tips, prices Honest reviews for all budgets - eating, sleeping, sightseeing, going out, shopping, hidden gems that most guidebooks miss Cultural insights give you a richer, more rewarding travel experience - history, people, music, landscapes, wildlife, cuisine, politics Over 65 maps Covers Georgia, Armenia, Azerbaijan The Perfect Choice: Lonely Planets Georgia, Armenia & Azerbaijan, our most comprehensive guide to Georgia, Armenia & Azerbaijan, is perfect for both exploring top sights and taking roads less travelled. About Lonely Planet: Lonely Planet is a leading travel media company, providing both inspiring and trustworthy information for every kind of traveller since 1973. Over the past four decades, we've printed over 145 million guidebooks and phrasebooks for 120 languages, and grown a dedicated, passionate global community of travellers. You'll also find our content online, and in mobile apps, videos, 14 languages, armchair and lifestyle books, ebooks, and more, enabling you to explore every day. 'Lonely Planet guides are, quite simply, like no other.'  New York Times 'Lonely Planet. It's on everyone's bookshelves; it's in every traveller's hands. It's on mobile phones. It's on the Internet. It's everywhere, and it's telling entire generations of people how to travel the world.'  Fairfax Media (Australia)",N/A,N/A,en
Architectural Guidebook to New York City,['Francis Morrone'],2009-09,['Travel'],"$21.95 paperback 1-58685-113-6 August6 x 8/ in, 432 pp, Black & White Photographs, Rights: W, ArchitecturevFrancis Morrone has returned to the buildings of his original guidebook once again to detail additions and changes in name and usage, and the book has been modified to reflect post September 11th New York City. With its thoughtful detail and out-of-the-ordinary observations, this guidebook is a must-have for New Yorkers, tourists, and architectural lovers everywhere.Francis Morrone is a lecturer and tour leader for the Municipal Art Society of New York, a nonprofit civic organization founded in 1893. His writings on architecture and New York history appear in The New Criterion, the City Journal, and other publications. His other books include An Architectural Guidebook to Brooklyn and An Architectural Guidebook to Philadelphia. He lives in Brooklyn.James Iska, whose work has been exhibited all over the world and has appeared in the Washington Post, the Financial Times, the Chicago Sun-Times, and the Chicago Tribune, is currently on the staff of the Art Institute of Chicago.",2,N/A,en
The Rough Guide to Venice & the Veneto,['Rough Guides'],2016-02-01,['Travel'],"Long established, The Rough Guide to Venice & the Veneto is the most thorough and reliable guide to the city and its surroundings. With stunning photography to inspire you, in-depth coverage to guide you and clear maps to steer you, this guide will ensure you make the most of your time in Venice, whether you want to visit the big name sights of the Basilica di San Marco and the Palazzo Ducale, escape the crowds in one of the city's off-beat districts, or take a day-trip to the magnificent city of Verona. Fascinating stories illuminate the city's history, while on-the-pulse features on everything from cruise ship controversies and flood barrier scandals to the travail's of the city's football team tell you more about the city today than any other guidebook. Insider reviews reveal the best places to eat, drink and sleep with something for every budget, whether you plan to stay in luxury near the Piazza, picnic along the Sant'Elena waterfront, or enjoy the buzzing bars in Dorsoduro.",N/A,N/A,en
