title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Trigonometric Delights,['Eli Maor'],2020-04-07,['Mathematics'],"A fun, entertaining exploration of the ideas and people behind the growth of trigonometry Trigonometry has a reputation as a dry, difficult branch of mathematics, a glorified form of geometry complicated by tedious computation. In Trigonometric Delights, Eli Maor dispels this view. Rejecting the usual descriptions of sine, cosine, and their trigonometric relatives, he brings the subject to life in a compelling blend of history, biography, and mathematics. From the proto-trigonometry of the Egyptian pyramid builders and the first true trigonometry developed by Greek astronomers, to the epicycles and hypocycles of the toy Spirograph, Maor presents both a survey of the main elements of trigonometry and a unique account of its vital contribution to science and social growth. A tapestry of stories, curiosities, insights, and illustrations, Trigonometric Delights irrevocably changes how we see this essential mathematical discipline.",N/A,N/A,en
Plane Trigonometry and Tables,['George Albert Wentworth'],1897,['Logarithms'],N/A,N/A,N/A,en
The Britannica Guide to Algebra and Trigonometry,"['William L. Hosch Associate Editor, Science and Technology']",2010-08-15,['Juvenile Nonfiction'],"Presents the concepts and applications of algebra and trigonometry, including information on the people behind the math and explanations to enhance understanding.",N/A,N/A,en
Elements of Geometry and Trigonometry from the Works of A.M. Legendre,['Charles Davies'],1854,['Geometry'],N/A,N/A,N/A,en
Elements of Geometry and Trigonometry,['Adrien Marie Legendre'],1834,['Geometry'],N/A,N/A,N/A,en
Elements of Geometry and Trigonometry,['Adrien Marie Legendre'],1861,['Geometry'],N/A,N/A,N/A,en
Elements of Geometry and Trigonometry,[],1843,['Geometry'],N/A,N/A,N/A,en
Elements of Geometry and Trigonometry,['Adrien Marie Legendre'],1822,['Geometry'],N/A,N/A,N/A,en
A Treatise on Spherical Trigonometry,['John Casey'],1889,['Geometry'],N/A,N/A,N/A,en
Elements of Plane and Spherical Trigonometry,['Olinthus Gregory'],1816,['Plane trigonometry'],N/A,N/A,N/A,en
The Construction of the Wonderful Canon of Logarithms,['John Napier'],1889,['Logarithms'],N/A,N/A,N/A,en
Fundamentals of Algebra and Trigonometry,['Earl William Swokowski'],1981,['Mathematics'],"This classic in the series of highly respected Swokowski/Cole mathematics texts retains the elements that have made it so popular with instructors and students alike: it is clearly written, the time-tested exercise sets feature a variety of applications, its exposition is clear, its uncluttered layout is appealing, and the difficulty level of problems is appropriate and consistent. Now this Ninth Edition of Fundamentals of Algebra and Trigonometry has been improved in three important ways. First, discussions have been rewritten to enable students to more easily understand the mathematical concepts presented. Second, exercises have been added that require students to estimate, approximate, interpret a result, write a summary, create a model, explore, or find a generalization. Third, graphing calculators have been incorporated to a greater extent through the addition of examples and exercises as well as the inclusion of a cross-referenced appendix on the use of the TI-82/83. All of this has been accomplished without compromising the mathematical integrity that is the hallmark of this text.",N/A,N/A,en
"Trigonometry, Surveying and Navigation",['George Albert Wentworth'],1895,['Navigation'],N/A,N/A,N/A,en
A Text-book of Geometry,['George Albert Wentworth'],1889,"['Geometry, Analytic']",N/A,N/A,N/A,en
The Elements of Trigonometry,['William Emerson'],1749,['Trigonometry'],N/A,N/A,N/A,en
Higher Engineering Mathematics,['John Bird'],2006,['Mathematics'],"John Bird's approach, based on numerous worked examples and interactive problems, is ideal for students from a wide range of academic backgrounds. This edition has been extended with new topics to maximise the book's applicability for first year engineering degree students, and those following Foundation Degrees.",N/A,N/A,en
Mathematics for Biological Scientists,"['Michael R. F. Aitken', 'Bill Broadhurst', 'S. B. Hladky']",2010,['Juvenile Nonfiction'],This textbook is written for first year life science students. It helps students revise their school-level maths and extend it into biological applications. Each new mathematical concept is carefully explained and its relevance to biology highlighted with examples and illustrations.,N/A,N/A,en
A Description of the Admirable Table of Logarithmes,['John Napier'],1969,['Mathematics'],N/A,N/A,N/A,en
A Sequel to the First Six Books of the Elements of Euclid,['John Casey'],1895,['Geometry'],N/A,N/A,N/A,en
Attacking Trigonometry Problems,['David S. Kahn'],2015-04-15,['Mathematics'],"This volume offers a concise, highly focused review for high school and beginning college undergraduates. Rigorously tested examples and coherent, to-the-point explanations are presented in an accessible form. 2015 edition.",N/A,N/A,en
Advanced Trigonometry,"['Clement Vavasor Durell', 'A. Robson']",1959,['Trigonometry'],N/A,N/A,N/A,en
