title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Art of War,['Sun Tzu'],2017-03,['Business & Economics'],A manual on the rational planning and conduct of military operations written over two millennia ago in China.,N/A,N/A,en
Le tre ghinee,['Virginia Woolf'],2000,['Literary Collections'],N/A,3,N/A,it
Art of War,['Sun Tzu'],2022-07-19,['Business & Economics'],This elegant edition of Sun Tzu's classic text The Art of War uses traditional Chinese binding techniques to deliver essential wisdom in a beautiful package.,N/A,N/A,en
War and Peace,['Leo Tolstoy'],2007,['Fiction'],War and Peace is one of the richest novels ever written. Tolstoy s enthralling epic combines history and fiction in his depiction of Russia s lengthy war with the French armies of Napoleon and its effects on the domestic lives of those caught up in,N/A,N/A,en
A Global History of War,"['GŽrard Chaliand', 'R. Bin Wong']",2014-11-17,['History'],"Overview: war and history -- The first military empire: the Assyrians -- The great strategy of the Byzantine Empire -- The Arabs -- The nomads of the Eurasian steppes -- The Seljuks, Mameluks, and the Crusades -- The Mongol Dmpire -- Tamerlane -- The Ottomans -- Safavid Iran -- The Ming and Chinese politico-military traditions -- The Manchu and the end of the nomads -- The Mughals and Islam in India -- Russia and the end of the Tatars -- The ascent of Europe -- The time of revolutions -- Guerilla warfare -- From total war to asymmetrical conflict -- Conclusion.",N/A,N/A,en
Art of War (Keepsake Edition),['Sun Tzu'],2024-10,['History'],"This keepsake edition of the world’s oldest military treatise includes a creatively embroidered cover. Dated to about the fifth century BC, The Art of War is considered the oldest treatise on war in the world. Attributed to Sun Tzu of the Zhou dynasty, the book is composed of thirteen chapters, each addressing a particular aspect of warfare, such as planning offenses, military combat, and the employment of spies. Influential in Eastern civilization for millennia and in Western culture since its first translation in the 18th century, the teachings of this book have been applied to scenarios as varied as office politics, the Vietnam War, and American football. This Crafted Classics edition is a keepsake to be treasured, featuring a decorative embroidered cover that gives the book a unique, handcrafted appearance.",N/A,N/A,en
Energy and International War,['Clifford Singer'],2008,['Science'],"""Will international wars where energy resources play a central role continue to hold sway over life and death for industrialized nations, or is this a transient phase in the evolution of industrial societies? This book answers this question by tracing the history of energy and conflict from antiquity through the epic hot and cold wars of the twentieth century, to expected outcome of the war in Iraq. It points the way to the end of wars over control of fossil fuels, and demonstrates why these may be the last major international wars over other resources as well. This book is a must read for anyone interested in the future of energy use or international conflict. Readers will find in it an illuminating overview of the sweep of historical events. The book further provides a compelling explanation of how a thorough understanding of the evolutionary direction of these events challenges the conventional wisdom that resource wars are endemic to the nature of industrial society, thus offering a fresh view on oneof the most important challenges of our time""--P. 4 of cover.",N/A,N/A,en
World War II: Europe,['R. G. Grant'],2004-07-14,['Juvenile Nonfiction'],"Describes the events and campaigns of World War II in Europe and North Africa, discussing the rise and defeat of Nazi Germany and the post-war political divisions in Europe that led to the Cold War.",N/A,N/A,en
A History of Warfare,['John Keegan'],2004,['History'],"A History of Warfare stresses that warmaking, for all its destructiveness, has been an inescapable feature of human culture since organised societies emerged.",N/A,N/A,en
"War and Imperialism in Republican Rome, 327-70 B.C.",['William Vernon Harris'],1985,['History'],"Between 327 and 70 B.C. the Romans expanded their empire throughout the Mediterranean world. This highly original study looks at Roman attitudes and behavior that lay behind their quest for power. How did Romans respond to warfare, year after year? How important were the material gains of military success--land, slaves, and other riches--commonly supposed to have been merely an incidental result? What value is there in the claim of the contemporary historian Polybius that the Romans were driven by a greater and greater ambition to expand their empire? The author answers these questions within an analytic framework, and comes to an interpretation of Roman imperialism that differs sharply from the conventional ones.",3,N/A,en
孙子兵法,['孙子'],1998,['Chinese language'],N/A,N/A,N/A,en
Crusade and Jihad,['William Roe Polk'],2018-01-01,['History'],"Encompasses the entire history of the catastrophic encounter between the Global North--China, Russia, Europe, Britain, and America--and Muslim societies from Central Asia to West Africa, explaining the deep hostilities between them and how they grew over the centuries. --Adapted from publisher description.",N/A,N/A,en
The Law of Nations,['Emer de Vattel'],1835,['International law'],N/A,N/A,N/A,en
The Holy War,['John Bunyan'],1887,['War'],N/A,N/A,N/A,en
Sun Tzǔ on the Art of War,['Sunzi'],1910,['Military art and science'],N/A,5,N/A,en
Military Power,['Brian Holden Reid'],1997,['History'],"The essays on aspects of the Anglo-American approach to war range from study of volunteer soldiering in the Mexican War of 1846-48, analyses of operations in the two World Wars, to a reconsideration of the nature of future warfare.",N/A,N/A,en
Broken Spirits,"['John P. Wilson', 'Boris Drozdek']",2004-10,['History'],"Mental health problems among asylum seekers and refugees are becoming a public issue, but awareness of this problem among the mental health community is relatively low. Although advances have been made in the provision of innovative mental health services for asylum seekers and refuges with PTSD, they are not systemized, and not widely known to professionals in the field. A publication offering practical guidelines for the treatment of torture victims and political refugees does not exist. Broken Spirits aims to bring together the works of the most respected mental health professionals - from the U.S. and abroad - and make available the most current knowledge on complex PTSD, forced migration and cultural sensitivity in diagnosis and treatment.",N/A,N/A,en
Rethinking Violence,"['Erica Chenoweth', 'Adria Lawrence']",2010,['Political Science'],An original argument about the causes and consequences of political violence and the range of strategies employed.,N/A,N/A,en
The Ashgate Research Companion to War,"['Hall Gardner', 'Oleg Kobtzeff (Dr)']",2012,['History'],"This Companion brings together 29 essays from leading theorists and historians on the origins of wars, their immediate causes and consequences and the mechanisms leading to the breakdown of peaceful relations. The essays are arranged thematically in four parts and include analysis of significant conflicts and consideration of long term, systemic conflicts and highlight the need for interdisciplinary approaches to the study of war as a global phenomenon.",N/A,N/A,en
"Man, the State, and War",['Kenneth Neal Waltz'],2001,['History'],"What are the causes of war? Waltz probes the ideas that thinkers throughout the history of Western civilisation - including St. Augustine, Hobbes, Kant, & Spinoza - have offered to explain the reasons for men & related prescriptions for peace.",N/A,N/A,en
Beyond War,['Douglas P. Fry'],2007-02-16,['History'],"The classic opening scene of 2001, A Space Odyssey shows an ape-man wreaking havoc with humanity's first invention--a bone used as a weapon to kill a rival. It's an image that fits well with popular notions of our species as inherently violent, with the idea that humans are--and always have been--warlike by nature. But as Douglas P. Fry convincingly argues in Beyond War, the facts show that our ancient ancestors were not innately warlike--and neither are we.Fry points out that, for perhaps ninety-nine percent of our history, for well over a million years, humans lived in nomadic hunter-and-gatherer groups, egalitarian bands where generosity was highly valued and warfare was a rarity. Drawing on archaeology and fascinating fieldwork on hunter-gatherer bands from around the world, Fry debunks the idea that war is ancient and inevitable. For instance, among Aboriginal Australians--who numbered some 750,000 individuals before the arrival of Europeans, all living in hunter-gathering groups--warfare was an extreme anomaly. There was individual violence and aggression, of course, but the Aborigines had sophisticated methods of resolving disputes, controlling individual outbursts, and preventing loss of life. Fry shows that, far from being natural, warfare actually appeared quite recently along with changes in social organization and especially the rise of states. But Fry also points out that even today, when war seems ever present (at least on television), the vast majority of us live peaceful, nonviolent lives. We are not as warlike as it might seem, and if we can learn from our ancestors, we may be able to move beyond war to provide real justice and security for the people of the world.A profoundly heartening view of human nature, Beyond War offers a hopeful perspective on our species and a positive prognosis for a future without war.",N/A,N/A,en
A History of the Art of War,['Charles Oman'],1898,['Military art and science'],N/A,N/A,N/A,en
Of Arms and Men,"[""Robert L. O'Connell""]",1989,['Antiques & Collectibles'],"A sweeping narrative history of weapons and aggression from prehistoric times to the present, this book draws upon many disciplines--including psychology, sociology, anthropology, and literature--to provide brilliant new insight into how and why men go to war.",N/A,N/A,en
The Law of Nations,['Emer de Vattel'],1849,['International law'],N/A,N/A,N/A,en
