title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Computational Web Intelligence,['Yan-Qing Zhang'],2004,['Computers'],"- The book completely introduces the intelligent Web techniques based on soft computing, granular computing, computational intelligence, and Web technology for different intelligent Web applications - The first book to introduce the novel intelligent Web theory (computational Web intelligence) with many potential intelligent Web applications - The book introduces CWI techniques for currently hot and important applications such as Web security, Internet security, bioinformatics, Web search engines, Web mining, e-commerce, intelligent Web agents, etc.",N/A,N/A,en
WISE 2002,[],2002,['Business & Economics'],"Collects the 31 papers presented at the three workshops held during the December 2002 conference. The workshops address web and wireless geographical information systems, data semantics in web information systems, and mining for enhanced web search. Topics of the papers include a context sensitive p",N/A,N/A,en
Official Tourism Websites,"['Richard W. Hallett', 'Judith Kaplan-Weinger']",2010,['Business & Economics'],"Investigates the construction and promotion of identity of tourist locales by the designers of the official websites for destinations such as Santiago de Compostela, Spain; the Baltic states of Latvia and Estonia; New Orleans, Louisiana and Gary, Indiana; Myanmar/Burma; and, US Sports Halls of Fame.",N/A,N/A,en
XSS Attacks,['Jeremiah Grossman'],2007-05-23,['Computers'],"A cross site scripting attack is a very specific type of attack on a web application. It is used by hackers to mimic real sites and fool people into providing personal data. XSS Attacks starts by defining the terms and laying out the ground work. It assumes that the reader is familiar with basic web programming (HTML) and JavaScript. First it discusses the concepts, methodology, and technology that makes XSS a valid concern. It then moves into the various types of XSS attacks, how they are implemented, used, and abused. After XSS is thoroughly explored, the next part provides examples of XSS malware and demonstrates real cases where XSS is a dangerous risk that exposes internet users to remote access, sensitive data theft, and monetary losses. Finally, the book closes by examining the ways developers can avoid XSS vulnerabilities in their web applications, and how users can avoid becoming a victim. The audience is web developers, security practitioners, and managers. XSS Vulnerabilities exist in 8 out of 10 Web sites The authors of this book are the undisputed industry leading authorities Contains independent, bleeding edge research, code listings and exploits that can not be found anywhere else",3,N/A,en
"Substitution Between Foreign Capital In China, India, The Rest of The World, And Latin America","['Javier Cravino', 'Daniel Lederman', 'Marcelo Olarreaga']",2007,['Capital movement'],"This paper explores the impact of the emergence of China and India on Foreign Capital Stocks (FCS) in other economies. Using bilateral FCS data from 1990-2003 and drawing from the Knowledge-Capital Model of multinational enterprises to control for fundamental determinants of FCS across countries, the evidence suggests that the impact of foreign capital in China and India on other countries' FCS has been positive. This finding is robust across different specifications and estimation techniques. There is surprisingly weak evidence of substitution in manufacturing FCS away from Central America/Mexico in favor of China, and from Southern Cone countries to India, but these findings are not robust to the use of alternative estimation techniques. In sum, fears of a global competition for FDI seem misplaced, and policymakers concerned about attracting foreign investors should focus their efforts on the fundamentals determinants of FDI.",N/A,N/A,en
The Googlization of Everything,['Siva Vaidhyanathan'],2012-03-13,['Art'],"Unlike other books on the history of Google, this is a sharp attack on some of Googles initiatives and a broad rumination about its impact on all of our lives from a young blogger and tech expert.",N/A,N/A,en
Web-based Instruction,['Badrul Huda Khan'],1997,['Computers'],"Provides readers with information related to design, development, delivery management and evaluation of WBI. Five main sections: Introduction to Web- based instruction, Web- based learning environment and critical issues, designing Web- based instruction delivery, Web-based instruction and case studies of Web- based courses.",N/A,N/A,en
Trust on the World Wide Web,['Jennifer Golbeck'],2008,['Computers'],"Presents a comprehensive survey of trust on the Web in all its contexts and identifies three main targets of trust: trust in content, in services, and in people, originating in web-based social networks. It also reviews applications that rely on trust and address how they utilize trust to improve functionality and interface.",N/A,N/A,en
Words on the Web,"['Lyn Pemberton', 'Simon Shurville']",2000,['Computers'],"This text offers insight into computer mediation communication and people's interaction by electronic systems, devices and networked computers. The author considers ways which conventions from both oral and written modes are mixed, as well as the social effects from this.",N/A,N/A,en
Phoenix Web Development,['Brandon Richey'],2018-04-27,['Computers'],"Learn to build a high-performance functional prototype of a voting web application from scratch using Elixir and Phoenix Key Features Build a strong foundation in Functional-Programming techniques while learning to build compelling web applications Understand the Elixir Concurrency and parallelization model to build high-performing blazingly fast applications Learn to test, debug and deploy your web applications using Phoenix framework Book Description Phoenix is a modern web development framework that is used to build API's and web applications. It is built on Elixir and runs on Erlang VM which makes it much faster than other options. With Elixir and Phoenix, you build your application the right way, ready to scale and ready for the increasing demands of real-time web applications. This book covers the basics of the Phoenix web framework, showing you how to build a community voting application, and is divided into three parts. In the first part, you will be introduced to Phoenix and Elixir and understand the core terminologies that are used to describe them. You will also learn to build controller pages, store and retrieve data, add users to your app pages and protect your database. In the second section you will be able to reinforce your knowledge of architecting real time applications in phoenix and not only debug these applications but also diagnose issues in them. In the third and final section you will have the complete understanding of deploying and running the phoenix application and should be comfortable to make your first application release By the end of this book, you'll have a strong grasp of all of the core fundamentals of the Phoenix framework, and will have built a full production-ready web application from scratch. What you will learn Learn Phoenix Framework fundamentals and v1.3's new application structure Build real-time applications with channels and presence Utilize GenServers and other OTP fundamentals to keep an application stable Track users as they sign in and out of chat with Phoenix's built-in presence functionality Write your own database interaction code that is safe, bug-free, and easy to work with Explore testing and debugging methodologies to understand a real software development lifecycle for a Phoenix application Deploy and run your Phoenix application in production Who this book is for This book is for people with a basic knowledge of Elixir, who want to start building web applications. Prior experience with web technologies is assumed.",N/A,N/A,en
