title,authors,publishedDate,categories,description,averageRating,textSnippet,language
To the Last Man,['Zane Grey'],1950,['American fiction'],"""They fought to the last man in a desperate blood-feud that stained the sands of the Tonto basin""--Jacket.",N/A,N/A,en
Shalako,"[""Louis L'Amour""]",1995,['Fiction'],He rode wild country with wilder men. He was a loner who owned nothing but his horse and saddle-and his guns. He was a man willing to gamble his life to get the woman he wanted... He was Shalako.,N/A,N/A,en
Bendigo Shafter,"[""Louis L'Amour""]",1979,['Fiction'],"Eighteen-year-old Bendigo Shafter arrives in a small Western settlement with a group of pioneers to begin a new life filled with struggle, adventure, and excitement.",N/A,N/A,en
Yondering,"[""Louis L'Amour""]",1986,['Indonesia'],"The popular Western author tells stories about sea adventures, episodes from World War II, and his acquaintances as a young man.",N/A,N/A,en
Wanderer of the wasteland,['Zane Grey'],1995,['WESTERN.'],N/A,N/A,N/A,en
The Gunfighters,['Lee Davis Willoughby'],1981,['Western'],N/A,N/A,N/A,en
Fury of the Mountain Man,['William Johnstone'],1995-12-07,['Fiction'],"Like Jensen, the two Mexican gunfighters known as Carbone and Martine had put away their six-guns, married and turned to ranching down in Durango. Then they came up against an army of outlaws under a warlord who called himself Carvajal. That was when they called on Smoke Jensen.",N/A,N/A,en
The Burning Hills,"[""Louis L'Amour""]",1956,"['Cowboys, Indians, Outlaws']",The Louis L'Amour collection.,N/A,N/A,en
Dead Man's Range,['Lauran Paine'],2001,['Fiction'],"Hugh was driving cattle to the Colorado Territory to the beef-starved gold miners ... but the owner of Fortier Valley, the only way through, refuses to let the herd cross her land.",N/A,N/A,en
The Warrior's Path,"[""Louis L'Amour""]",1983,['Frontier and pioneer life'],1983 edition : The Louis L'Amour Collection.,N/A,N/A,en
Rick Steves Europe Through the Back Door,['Rick Steves'],2017,['Electronic books'],"You can count on Rick Steves to tell you what you really need to know when traveling through Europe. With Rick Steves Europe Through the Back Door, you'll learn how to: -Plan your itinerary and maximize your time -Pack light and right -Find good-value hotels and restaurants -Travel smoothly by train, bus, car, and plane -Avoid crowds and tourist scams -Hurdle the language barrier -Understand cultural differences and connect with locals -Save money while enjoying the trip of a lifetimeAfter 30+ years of exploring Europe, Rick considers this travel skills handbook his life's work, and with his expert introductions to the top destinations in Europe, choosing your next trip will be easy and stress-free. Using the travel skills in this book, you'll experience the culture like a local, spend less money, and have more fun.",N/A,N/A,en
