title,authors,publishedDate,categories,description,averageRating,textSnippet
Women in Ancient Greece,['Sue Blundell'],1995,['History'],"This is an exploration of an often-overlooked group in ancient Greece: women. Though they played little or no public role, women were an integral part of Greek society and it is impossible to gain a full and balanced idea of that society without considering their experience alongside that of men.",N/A,N/A
The House of Mirth,['Edith Wharton'],2002,['Fiction'],"First published in 1905, the House of Mirth portrays the moral, social and economic constraints on a woman who dared to claim the privileges of marriage without assuming the responsibilities.",1,N/A
Women in Iran from 1800 to the Islamic Republic,"['Lois Beck', 'Guity Nashat']",2004,['History'],"The role of women in Iran has often been downplayed or obscured, particularly in the modern era. This volume demonstrates that women have long played important roles in different facets of Iranian society. Together with its companion, Women in Iran from the Rise of Islam to 1800, this volume completes a two-book project on the central importance of Iranian women from pre-Islamic times through the creation and establishment of the Islamic Republic. It includes essays from various disciplines by prominent scholars who examine women's roles in politics, society, and culture and the rise and development of the women's movement before and during the Islamic Republic. Several contributors address the issue of regional, ethnic, linguistic, and tribal diversity in Iran, which has long contained complex, heterogenous societies.",N/A,N/A
History Matters,['Judith M. Bennett'],2006,['History'],"Written for everyone interested in women's and gender history, History Matters reaffirms the importance of viewing history from a distance and with feminist intent. Bennett argues that the achievement of a more feminist future relies on rich, plausible, and well-informed history that is alert to the workings of patriarchal power.",N/A,N/A
Mrs. Dalloway,['Virginia Woolf'],1925,['Fiction'],"Heralded as Virginia Woolf's greatest novel, this is a vivid portrait of a single day in a woman's life. When we meet her, Mrs. Clarissa Dalloway is preoccupied with the last-minute details of party preparation while in her mind she is something much more than a perfect society hostess. As she readies her house, she is flooded with remembrances of faraway times. And, met with the realities of the present, Clarissa reexamines the choices that brought her there, hesitantly looking ahead to the unfamiliar work of growing old. ""Mrs. Dalloway was the first novel to split the atom. If the novel before Mrs. Dalloway aspired to immensities of scope and scale, to heroic journeys across vast landscapes, with Mrs. Dalloway Virginia Woolf insisted that it could also locate the enormous within the everyday; that a life of errands and party-giving was every bit as viable a subject as any life lived anywhere; and that should any human act in any novel seem unimportant, it has merely been inadequately observed. The novel asan art form has not been the same since. ""Mrs. Dalloway also contains some of the most beautiful, complex, incisive and idiosyncratic sentences ever written in English, and that alone would be reason enough to read it. It is one of the most moving, revolutionary artworks of the twentieth century."" --Michael Cunningham, author of The Hours",N/A,N/A
Sexual Politics,['Kate Millett'],2000,['Health & Fitness'],"Praised and denounced when it was first published in 1970, Sexual Politics not only explored history but also became part of it. Kate Millett's groundbreaking book fueled feminism's second wave, giving voice to the anger of a generation while documenting the inequities -- neatly packaged in revered works of literature and art -- of a complacent and unrepentant society. Sexual Politics laid the foundation for subsequent feminist scholarship by showing how cultural discourse reflects a systematized subjugation and exploitation of women. Millett demonstrates in detail how patriarchy's attitudes and systems penetrate literature, philosophy, psychology, and politics. Her incendiary work rocked the foundations of the literary canon by castigating time-honored classics -- from D. H. Lawrence's Lady Chatterley's Lover to Norman Mailer's The Naked and the Dead -- for their use of sex to degrade and undermine women. A new introduction to this edition draws attention to some of the forms patriarchy has taken recently in consolidating its oppressive and dangerous control.",N/A,N/A
Woman at Point Zero,['Nawāl Saʻdāwī'],1983,['Fiction'],"So begins Firdaus' story, leading to her grimy Cairo prison cell, where she welcomes her death sentence as a relief from her pain and suffering. Born to a peasant family in the Egyptian countryside, Firdaus suffers a childhood of cruelty and neglect. Her passion for education is ignored by her family, and on leaving school she is forced to marry a much older man. Following her escapes from violent relationships, she finally meets Sharifa who tells her that 'A man does not know a woman's value ... the higher you price yourself the more he will realise what you are really worth' and leads her into a life of prostitution. Desperate and alone, she takes drastic action. -- Publisher description.",N/A,N/A
Dancing at the Edge of the World,['Ursula K. Le Guin'],1992,['Language Arts & Disciplines'],"A collection of articles, reviews, papers and speeches, arranged chronologically, on a range of inspirational and thought-provoking topics.",N/A,N/A
Feminism and International Relations,['Sandra Whitworth'],1994,['Political Science'],N/A,N/A,N/A
Solitude,['Víctor Català'],1992,['Fiction'],"Caterina Albert i Paradís predates Federico García Lorca and D. H. Lawrence in her portrayal of women's sexual passions. She was an unsung pioneer of modernist literature at the beginning of the twentieth century, writing in the ancient Catalan language of Spain. Published under the nationalist (and necessarily male) pseudonym of Víctor Català, Solitude is regarded as the most important Catalan novel to appear before the Spanish Civil War.",N/A,N/A
Wild Swans,['Jung Chang'],2004,['Biography & Autobiography'],"A new edition of one of the best-selling and best-loved books of recent years, with a new introduction by the author. A tumultuous history of China's 20th century, from sword-bearing warlords to Chairman Mao, from the Manchu Empire to the Cultural Revolution.",N/A,N/A
"Eat, Pray, Love",['Elizabeth Gilbert'],2007-03-05,['Biography & Autobiography'],"The Number One international bestseller, Eat, Pray Love is a journey around the world, a quest for spiritual enlightenment and a story for anyone who has battled with divorce, depression and heartbreak.",1,N/A
