title,authors,publishedDate,categories,description,averageRating,textSnippet,language
De Bosatlas van de duurzaamheid,['Lijn43 (Utrecht)'],2019,[],Kaarten en infographics over duurzaamheid en duurzame ontwikkeling in Nederland.,N/A,N/A,nl
Primitieve volkjes,['Claudius Henricus Goeje'],1946,['73.00 ethnology: general'],N/A,N/A,N/A,nl
"The Discoveries of the World, from Their First Original Unto the Year of Our Lord 1555","['António Galvão', 'Richard Hakluyt']",1862,['America'],N/A,N/A,N/A,en
Weeds Like Us,['Gunter Nitsch'],2008,['Biography & Autobiography'],"The uprooting of seven million civilians - women, children, and elderly men - from their homes in the German provinces of East Prussia, Pomerania, and Silesia following World War II is largely unknown in the United States. Weeds Like Us is a gripping true adventure story about the author's own East Prussian family. The author's earliest years were spent in relative comfort on his grandfather's farm in East Prussia during World War II. For him, life in Hitler's Germany was the natural order of things. Then, in January 1945, just after the author's seventh birthday, the Russians rolled into East Prussia. Full of unexpected twists and turns, Weeds Like Us tells the story of what happened over the next six years, as the author's family tried to make its way safely to the West.",N/A,N/A,en
Chronicle of the 20th Century,['Derrik Mercer'],1988-01-01,"['Civilization, Modern']",N/A,N/A,N/A,en
Collins-Longman Student Atlas,"['HarperCollins Canada, Limited', 'HarperCollins Publishers Limited']",2001-01,"[""Children's atlases""]","This edition has been revised and up-dated to 2001 and features: a range of reference maps designed for educational use, and classroom-tested; topic maps including climate, population, economic activities and development issues; satellite images with supporting maps to illustrate key environmental issues; a range of world maps on environmental and socio-economic topics; data and statistics from international sources; and a comprehensive index with full latitude and longitude co-ordinates.",N/A,N/A,en
Collins-Longman Student Atlas,[],2001,"[""Children's atlases""]","This edition has been revised and up-dated to the year 2001 and features: a range of reference maps specially designed for educational use, which have been classroom-tested; topic maps including climate, population, economic activities and development issues; satellite images with supporting maps to illustrate key environmental issues; a range of world maps on environmental and socio-economic topics; data and statistics from international sources; and a comprehensive index with full latitude and longitude co-ordinates.",N/A,N/A,en
Lands and Peoples,"['Gladys D. Clewell', 'Holland Thompson']",1947,['Geography'],N/A,N/A,N/A,en
Atlas of British Overseas Expansion,['Andrew N. Porter'],1991,['History'],N/A,N/A,N/A,en
"Civilization and Capitalism, 15th-18th Century",['Fernand Braudel'],1985,"['Civilization, Modern']",N/A,N/A,N/A,en
American Journalists in the Great War,['Chris Dubbs (Military historian)'],2017,['Biography & Autobiography'],"When war erupted in Europe in 1914, American journalists hurried across the Atlantic ready to cover it the same way they had covered so many other wars. However, very little about this war was like any other. Its scale, brutality, and duration forced journalists to write their own rules for reporting and keeping the American public informed. American Journalists in the Great War tells the dramatic stories of the journalists who covered World War I for the American public. Chris Dubbs draws on personal accounts from contemporary newspaper and magazine articles and books to convey the experiences of the journalists of World War I, from the western front to the Balkans to the Paris Peace Conference. Their accounts reveal the challenges of finding the war news, transmitting a story, and getting it past the censors. Over the course of the war, reporters found that getting their scoop increasingly meant breaking the rules or redefining the very meaning of war news. Dubbs shares the courageous, harrowing, and sometimes humorous stories of the American reporters who risked their lives in war zones to record their experiences and send the news to the people back home.",N/A,N/A,en
Urbanisation of the Sea,"['Nancy Couling', 'Carola Hein']",2021-02-23,[],"The book tells the story of the sea-land continuum based on the case of the North Sea ? one of the world?s most industrialized seas, in which the Netherlands plays a central role. The space of the North Sea is almost fully planned and has been simultaneously loaded with the task of increased economic production both from new and traditional maritime sectors, and emptied of cultural significance.0 0Through different projects from academia, art, literature and practice, from analysis to design, the book explores synergies for designing this new spatial realm.0Port-city expert Carola Hein, professor of History of Architecture & Urban Planning at Delft University of Technology, and Nancy Couling, associate professor at the Bergen School of Architecture and researcher of the urbanized sea, combine forces to guide the reader through this complex and fascinating topic.",N/A,N/A,en
Whitaker's Almanack,[],1981,['World'],N/A,N/A,N/A,en
Complete Atlas of the World,"['Dorling Kindersley Limited', 'Dorling Kindersley Publishing Staff']",2012,['Atlas'],"See Earth in ten times more detail than ever before From Antarctica to Zambia, discover the Earth continent by continent with the Complete Atlas of the World. Cross the globe from your armchair with 330 maps including 100 city plans showing the world's political and physical geography in the clearest way possible. Landscapes are brought to life through detailed terrain models and colour schemes giving you an unparalleled overview of our planet. Plus, the easy-to-use index of 100,000 place names helps you find what you're looking for fast. The Complete Atlas of the World is one atlas that every family bookshelf needs.",N/A,N/A,en
