title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Writing Your Journal Article in Twelve Weeks,['Wendy Laura Belcher'],2009-01-20,['Education'],"`A comprehensive, well-written and beautifully organized book on publishing articles in the humanities and social sciences that will help its readers write forward with a first-rate guide as good company.′ - Joan Bolker, author of Writing Your Dissertation in Fifteen Minutes a Day `Humorous, direct, authentic ... a seamless weave of experience, anecdote, and research.′ - Kathleen McHugh, professor and director of the UCLA Center for the Study of Women Wendy Laura Belcher′s Writing Your Journal Article in Twelve Weeks: A Guide to Academic Publishing Success is a revolutionary approach to enabling academic authors to overcome their anxieties and produce the publications that are essential to succeeding in their fields. Each week, readers learn a particular feature of strong articles and work on revising theirs accordingly. At the end of twelve weeks, they send their article to a journal. This invaluable resource is the only guide that focuses specifically on publishing humanities and social science journal articles.",5,N/A,en
The Invention of Cuneiform,['Jean-Jacques Glassner'],2003,['Foreign Language Study'],"In ""The Invention of Cuneiform"" Jean-Jacques Glassner offers a compelling introduction to a seminal era in human history. Returning to early Mesopotamian texts that have been little studied or poorly understood, he traces the development of writing from the earliest attempts to the sophisticated system of roughly 640 signs that constituted the Sumerian repertory by about 3200 B.C.",N/A,N/A,en
The Darker Side of the Renaissance,['Walter Mignolo'],2003,['History'],"An exploration of the role of the book, the map, and the European concept of literacy in the conquest of the New World",N/A,N/A,en
"Scribes, Script, and Books",['Leila Avrin'],2010,['Education'],"In this detailed overview of the history of the handmade book, Avrin looks at the development of scripts and styles of illumination, the making of manuscripts, and the technological processes involved in paper-making and book-binding. Readers will have a greater understanding of ancient books and texts with More than 300 plates and illustrations Examples of the different forms of writing from ancient times to the printing press Coverage of cultural and religious books Full bibliography Reference librarians and educators will find this resource indispensable.",N/A,N/A,en
Writing Essays in English Language and Linguistics,['Neil Murray'],2012-03,['Language Arts & Disciplines'],"A comprehensive and very readable resource to help students of English language and linguistics write essays, projects and reports.",N/A,N/A,en
Of Grammatology,['Jacques Derrida'],2016-01-29,['Language Arts & Disciplines'],"The deconstruction bombshell that rocked the Anglophone world. Jacques Derrida’s revolutionary approach to phenomenology, psychoanalysis, structuralism, linguistics, and indeed the entire European tradition of philosophy—called deconstruction—changed the face of criticism. It provoked a questioning of philosophy, literature, and the human sciences that these disciplines would have previously considered improper. Forty years after Of Grammatology first appeared in English, Derrida still ignites controversy, thanks in part to Gayatri Chakravorty Spivak’s careful translation, which attempted to capture the richness and complexity of the original. This fortieth anniversary edition, where a mature Spivak retranslates with greater awareness of Derrida’s legacy, also includes a new afterword by her which supplements her influential original preface. Judith Butler has added an introduction. All references in the work have been updated. One of contemporary criticism’s most indispensable works, Of Grammatology is made even more accessible and usable by this new release.",N/A,N/A,en
Medieval Calligraphy,['Marc Drogin'],1989-11-01,['Design'],"Spirited history and comprehensive instruction manual covers 13 styles (ca. 4th–15th centuries). Excellent photographs; directions for duplicating medieval techniques with modern tools. ""Vastly rewarding and illuminating."" — American Artist.",N/A,N/A,en
The World's Writing Systems,"['Peter T. Daniels', 'William Bright']",1996,['Language Arts & Disciplines'],"Ranging from cuneiform to shorthand, from archaic Greek to modern Chinese, from Old Persian to modern Cherokee, this is the only available work in English to cover all of the world's writing systems from ancient times to the present. Describing scores of scripts in use now or in the past around the world, this unusually comprehensive reference offers a detailed exploration of the history and typology of writing systems. More than eighty articles by scholars from over a dozen countries explain and document how a vast array of writing systems work--how alphabets, ideograms, pictographs, and hieroglyphics convey meaning in graphic form. The work is organized in thirteen parts, each dealing with a particular group of writing systems defined historically, geographically, or conceptually. Arranged according to the chronological development of writing systems and their historical relationships within geographical areas, the scripts are divided into the following sections: the ancient Near East, East Asia, Europe, South Asia, Southeast Asia, and the Middle East. Additional parts address the ongoing process of decipherment of ancient writing systems; the adaptation of traditional scripts to new languages; new scripts invented in modern times; and graphic symbols for numerical, music, and movement notation. Each part begins with an introductory article providing the social and cultural context in which the group of writing systems was developed. Articles on individual scripts detail the historical origin of the writing system, its structure (with tables showing the forms of the written symbols), and its relationship to the phonology of the corresponding spoken language. Each writing system is illustrated by a passage of text, and accompanied by a romanized version, a phonetic transcription, and a modern English translation. A bibliography suggesting further reading concludes each entry. Matched by no other work in English, The World's Writing Systems is the only comprehensive resource covering every major writing system. Unparalleled in its scope and unique in its coverage of the way scripts relate to the languages they represent, this is a resource that anyone with an interest in language will want to own, and one that should be a part of every library's reference collection.",5,N/A,en
The History and Power of Writing,['Henri-Jean Martin'],1994,['Education'],"Continuing on to the electronic revolution, Martin's account takes in the changes wrought on writing by computers and electronic systems of storage and communication, and offers surprising insights into the influence these new technologies have had on children born into the computer age. The power of writing to influence and dominate is, indeed, a central theme in this history, as Martin explores the processes by which the written word has gradually imposed its logic on society over four thousand years. The summation of decades of study by one of the world's great scholars on the subject, this fascinating account of writing explains much about the world we inhabit, where we uneasily confer, accept, and resist the power of the written word.",5,N/A,en
"An Essay Towards a Real Character, and a Philosophical Language",['John Wilkins'],1668,['English language'],"Bound with the author's An alphabetical dictionary. London, 1668.",5,N/A,en
Writing Down the Bones,['Natalie Goldberg'],2005,['Language Arts & Disciplines'],"Offers advice on writing creatively, discusses the importance of discipline, and suggests writing exercises.",2.5,N/A,en
How to Write & Publish a Scientific Paper,['Robert A. Day'],1988,['Technology & Engineering'],N/A,N/A,N/A,en
Orality and Literacy,['Walter J. Ong'],2002,['Language Arts & Disciplines'],"This classic work explores the vast differences between oral and literate cultures offering a very clear account of the intellectual, literary and social effects of writing, print and electronic technology. In the course of his study, Walter J. Ong offers fascinating insights into oral genres across the globe and through time, and examines the rise of abstract philosophical and scientific thinking. He considers the impact of orality-literacy studies not only on literary criticism and theory but on our very understanding of what it is to be a human being, conscious of self and other. This is a book no reader, writer or speaker should be without.",N/A,N/A,en
Writing Scientific Research Articles,"['Margaret Cargill', ""Patrick O'Connor""]",2009-04-20,['Reference'],"""Margaret Cargill's background as a linguist and research communications educator and Patrick O'Connor's experience as both research scientist and educator synergize to improve both the science and art of scientific writing. If the authors' goal is to give scientists the tools to write and publish compelling, well documented, clear narratives that convey their work honestly and in proper context, they have succeeded admirably."" Veterinary Pathology, July 2009 ""[The book is] clearly written, has a logical step-by-step structure, is easy to read and contains a lot of sensible advice about how to get scientific work published in international journals. The book is a most useful addition to the literature covering scientific writing."" Aquaculture International, April 2009 Writing Scientific Research Articles: Strategy and Steps guides authors in how to write, as well as what to write, to improve their chances of having their articles accepted for publication in international, peer reviewed journals. The book is designed for scientists who use English as a first or an additional langua≥ for research students and those who teach them paper writing skills; and for early-career researchers wanting to hone their skills as authors and mentors. It provides clear processes for selecting target journals and writing each section of a manuscript, starting with the results. The stepwise learning process uses practical exercises to develop writing and data presentation skills through analysis of well-written example papers. Strategies are presented for responding to referee comments, as well as ideas for developing discipline-specific English language skills for manuscript writing. The book is designed for use by individuals or in a class setting. Visit the companion site at www.writeresearch.com.au for more information.",5,N/A,en
The First Writing,['Stephen D. Houston'],2004-12-09,['History'],"In this book, leading scholars in the field discuss and analyse the origins of ancient writing.",N/A,N/A,en
