title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Yoga Sutras of Patanjali,[],1990,['Health & Fitness'],"This valuable book provides a complete manual for the study and practice of Raja Yoga, the path of concentration and meditation. This new deluxe printing of these timeless teachings is a treasure to be read and referred to again and again by seekers treading the spiritual path. The classic Sutras (thought-threads), at least 4,000 years old, cover the yogic teachings on ethics, meditation, and physical postures, and provide directions for dealing with situations in daily life. The Sutras are presented here in the purest form, with the original Sanskrit and with translation, transliteration, and commentary by Sri Swami Satchidananda, one of the most respected and revered contemporary Yoga masters. In this classic context, Sri Swamiji offers practical advice based on his own experience for mastering the mind and achieving physical, mental and emotional harmony.",5,N/A,en
Yoga Sutras of Patanjali,['Charles Johnston'],2019-12-18,['Education'],"Straightforward, easy-to-follow interpretation of ancient guidelines for living a meaningful, purposeful life. Explains the eight limbs of yoga: restraint, observances, posture, breath control, withdrawal from the senses, attention, meditation, and stillness.",N/A,N/A,en
Yoga Sutras of Patanjali,"['Patañjali', 'Archie J. Bahm']",1993,['Health & Fitness'],"The sutras of Patanjali are presented in clear, simple language, with a succinct comment on each. The author shows that the beauty and psychological insight of Yogic thought is available to everyone. This book will interest the newcomer to Yoga as well as those who are already students of the philosophy.",N/A,N/A,en
Yoga,['Mircea Eliade'],2009-07-26,['Health & Fitness'],"First published in English in 1958, the author lays the groundwork for a Western understanding of Yoga, providing a comprehensive survey of Yoga in theory and practice from its earliest antecedents in the Vedas through the twentieth century.",N/A,N/A,en
The Yogi and the Mystic,['Karel Werner'],2005-08-04,"['Body, Mind & Spirit']","Embraces a wide range of aspects of Indian mysticism, displaying the structural patterns in mystical experiences and the mystic paths in different traditions and schools, while there are also significant contributions to comparative mysticism, Eastern and Western. First published in 1989.",N/A,N/A,en
The Yoga Tradition,['Georg Feuerstein'],2008,['Health & Fitness'],"Feuerstein is a renowned yoga scholar and a tireless communicator, sharing his knowledge in more than two dozen books on the subject as well as translations of key yoga scriptures. Most Westerners have a limited understanding of what the term yoga, which means ""union,"" implies. Feuerstein describes yoga as a ""spectacularly multifaceted phenomena,"" and performs a truly yogic feat by combining commentary with translated Sanskrit teachings, history with theory, the spiritual with the practical, and the classical with the contemporary. He illuminates every facet and phase of yoga from its roots in shamanism to its connections to the complex and dynamic spirituality of India, especially yoga's relationship with Hinduism and Buddhism. Feuerstein explicates the different yogic schools and profiles key yoga teachers. Yoga is a vast and vital universe maintained over the centuries by the discipline and persistence of its practitioners, who strive to join the physical with the spiritual, the ""individual self with the supreme Self."" No more adept or comprehensive study of yoga aimed at a Western audience is to be found.",N/A,N/A,en
Religious Therapeutics,['Gregory P. Fields'],2002-01-01,['Hinduism'],"Religious therapeutics explores the relationship between psychophysical health and spiritual and health presents a model for interpreting connections between religion and medicine in world traditions. This model emerges from the work`s investigation of health and religiousness in classical yoga, Ayurveda, and Tantra-Three Hindu traditions note worthy for the central role they accord the body. Author gregory P. Fields compares Anglo-European and Indian philosophies of body and health and uses fifteen determinants of health excavated from texts of ancient hindu medicine to show that health concerns the person, not the body or body/mind alone.",N/A,N/A,en
Yoga in Practice,['David Gordon White'],2012,['Health & Fitness'],"An anthology of primary texts drawn from the diverse yoga traditions of India, greater Asia, and the West. Focuses on the lived experiences in the many world of yoga.",N/A,N/A,en
Autobiography of a Yogi,['Sri Sri Paramahansa Yogananda'],2008,['Yoga'],N/A,4,N/A,en
The Integrity of the Yoga Darśana,['Ian Whicher'],1998-01-01,['Philosophy'],"Maintains that the Yoga-Sutras do not advocate abandonment of the world, but rather support a stance that enables one to live more fully in the world without being enslaved by worldly identification.",N/A,N/A,en
The Yoga Sutra of Patanjali,['David Gordon White'],2019-09-10,['Health & Fitness'],"White retraces the strange and circuitous journey of Patanjali's Yoga Sutra from its ancient origins to today, bringing to life the improbable cast of characters whose interpretations and misappropriations led to its revered place in contemporary popular culture.",N/A,N/A,en
