title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Instant Notes Animal Biology,['Richard David Jurd'],2004,['Juvenile Nonfiction'],"This is a student-friendly compendium of the essentials of animal biology, including the Animal Kingdom, comparative physiology, reproductive physiology and developmental biology.",3,N/A,en
Zoo,"['Eric Baratay', 'Elisabeth Hardouin-Fugier']",2004,['Gardening'],"Wild animals have fascinated human observers since time immemorial. The story of our interest in collecting, classifying and dominating Nature so that its inner workings could be understood also looms large in the history of science, and thus it is surprising that the history of menageries, zoological gardens and the zoo as we know it today has been so poorly documented. This gap is addressed by Zoo, a comprehensive history of the zoo in the Western world.",N/A,N/A,en
The zoology of the voyage of H.M.S. Beagle,['Charles Darwin'],1842,"['Mammals, Fossil']",N/A,N/A,N/A,en
"De Animalibus. Michael Scot's Arabic-Latin Translation, Volume 2 Books XI-XIV",['Aafke M. I. van Oppenraay'],1998-07-31,['Architecture'],"This volume makes available for the first time to the scholarly world the version of Aristotle's ""Parts of Animals"" that has long been one of the main sources of knowledge in Europe on the subject. Being a faithful translation of a translation produced by a Syriac-speaking Christian, the text also contributes to our knowledge of Middle Arabic.",N/A,N/A,la
Aristotle's History of Animals,['Aristotle'],1897,['Zoology'],N/A,5,N/A,en
Ecology of Java & Bali,"['Tony Whitten', 'Roehayat Emon Soeriaatmadja', 'Suraya A. Afiff']",1996,['History'],"Java and Bali are the best known of all the islands in Indonesia, and nowhere else in the country are ecological issues so acute. This book provides invaluable ecological data, so that development activities can be viewed in light of their ecological and social impacts.These eagerly-awaited volumes are the result of four years of research into the status of Indonesian coastal and marine ecosystems. They chart the extraordinary treasure trove of the areas marine biodiversity, and discuss the problems that have resulted from current population pressures and economic development.",1,N/A,en
Aristotle,['Aristotle'],1882,['Zoology'],N/A,N/A,N/A,en
The Lung-Air Sac System of Birds,['John N. Maina'],2005-12-28,['Science'],"In biology, few organs have been as elusive as the lung-air sac system of birds. Considerable progress has recently been made to fill the gaps in the knowledge. While summarizing and building on earlier observations and ideas, this book provides cutting-edge details on the development, structure, function, and the evolutionary design of the avian respiratory system. Outlining the mechanisms and principles through which biological complexity and functional novelty have been crafted in a unique gas exchanger, this account will provoke further inquiries on the many still uncertain issues. The specific goal here was to highlight the uniqueness of the design of the avian respiratory system and the factors that obligated it.",N/A,N/A,en
Entomology,['Cedric Gillott'],2013-11-11,['Science'],"Extensively revised, the Second Edition continues to offer senior undergraduate students a well-balanced treatment of all major areas in entomology. This edition features coverage of the new phylogenies for most of the insect orders",N/A,N/A,en
The zoology of the voyage of H.M.S. Beagle,['Charles Darwin'],1840,['Beagle (Ship)'],N/A,N/A,N/A,en
A Source-book of Biological Names and Terms,['Edmund Carroll Jaeger'],1955,['Science'],Discusses origin and significance of biological names and words.,N/A,N/A,en
An Essay on Classification,['Louis Agassiz'],1859,['Biology'],N/A,N/A,N/A,en
The Encyclopedia of Animals,[],2004,['Nature'],"This lavishly illustrated trade reference to mammals, birds, reptiles, amphibians, fishes, and invertebrates features hundreds of glorious photos, masterful illustrations, and informative maps.",4.5,N/A,en
Index Generum Mammalium,['Theodore Sherman Palmer'],1904,['Animals'],N/A,N/A,N/A,en
Return of the Crazy Bird,['Clara Pinto-Correia'],2003-01-27,['Juvenile Nonfiction'],"Although everybody is familiar with the dodo bird, very few people know its history. Yet this history is compelling when read as a fable of the negative impact of humans on Earth's ecosystems. The author describes the complexity of the factors involved in animal extinction. Although we think of ourselves as more ecologically aware than our ancestors, we are propelling extinction to alarming rates.",N/A,N/A,en
Sketches of the Natural History of Ceylon,['Sir James Emerson Tennent'],1861,['Elephants'],N/A,N/A,N/A,en
The Guinness Book of Animal Facts and Feats,['Gerald L. Wood'],1976,['Science'],N/A,N/A,N/A,en
Bulletin of the American Museum of Natural History,['Joel Asaph Allen'],1890,['Anthropology'],"Comprises articles on geology, paleontology, mammalogy, ornithology, entomology and anthropology.",N/A,N/A,en
Cynographia Britannica,['Sydenham Teak Edwards'],1800,['Dogs'],N/A,N/A,N/A,en
"Systematics and the Origin of Species, from the Viewpoint of a Zoologist",['Ernst Mayr'],1999,['Science'],"This classic study, first published in 1942, helped to revolutionize evolutionary biology by offering a new approach to taxonomic principles and correlating the ideas and findings of modern systematics with those of other life science disciplines. This book is one of the foundational documents of the ""Evolutionary Synthesis.""",5,N/A,en
The Naturalist in Nicaragua,['Thomas Belt'],1874,['Natural history'],N/A,N/A,N/A,en
Aristotle's De Motu Animalium,"['Aristoteles', 'Martha C. Nussbaum']",1985,['Literary Collections'],"Available for the first time in paperback, this volume contains text with translation of De Motu Animalium, Aristotle's attempt to lay the groundwork for a general theory of the explanation of animal activity, along with commentary and interpretive essays on the work.",N/A,N/A,en
The Natural History of Birds,['Georges Louis Leclerc comte de Buffon'],1793,['Zoology'],N/A,N/A,N/A,en
The Works of Aristotle,['Aristotle'],1927,['Zoology'],N/A,N/A,N/A,en
Journal of comparative zoology,['Julius Victor Carus'],1888,['Zoology'],N/A,N/A,N/A,de
"Natural History of Birds, Fish, Insects, and Reptiles",['Georges Louis Leclerc comte de Buffon'],1798,['Zoology'],N/A,N/A,N/A,en
Owls (Strigiformes),['Friedhelm Weick'],2007-08-13,['Science'],"The owl is a magical creature: it exudes an ambivalent fascination that can trigger completely antithetical responses. On the one hand, there is something unsettling about the owl’s soundless flight, eerie call, and nocturnal activity that can result in its demonization as a messenger of darkness. On the other hand, however, its masklike visage and seemingly penetrating gaze prove - thralling, and this may have contributed to the deification of the owl as the companion spirit of an omniscient mother earth. In addition, the highly s- cialized captor of prey aroused the competitive envy of hunting parties, even provoking a bit of resentment when they lost out to owls in their hunt for small game. Moreover, the excrement and pellets (hairballs) they deposited in barns and church towers contributed to their reputation as undesirables or even pests. With the overcoming of superstition and suspicion, our relati- ship with these creatures of the night has now become one of unreserved - miration. They grant us insights into the rich diversity of adaptation to n- turnal hunting as well as into sound inventories, brooding biology, and ne- ling development. In a complete transformation of what was once a symbol of fear and hatred, charismatic owls now enjoy an almost singular popularity in large parts of the population.",N/A,N/A,en
